;C11;C15;C17;C19;C3;C5;C6;CJA
éditeur de texte bn:00076736n;1; 1; 0; 1; 0; 0; 0; 1; 
pixel bn:00061282n;1; 0; 0; 0; 0; 0; 0; 0; 
signaler bn:00071525n;1; 0; 0; 0; 0; 1; 0; 0; 
éditeur html bn:00895215n;1; 0; 0; 0; 0; 0; 0; 0; 
partielle bn:00108290a;1; 0; 0; 0; 0; 0; 1; 0; 
tenir compte bn:00082541v;1; 0; 0; 0; 1; 0; 1; 0; 
hiérarchie bn:00044017n;1; 0; 0; 0; 0; 0; 0; 1; 
définition bn:00025928n;1; 1; 1; 1; 1; 1; 1; 1; 
algorithme bn:00002705n;1; 0; 0; 0; 0; 0; 0; 1; 
énoncé bn:00087699v;1; 0; 0; 0; 0; 0; 1; 0; 
valables bn:00113486a;1; 0; 0; 0; 0; 0; 0; 0; 
retrouver bn:00088204v;1; 0; 1; 1; 0; 1; 1; 0; 
fichier texte bn:00028018n;1; 1; 1; 1; 1; 1; 1; 1; 
href bn:00045513n;1; 1; 0; 1; 0; 1; 1; 0; 
type de fichier bn:01156328n;1; 0; 0; 0; 1; 0; 0; 0; 
styler bn:00042550n;1; 0; 0; 0; 0; 0; 0; 0; 
arial bn:01485779n;1; 0; 0; 0; 0; 0; 0; 0; 
helvetica bn:00043646n;1; 0; 0; 0; 0; 0; 0; 0; 
langage bn:00049910n;1; 1; 1; 1; 1; 1; 1; 1; 
script côté client bn:03689253n;1; 1; 0; 0; 0; 0; 0; 0; 
côté client bn:03163702n;1; 1; 1; 1; 1; 1; 1; 0; 
interactivité bn:03489302n;1; 0; 0; 0; 0; 0; 0; 0; 
invoquer bn:00082770v;1; 0; 0; 0; 0; 0; 0; 0; 
semaine bn:00043484n;1; 1; 0; 1; 1; 0; 1; 0; 
sommes bn:00082322v;1; 0; 0; 0; 0; 1; 0; 0; 
concaténation bn:03489514n;1; 1; 1; 1; 0; 1; 1; 1; 
souplesse bn:00035191n;1; 1; 0; 0; 0; 0; 0; 0; 
client mail bn:03183100n;1; 0; 0; 0; 0; 0; 0; 0; 
travers bn:00042404n;1; 0; 0; 1; 0; 1; 0; 1; 
e-mail bn:00029345n;1; 1; 0; 0; 0; 0; 1; 0; 
mailto bn:03829206n;1; 0; 0; 0; 0; 0; 0; 0; 
