X;C3.csv;C5.csv;C6.csv
constante;0;0.333333;0.333333
classe d;0;0.333333;0.333333
autre;0;0.2;0
héritage multiple;0;0.333333;0.333333
classe a;0;0.333333;0.333333
faire référence;0;0.333333;0.333333
générique;0;0.333333;0.333333
type b;0;0.333333;0.333333
ramasse-miettes;0;0.333333;0.333333
code objet;0;0.333333;0.333333
clonage;0;0.333333;0.333333
directe;0;0.333333;0.333333
explicite;0;0.333333;0.333333
via;0;0.333333;0.333333
descripteur de fichiers;0;0.333333;0.333333
o3;0;0.333333;0.333333
substituer;0;0.333333;0.333333
être utile;0;0.2;0
utile;0;0.333333;0.333333
abstraire;0;0;0.2
abstraites;0;0.333333;0.333333
classe abstraite;0;0.333333;0.333333
dérivée;0;0.333333;0.333333
implémentant;0;0.333333;0.333333
redéfinition;0;0.333333;0.333333
final;0;0.333333;0.333333
final;0;0.333333;0.333333
prototypes;0;0.333333;0.333333
template;0;0.333333;0.333333
déclencher;0;0.333333;0.333333
contraire;0;0.333333;0.333333
variable;0;0.2;0
iterator;0;0.333333;0.333333
numéro de ligne;0;0.333333;0.333333
erreur;0;0.333333;0.333333
parent;0;0.2;0
ancien système;0;0.333333;0.333333
stream;0;0.333333;0.333333
xampp;0;0;0.2
erreur de syntaxe;0;0.333333;0.333333
intéresser;0;0.333333;0.333333
réception;0;0.333333;0.333333
répéter;0;0;0.2
cas objet;0;0.333333;0.333333
internes;0;0.333333;0.333333
supporter;0;0.333333;0.333333
remplissage;0;0.2;0
structure;0;0.333333;0.333333
epub;0.333333;0;0.333333
format pdf;0.2;0;0
caractéristique;0.2;0;0
installation;0.333333;0;0.333333
3.14;0.333333;0;0.333333
filtrage;0.333333;0;0.333333
validation;0.333333;0;0.333333
composer;0.2;0;0
symfony;0.333333;0;0.333333
application;0.333333;0;0.333333
web service;0.333333;0;0.333333
web mobile;0.333333;0;0.333333
mobile;0.333333;0;0.333333
informatique;0.2;0;0
interpréter;0.333333;0;0.333333
compilateur;0.2;0;0
compilateur jit;0.333333;0;0.333333
facebook;0.333333;0;0.333333
coder;0.2;0;0
fichier source;0.2;0;0
sortie;0.333333;0;0.333333
retrouver;0.2;0;0
programmeur;0.333333;0;0.333333
développement;0.333333;0;0.333333
ca;0.333333;0;0.333333
livre;0.2;0;0
hiphop;0.333333;0;0.333333
machine virtuelle;0.333333;0;0.333333
typage fort;0.333333;0;0.333333
framework;0.333333;0;0.333333
phalcon;0.333333;0;0.333333
