;C3.csv;C5.csv;C6.csv;CJA-automatic.csv
liste chaînée bn:01056813n;0; 1; 1; 1; 
jointure bn:00048368n;0; 1; 1; 1; 
activer bn:00082307v;0; 1; 1; 1; 
mode texte bn:03459971n;0; 1; 1; 0; 
attention bn:00007020n;0; 0; 1; 0; 
fin bn:00113911a;0; 1; 1; 0; 
placer bn:00090224v;0; 1; 1; 1; 
img bn:02450504n;0; 1; 0; 1; 
fichier csv bn:03284335n;0; 1; 1; 1; 
ret bn:05006619n;0; 1; 1; 1; 
fichier binaire bn:00010479n;0; 1; 1; 1; 
calculer bn:00084373v;0; 1; 0; 1; 
réussite bn:00000870n;0; 1; 1; 1; 
pointeur bn:03222272n;0; 1; 1; 0; 
chdir bn:00821546n;0; 1; 1; 1; 
argument bn:00005603n;0; 1; 1; 0; 
relatif bn:00109123a;0; 1; 1; 0; 
handle bn:00278322n;0; 1; 1; 1; 
prochaine bn:00096455a;0; 1; 0; 1; 
sous bn:00072872n;0; 1; 1; 1; 
base 8 bn:01534404n;0; 1; 1; 1; 
type de fichier bn:01156328n;0; 1; 1; 1; 
fifo bn:00034349n;0; 1; 1; 1; 
pointé bn:00086679v;0; 1; 0; 1; 
inode bn:03396161n;0; 1; 1; 1; 
size bn:03645138n;0; 0; 1; 0; 
taille de bloc bn:04788419n;0; 1; 1; 1; 
shell unix bn:02558830n;0; 1; 1; 1; 
dirname bn:00242975n;0; 0; 1; 1; 
isoler bn:00089916v;0; 1; 1; 1; 
chown bn:02823726n;0; 1; 1; 1; 
chgrp bn:00742376n;0; 1; 1; 1; 
copy bn:14086525n;0; 1; 1; 1; 
hard link bn:03277499n;0; 1; 1; 1; 
lien symbolique bn:01044905n;0; 1; 1; 1; 
masque bn:03236329n;0; 1; 1; 0; 
rename bn:00342646n;0; 1; 1; 1; 
umask bn:03851470n;0; 1; 1; 1; 
client bn:00019764n;0; 0; 1; 1; 
encodage bn:00030696n;0; 0; 0; 1; 
avatar bn:03801346n;0; 1; 1; 1; 
vérification bn:00017984n;0; 1; 0; 1; 
pire bn:00113940a;0; 1; 1; 1; 
boite de dialogue bn:00026837n;0; 1; 1; 0; 
gestionnaire de fichier bn:00264400n;0; 1; 1; 1; 
cliquer bn:00085112v;0; 1; 0; 1; 
bouton bn:03843242n;0; 1; 1; 1; 
temp bn:00076450n;0; 1; 1; 1; 
fichier temporaire bn:03462927n;0; 1; 1; 1; 
verrouiller bn:00090430v;0; 1; 1; 1; 
caractère nul bn:02742063n;0; 1; 1; 1; 
inverse bn:00105377a;0; 1; 0; 1; 
oreille bn:00029372n;0; 1; 1; 1; 
gras bn:00011848n;0; 1; 1; 1; 
entité html bn:01327413n;0; 1; 1; 1; 
fonctionnement bn:00036838n;0; 1; 1; 1; 
quotes bn:00683774n;0; 1; 1; 1; 
formater bn:00082780v;0; 1; 1; 0; 
troisième bn:00096000a;0; 1; 1; 1; 
colle bn:00001366n;0; 1; 1; 1; 
longueur bn:00050662n;0; 0; 1; 0; 
trim bn:00074703n;0; 0; 0; 1; 
invisibles bn:00105385a;0; 1; 1; 0; 
strcmp bn:13958358n;0; 1; 1; 1; 
égale bn:00021326n;0; 1; 1; 1; 
expiration bn:00026345n;0; 1; 1; 1; 
disponible bn:00097846a;0; 1; 0; 1; 
variable globale bn:02011863n;0; 1; 1; 1; 
mot de passe bn:00023218n;0; 1; 0; 1; 
visiteur bn:03106425n;0; 1; 0; 1; 
authentification bn:03253409n;0; 0; 0; 1; 
déconnexion bn:00027504n;0; 1; 1; 1; 
évidente bn:00097350a;0; 1; 1; 1; 
connecté bn:00085628v;0; 1; 1; 1; 
démarrer bn:00083342v;0; 1; 0; 1; 
balise html bn:02104867n;0; 1; 0; 1; 
sauvegarde bn:00007838n;0; 1; 0; 1; 
unset bn:00176172n;0; 1; 1; 1; 
cookie de session bn:00070691n;0; 1; 1; 1; 
recommencer bn:00092914v;0; 1; 1; 1; 
décompte bn:00086432v;0; 1; 0; 1; 
