;C3.csv;C5.csv;C6.csv;CJA-automatic.csv
primitif bn:00097448a;1; 1; 1; 0; 
autoboxing bn:02831394n;1; 1; 1; 0; 
auparavant bn:00114297r;1; 1; 1; 0; 
noter bn:00089002v;1; 1; 1; 0; 
opérandes bn:00059114n;1; 1; 1; 0; 
mark bn:16597230n;1; 1; 1; 0; 
applicables bn:00097372a;1; 1; 1; 0; 
agrégat bn:00096658a;1; 1; 1; 0; 
fréquents bn:00103324a;1; 1; 1; 0; 
généricité bn:00177619n;1; 1; 1; 0; 
précédente bn:00016426n;1; 1; 1; 0; 
gestion bn:00053116n;1; 1; 1; 0; 
évolution bn:00032060n;1; 1; 1; 0; 
is bn:03703419n;1; 1; 1; 0; 
borne supérieure bn:13919837n;1; 1; 1; 0; 
principales bn:00109011a;1; 1; 1; 0; 
relever bn:00085329v;1; 1; 1; 0; 
opération bn:00053826n;1; 1; 1; 0; 
grand entier bn:00050016n;1; 1; 1; 0; 
enveloppe bn:00031069n;1; 1; 1; 0; 
explicite bn:00101176a;1; 1; 1; 0; 
ordre normal bn:00331579n;1; 1; 1; 0; 
division euclidienne bn:03534242n;1; 1; 1; 0; 
euclidienne bn:00102428a;1; 1; 1; 0; 
arrondir bn:00093135v;1; 1; 1; 0; 
unaires bn:00112334a;1; 1; 1; 0; 
exclusif bn:00102513a;1; 1; 1; 0; 
inférer bn:00086431v;1; 1; 1; 0; 
opérateur booléen bn:00012145n;1; 1; 1; 0; 
négation bn:00057188n;1; 1; 1; 0; 
paramètre formel bn:14985956n;1; 1; 1; 0; 
formel bn:00103223a;1; 1; 1; 0; 
effectifs bn:00043282n;1; 1; 1; 0; 
signature bn:03654577n;1; 1; 1; 0; 
duplication de code bn:03107543n;1; 1; 1; 0; 
pointe bn:00084813v;1; 1; 1; 0; 
capter bn:00082177v;1; 1; 1; 0; 
commande bn:00086778v;1; 1; 1; 0; 
fichier exécutable bn:00058456n;1; 1; 1; 0; 
syntaxique bn:00111596a;1; 1; 1; 0; 
instruction vide bn:03112071n;1; 1; 1; 0; 
vide bn:00087578v;1; 1; 1; 0; 
mettre fin à bn:00087608v;1; 1; 1; 0; 
boucle while bn:03237310n;1; 1; 1; 0; 
jour bn:00025422n;1; 1; 1; 0; 
améliorer bn:00082573v;1; 1; 1; 0; 
mode graphique bn:04899163n;1; 1; 1; 0; 
scanner bn:00027087n;1; 1; 1; 0; 
périphérique bn:00021491n;1; 1; 1; 0; 
approprié bn:00109117a;1; 1; 1; 0; 
accès séquentiel bn:02076469n;1; 1; 1; 0; 
terminal bn:00100203a;1; 1; 1; 0; 
erreur de saisie bn:00031482n;1; 1; 1; 0; 
classloader bn:03647181n;1; 1; 1; 0; 
accessibilité bn:00000670n;1; 1; 1; 0; 
pare-feu bn:00034713n;1; 1; 1; 0; 
technique bn:00109073a;1; 1; 1; 0; 
réutilisation bn:02823226n;1; 1; 1; 0; 
réutilisation de code bn:00205717n;1; 1; 1; 0; 
astre bn:00073964n;1; 1; 1; 0; 
hériter bn:00043823n;1; 1; 1; 0; 
sous-type bn:15888113n;1; 1; 1; 0; 
ascendant bn:00003890n;1; 1; 1; 0; 
planete bn:00052888n;1; 1; 1; 0; 
descendre bn:00085333v;1; 1; 1; 0; 
type dynamique bn:16109138n;1; 1; 1; 0; 
liaison dynamique bn:02949338n;1; 1; 1; 0; 
annotation bn:03140746n;1; 1; 1; 0; 
compatibilité bn:00021322n;1; 1; 1; 0; 
accessible bn:00096257a;1; 1; 1; 0; 
invoquer bn:00085009v;1; 1; 1; 0; 
draw bn:15449583n;1; 1; 1; 0; 
dehors bn:00032430n;1; 1; 1; 0; 
différencier bn:00086800v;1; 1; 1; 0; 
cat bn:14528732n;1; 1; 1; 0; 
division par zéro bn:01104287n;1; 1; 1; 0; 
paquetage bn:00904294n;1; 1; 1; 0; 
normal bn:00107587a;1; 1; 1; 0; 
normalement bn:00114778r;1; 1; 1; 0; 
prendre en compte bn:04878250n;1; 1; 1; 0; 
interfaces graphiques bn:00041418n;1; 1; 1; 0; 
abstract window toolkit bn:02002015n;1; 1; 1; 0; 
prompt bn:00111415a;1; 1; 1; 0; 
containers bn:00022129n;1; 1; 1; 0; 
intermédiaires bn:00047121n;1; 1; 1; 0; 
panel bn:01845200n;1; 1; 1; 0; 
positionnement bn:00030615n;1; 1; 1; 0; 
taille bn:00093792v;1; 1; 1; 0; 
souris bn:00021487n;1; 1; 1; 0; 
généré bn:00086013v;1; 1; 1; 0; 
nature bn:00057017n;1; 1; 1; 0; 
listener bn:04706492n;1; 1; 1; 0; 
touche bn:00049001n;1; 1; 1; 0; 
fenêtre bn:00081292n;1; 1; 1; 0; 
anonyme bn:00097155a;1; 1; 1; 0; 
modèle-vue-contrôleur bn:02245403n;1; 1; 1; 0; 
interface utilisateur bn:00047088n;1; 1; 1; 0; 
paradigme bn:01164163n;1; 1; 1; 0; 
dater bn:00086297v;1; 1; 1; 0; 
adaptabilité bn:00001267n;1; 1; 1; 0; 
type de programme bn:00144629n;1; 1; 1; 0; 
programmation concurrente bn:01933105n;1; 1; 1; 0; 
segment de code bn:00186041n;1; 1; 1; 0; 
garantir bn:00082879v;1; 1; 1; 0; 
consommateur bn:00022095n;1; 1; 1; 0; 
symétrique bn:00103981a;1; 1; 1; 0; 
javabeans bn:00307178n;1; 1; 1; 0; 
couplage bn:00632267n;1; 1; 1; 0; 
cohesion bn:03340155n;1; 1; 1; 0; 
adéquation bn:00001355n;1; 1; 1; 0; 
délicats bn:00101358a;1; 1; 1; 0; 
processus de conception bn:00026535n;1; 1; 1; 0; 
garder bn:00089407v;1; 1; 1; 0; 
impact bn:00046065n;1; 1; 1; 0; 
architecture logicielle bn:03258160n;1; 1; 1; 0; 
minimiser bn:00087204v;1; 1; 1; 0; 
objet métier bn:00756342n;1; 1; 1; 0; 
représentation interne bn:00047140n;1; 1; 1; 0; 
gestion de données bn:03631704n;1; 1; 1; 0; 
applicatives bn:00097373a;1; 1; 1; 0; 
schéma de bn:00035375n;1; 1; 1; 0; 
idéale bn:00104501a;1; 1; 1; 0; 
import bn:00046137n;1; 1; 1; 0; 
view bn:00059169n;1; 1; 1; 0; 
esprit bn:00012681n;1; 1; 1; 0; 
système distribués bn:03732241n;1; 1; 1; 0; 
java ee bn:03173395n;1; 1; 1; 0; 
ejb bn:03171558n;1; 1; 1; 0; 
servlets bn:03188848n;1; 1; 1; 0; 
interrelation bn:00047207n;1; 1; 1; 0; 
plan de test bn:00816633n;1; 1; 1; 0; 
test système bn:03749679n;1; 1; 1; 0; 
cas de test bn:00543577n;1; 1; 1; 0; 
malheureusement bn:00114196r;1; 1; 1; 0; 
régression bn:00066913n;1; 1; 1; 0; 
test de non-régression bn:03101995n;1; 1; 1; 0; 
batterie bn:00009065n;1; 1; 1; 0; 
communauté open source bn:00182430n;1; 1; 1; 0; 
outil bn:00077585n;1; 1; 1; 0; 
test fixture bn:14133437n;1; 1; 1; 0; 
test bn:00094888v;1; 1; 1; 0; 
bean bn:01412280n;1; 1; 1; 0; 
composant bn:00021394n;1; 1; 1; 0; 
assemblé bn:00082845v;1; 1; 1; 0; 
plate-forme java bn:03241725n;1; 1; 1; 0; 
java se bn:03173433n;1; 1; 1; 0; 
convention de nommage bn:01198011n;1; 1; 1; 0; 
environnement de développement bn:00748100n;1; 1; 1; 0; 
personnalisation bn:00895785n;1; 1; 1; 0; 
persistance bn:03432337n;1; 1; 1; 0; 
support de stockage bn:00025315n;1; 1; 1; 0; 
sérialisation bn:00070604n;1; 1; 1; 0; 
canvas bn:02415221n;1; 1; 1; 0; 
théoriques bn:00111806a;1; 1; 1; 0; 
algorithmes bn:00002705n;1; 1; 1; 0; 
fondamentaux bn:00008838n;1; 1; 1; 0; 
structuration bn:14636497n;1; 1; 1; 0; 
interaction bn:00036845n;1; 1; 1; 0; 
unique bn:00112899a;1; 1; 1; 0; 
wikipedia bn:03288118n;1; 1; 1; 0; 
barre de défilement bn:00257291n;1; 1; 1; 0; 
existants bn:00102613a;1; 1; 1; 0; 
an bn:00081857n;1; 1; 1; 0; 
bytecode bn:03791673n;1; 1; 1; 0; 
structure de classe bn:00019550n;1; 1; 1; 0; 
java native interface bn:01619475n;1; 1; 1; 0; 
tutoriel bn:00112194a;1; 1; 1; 0; 
interface de programmation bn:02130401n;1; 1; 1; 0; 
interfaçage bn:04713937n;1; 1; 1; 0; 
programme c bn:00014402n;1; 1; 1; 0; 
wall bn:03172609n;1; 1; 1; 0; 
illustrer bn:00087826v;1; 1; 1; 0; 
procedure bn:16903850n;1; 1; 1; 0; 
descripteur bn:14042302n;1; 1; 1; 0; 
structure de donnée bn:00025330n;1; 1; 1; 0; 
line bn:16701562n;1; 1; 1; 0; 
scanf bn:03106902n;1; 1; 1; 0; 
allocation bn:00002912n;1; 1; 1; 0; 
mémoire dynamique bn:03517836n;1; 1; 1; 0; 
edition bn:00065108n;1; 1; 1; 0; 
java platform, micro edition bn:03173415n;1; 1; 1; 0; 
décembre 2006 bn:03315076n;1; 1; 1; 0; 
produit logiciel bn:00072649n;1; 1; 1; 0; 
java runtime environment bn:15385568n;1; 1; 1; 0; 
runtime bn:00068562n;1; 1; 1; 0; 
java development kit bn:01837373n;1; 1; 1; 0; 
débogueur bn:00025641n;1; 1; 1; 0; 
imprécis bn:00107686a;1; 1; 1; 0; 
kit de développement bn:00899006n;1; 1; 1; 0; 
application mobiles bn:02709719n;1; 1; 1; 0; 
pda bn:00059484n;1; 1; 1; 0; 
java card bn:01342111n;1; 1; 1; 0; 
carte à puce bn:00072293n;1; 1; 1; 0; 
javafx bn:00234554n;1; 1; 1; 0; 
encyclopédie bn:00024746n;1; 1; 1; 0; 
éditeur de texte bn:00076736n;1; 1; 1; 0; 
java 2 bn:04756808n;1; 1; 1; 0; 
plateforme java bn:16564242n;1; 1; 1; 0; 
