;C1;C12;C13;C14;C16;C18;C2;C4;C7;C8;C9
réalité bn:00066414n;1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
concatène bn:00085508v;1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
addition bn:00001296n;1; 1; 1; 0; 0; 0; 0; 0; 0; 0; 1; 
soustraction bn:00055233n;1; 1; 1; 0; 0; 0; 0; 0; 0; 0; 1; 
multiplié bn:00090977v;1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
modulo bn:00553864n;1; 1; 0; 0; 1; 0; 0; 0; 0; 0; 1; 
égalité bn:00031284n;1; 0; 0; 0; 1; 0; 0; 1; 0; 0; 0; 
logiques bn:00051845n;1; 1; 0; 1; 1; 0; 1; 0; 1; 1; 1; 
syntaxe bn:00062118n;1; 0; 0; 1; 1; 0; 0; 1; 0; 0; 1; 
case bn:04777941n;1; 1; 0; 0; 0; 0; 1; 0; 0; 0; 1; 
associer bn:00082868v;0; 1; 1; 0; 1; 0; 0; 0; 0; 0; 1; 
personne bn:00046516n;0; 1; 0; 0; 0; 0; 0; 1; 0; 1; 1; 
prenom bn:15996005n;1; 0; 0; 0; 0; 1; 0; 0; 1; 1; 1; 
structure de contrôle bn:00047734n;1; 0; 1; 1; 1; 1; 1; 0; 0; 0; 1; 
définition bn:00025928n;1; 1; 0; 1; 1; 1; 0; 1; 0; 0; 1; 
initialiser bn:00089742v;1; 0; 0; 0; 0; 0; 1; 0; 1; 0; 0; 
dépendre bn:00086606v;1; 1; 0; 0; 1; 0; 0; 0; 0; 0; 0; 
méthode post bn:00045088n;1; 0; 0; 0; 1; 1; 1; 0; 1; 1; 1; 
fermeture bn:16858148n;1; 1; 0; 0; 1; 1; 0; 1; 0; 1; 1; 
machine bn:00054050n;0; 1; 0; 1; 0; 1; 0; 0; 0; 0; 0; 
mysql bn:01225760n;0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 1; 
phase bn:00061898n;1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
être utile bn:00085368v;1; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
boucle while bn:03237310n;1; 1; 0; 0; 0; 1; 0; 0; 0; 1; 1; 
jour bn:00000086n;1; 0; 0; 1; 0; 1; 0; 0; 0; 0; 0; 
euro bn:00031888n;1; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 
etc bn:00114282r;1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 
programmation bn:00021493n;1; 0; 1; 0; 0; 1; 1; 1; 0; 0; 1; 
site bn:00047172n;0; 0; 0; 1; 0; 1; 0; 1; 0; 0; 1; 
détruire bn:00084204v;1; 1; 0; 0; 0; 1; 0; 0; 1; 0; 1; 
second bn:00105773a;1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 
ordinateur bn:00021464n;1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 
licence bn:00050986n;0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
licence gnu bn:01157379n;0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
gnu bn:00324017n;0; 1; 1; 0; 0; 0; 0; 0; 0; 0; 0; 
gnu free documentation licence bn:01157394n;0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
anglais bn:00030862n;0; 1; 0; 1; 0; 0; 0; 1; 0; 0; 1; 
free software bn:00182120n;0; 1; 0; 0; 0; 0; 0; 0; 1; 0; 0; 
free software foundation bn:01158352n;0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
quatrième de couverture bn:00032652n;0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
copie bn:00087583v;0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
paris bn:00015540n;0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 1; 
france bn:00036202n;0; 1; 0; 0; 0; 0; 1; 0; 0; 0; 0; 
fax bn:00032653n;0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
e-mail bn:00029345n;0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
programmation web bn:03446093n;0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 
installation bn:03478637n;0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
configuration bn:03088982n;0; 1; 0; 0; 1; 0; 0; 0; 0; 0; 1; 
session bn:03751534n;0; 0; 0; 1; 0; 0; 1; 1; 0; 0; 0; 
chaîne bn:00074685n;0; 1; 0; 0; 1; 0; 0; 0; 0; 0; 1; 
rappel bn:03490040n;0; 1; 0; 0; 0; 0; 0; 1; 1; 0; 1; 
document web bn:03606607n;0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
composer bn:14766022n;0; 1; 0; 0; 0; 0; 0; 1; 0; 0; 0; 
délimiteur bn:03371342n;0; 1; 0; 0; 0; 1; 0; 0; 0; 0; 0; 
coordonnées bn:00022459n;0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 1; 
côté serveur bn:03816678n;0; 1; 0; 1; 0; 1; 0; 0; 0; 0; 1; 
côté client bn:03163702n;0; 1; 0; 1; 0; 1; 0; 0; 0; 0; 0; 
applets bn:00005083n;0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
activex bn:03829972n;0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
plugins bn:00001275n;0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
httpd bn:16913184n;0; 1; 0; 0; 0; 0; 0; 1; 0; 0; 0; 
script bn:01431715n;0; 0; 0; 0; 0; 1; 0; 0; 1; 0; 0; 
mod_perl bn:01549964n;0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
servlets bn:03188848n;0; 1; 0; 0; 0; 1; 0; 0; 0; 0; 0; 
bonjour bn:00043620n;0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
hériter bn:00043823n;0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 1; 
bibliothèques bn:00050969n;0; 1; 0; 0; 0; 0; 0; 0; 0; 1; 0; 
