;C1;C12;C13;C14;C16;C18;C2;C4;C7;C8;C9
debian bn:03704159n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
comportement bn:00009657n;1; 0; 1; 1; 0; 1; 1; 0; 1; 1; 0; 
complexe bn:00100148a;1; 0; 1; 0; 1; 1; 1; 1; 1; 1; 1; 
gestion bn:00053116n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
relatifs bn:00109123a;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
type bn:00016413n;1; 0; 1; 0; 0; 0; 0; 1; 0; 1; 0; 
opérateurs bn:16281811n;1; 0; 1; 1; 0; 1; 1; 1; 1; 0; 1; 
nombre entiers bn:00047009n;1; 0; 1; 1; 1; 0; 0; 1; 0; 1; 0; 
nombre à virgule flottante bn:00035278n;1; 0; 1; 1; 1; 1; 1; 0; 1; 1; 0; 
variable de type bn:02158332n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 0; 
base 10 bn:00025700n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 0; 
base 8 bn:01534404n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
double bn:00101728a;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
backslash bn:00988551n;1; 0; 1; 0; 1; 1; 1; 1; 1; 1; 1; 
valeur numérique bn:00000451n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 0; 
numérique bn:00107649a;1; 0; 1; 1; 1; 1; 1; 1; 0; 1; 0; 
list bn:04720346n;1; 0; 1; 1; 1; 0; 0; 0; 1; 1; 0; 
pointeur bn:03222272n;1; 0; 1; 1; 1; 0; 0; 1; 1; 1; 1; 
cmp bn:00119381n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
cle bn:04756252n;1; 0; 1; 1; 0; 0; 0; 0; 1; 0; 0; 
portée bn:03460088n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
globales bn:00103624a;1; 0; 1; 0; 1; 0; 1; 1; 1; 1; 0; 
affiche bn:15173511n;1; 0; 1; 1; 1; 0; 1; 1; 1; 1; 0; 
bloc bn:03098513n;1; 0; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
statiques bn:00111112a;1; 0; 1; 1; 1; 0; 1; 0; 1; 1; 0; 
récursives bn:00109560a;1; 0; 1; 1; 0; 1; 1; 1; 1; 1; 0; 
ambiguïté bn:00003266n;1; 0; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
méthode bn:01641329n;1; 0; 1; 1; 0; 0; 0; 0; 0; 0; 0; 
disponibles bn:00097848a;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
query_string bn:03583474n;1; 0; 1; 0; 1; 1; 1; 1; 1; 1; 1; 
integer bn:00691555n;1; 0; 1; 1; 1; 1; 1; 1; 1; 0; 1; 
string bn:00050078n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
contraire bn:00100398a;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 0; 
numéro de ligne bn:03406633n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
système d’exploitation bn:00059123n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 0; 
linux bn:00051427n;1; 0; 0; 1; 1; 1; 1; 1; 1; 1; 0; 
vrai bn:00078452n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
multiplication bn:00056300n;1; 0; 0; 1; 0; 1; 1; 0; 1; 1; 0; 
division bn:00027919n;1; 0; 1; 1; 0; 1; 1; 1; 1; 1; 0; 
concaténation bn:03489514n;1; 0; 1; 0; 0; 0; 0; 1; 1; 1; 0; 
bit bn:00010731n;1; 0; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
opérateur logiques bn:00051853n;1; 0; 1; 1; 0; 1; 1; 1; 1; 1; 0; 
égal bn:00102336a;1; 0; 1; 0; 1; 1; 1; 0; 1; 1; 0; 
après bn:00114165r;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
langage c bn:00014377n;1; 0; 1; 1; 1; 1; 1; 0; 1; 1; 0; 
conditionnelles bn:00100214a;1; 0; 1; 1; 1; 0; 1; 1; 1; 1; 0; 
appel de fonction bn:00036827n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
instruction vide bn:03112071n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
structure bn:00094491v;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
lisibilité bn:04849472n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
femme bn:00001530n;1; 0; 1; 1; 1; 1; 1; 1; 1; 0; 0; 
ressembler à bn:00092876v;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
premier bn:00103006a;1; 0; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
boucle for bn:03237322n;1; 0; 1; 1; 1; 0; 1; 1; 1; 0; 0; 
pouvoir bn:00084450v;1; 0; 1; 1; 1; 1; 1; 0; 1; 1; 1; 
foreach bn:03463379n;1; 0; 1; 1; 0; 0; 0; 0; 0; 0; 0; 
vouloir bn:00095629v;1; 0; 1; 1; 1; 0; 0; 1; 1; 1; 1; 
switch bn:01071927n;1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
reproduire bn:00092851v;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
substitution bn:03342494n;1; 0; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
valeur de retour bn:03828774n;1; 0; 1; 1; 0; 0; 0; 1; 1; 1; 0; 
correct bn:00100490a;1; 0; 1; 1; 1; 1; 0; 1; 1; 1; 1; 
carre bn:00036107n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
identique bn:00104508a;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
couleurs bn:00020726n;1; 0; 0; 1; 1; 1; 1; 0; 1; 1; 0; 
coeur bn:00017124n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
passage par référence bn:14985956n;1; 0; 1; 1; 1; 1; 0; 0; 1; 1; 1; 
avoir lieu bn:00085337v;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 0; 
séparer bn:00082871v;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
constante bn:00100331a;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 0; 
valeur par défaut bn:03854990n;1; 0; 1; 1; 0; 0; 1; 0; 1; 1; 0; 
possibilité bn:00045632n;1; 0; 1; 0; 1; 0; 1; 0; 1; 1; 0; 
c++ bn:03586438n;1; 0; 1; 1; 0; 1; 1; 0; 1; 1; 1; 
classes bn:03608262n;1; 0; 1; 0; 0; 1; 1; 1; 1; 0; 0; 
fonctionnalité bn:00036836n;1; 0; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
encapsulation bn:01505556n;1; 0; 1; 1; 0; 1; 1; 1; 1; 1; 0; 
entité bn:00031027n;1; 0; 1; 1; 0; 1; 1; 1; 1; 1; 0; 
entité abstraite bn:00000492n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
abstraite bn:00096212a;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 0; 
caractéristique bn:00099532a;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 0; 
téléphone bn:00062020n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
fonctionnement bn:00059128n;1; 0; 0; 1; 0; 1; 1; 1; 1; 1; 1; 
héritage bn:00043822n;1; 0; 1; 1; 0; 1; 1; 1; 1; 0; 0; 
supplémentaires bn:00111488a;1; 0; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
polymorphisme bn:01974384n;1; 0; 1; 1; 0; 1; 1; 1; 1; 1; 0; 
constructeur bn:03834827n;1; 0; 1; 1; 0; 1; 1; 1; 1; 0; 0; 
parfois bn:00117070r;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
destructeur bn:01558988n;1; 0; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
garbage collector bn:00037292n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
class bn:03598962n;1; 0; 0; 1; 1; 1; 1; 1; 1; 0; 0; 
header bn:00043309n;1; 0; 1; 1; 1; 0; 1; 1; 0; 1; 0; 
mot bn:00081546n;1; 0; 0; 0; 1; 1; 0; 0; 1; 1; 0; 
politique bn:00063351n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
façon bn:00033729n;1; 0; 1; 0; 1; 0; 1; 0; 1; 1; 0; 
pouvoir bn:00063940n;1; 0; 1; 0; 1; 1; 1; 1; 1; 1; 1; 
intervenir bn:00082748v;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
malheureusement bn:00114196r;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
développer bn:00082278v;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
éditer bn:00087485v;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
ldap bn:01096348n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
soin bn:00029048n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
fichier de configuration bn:03229365n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
généralement bn:00114778r;1; 0; 1; 1; 0; 1; 0; 1; 1; 1; 1; 
reprise bn:00067474n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
encadrer bn:00090616v;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
host bn:01846442n;1; 0; 1; 1; 1; 1; 1; 1; 1; 0; 0; 
visiteur bn:03106425n;1; 0; 1; 0; 1; 1; 1; 1; 1; 0; 0; 
sauvegarder bn:00093281v;1; 0; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
compiler bn:00021344n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
détruire bn:00084202v;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
sauvegarde bn:00007838n;1; 0; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
retrouver bn:00088204v;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
variable globale bn:02011863n;1; 0; 1; 1; 1; 1; 1; 1; 0; 1; 1; 
port tcp bn:02405887n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
standard bn:00111129a;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
log bn:00051830n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
tcp/ip bn:00768762n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
alerte rouge bn:00066644n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
relecture bn:00064730n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
libérer bn:00090300v;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 0; 
nom de domaine bn:00028143n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
time bn:03389905n;1; 0; 1; 1; 1; 0; 1; 1; 0; 1; 1; 
interopérabilité bn:00047181n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
interfaçage bn:04713937n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
langage sql bn:02266432n;1; 0; 1; 1; 0; 1; 1; 1; 1; 0; 0; 
voûte bn:00079643n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
commerce bn:00077860n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
commerce électronique bn:00029344n;1; 0; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
électronique bn:00030270n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
adabas d bn:03753860n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
informix bn:03306725n;1; 0; 1; 1; 0; 1; 1; 1; 1; 1; 0; 
msql bn:00466439n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
odbc bn:14228731n;1; 0; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
postgresql bn:01709156n;1; 0; 1; 1; 0; 0; 1; 1; 1; 1; 0; 
sybase bn:01257629n;1; 0; 1; 1; 0; 0; 1; 1; 1; 1; 0; 
berkeley db bn:03239968n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 0; 
delete bn:00941697n;1; 0; 0; 0; 1; 0; 1; 1; 1; 0; 1; 
insert bn:03795444n;1; 0; 0; 0; 1; 1; 1; 1; 1; 0; 0; 
varchar bn:01838409n;1; 0; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
null bn:15898583n;1; 0; 1; 1; 0; 0; 1; 1; 1; 1; 0; 
gates bn:00010401n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
consultation bn:00022092n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
temps bn:00077270n;1; 0; 1; 0; 1; 1; 0; 0; 0; 1; 0; 
organisation bn:00059480n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
stockage de données bn:00021483n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
linus torvalds bn:01002238n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
séquence bn:00070574n;1; 0; 1; 1; 1; 1; 1; 1; 1; 0; 0; 
authentification bn:03253409n;1; 0; 1; 1; 1; 1; 1; 0; 1; 1; 1; 
sr bn:03261447n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
info bn:03662501n;1; 0; 1; 0; 1; 1; 1; 1; 1; 1; 1; 
echo bn:03626250n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
printf bn:03243783n;1; 0; 1; 1; 1; 1; 0; 1; 1; 1; 0; 
join bn:03425746n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
jointure bn:00048368n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
condensateur bn:00015415n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
web bn:00080772n;1; 0; 1; 0; 0; 0; 1; 1; 1; 1; 1; 
analyser bn:15790106n;1; 0; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
strcmp bn:13958358n;1; 0; 1; 1; 1; 1; 0; 1; 1; 1; 1; 
regex bn:01922794n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
posix bn:01643654n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
fin de ligne bn:00051314n;1; 0; 1; 0; 0; 1; 1; 1; 1; 0; 1; 
successives bn:00100306a;1; 0; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
rx bn:04024425n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
dynamique bn:00101917a;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
fonction mathématiques bn:00036821n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
xml bn:02771436n;1; 0; 1; 0; 0; 1; 1; 1; 1; 1; 1; 
langage de programmation bn:00064652n;1; 0; 0; 1; 1; 1; 0; 0; 1; 1; 1; 
issue bn:00085360v;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
lire bn:00066357n;1; 0; 1; 1; 1; 0; 1; 0; 1; 1; 0; 
fread bn:13825823n;1; 0; 1; 1; 1; 1; 0; 0; 1; 1; 1; 
positionnement bn:00030615n;1; 0; 1; 1; 1; 1; 1; 0; 1; 1; 1; 
message bn:00521573n;1; 0; 1; 1; 0; 0; 1; 1; 1; 0; 1; 
