X;C1;C2;C3;C4;C5;C6;C7;C8;C9;C10;CJA
capables;0;0;0;0.00519481;0;0;0;0;0;0.00428266;0
tableau associatifs;0;0;0;0;0.00835073;0;0.0120482;0;0;0.00852878;0
hash;0;0;0.030888;0.0401003;0.0325866;0;0;0;0;0.033264;0.039604
sizeof;0;0;0;0;0;0;0;0;0.00472813;0.00428266;0
foreach;0;0.302048;0.307918;0.290484;0.312595;0.281759;0.27758;0;0.2976;0.276119;0.267101
cle;0;0.0411311;0.030888;0.0401003;0;0;0;0;0.0366133;0.033264;0
rappel;0;0;0.105169;0.125843;0.120983;0.117137;0.137755;0;0.120582;0.110476;0
serveur;0;0;0.0599251;0.0771084;0.0631164;0;0;0.0984615;0.0706402;0.0643863;0
unix;0;0;0.0156863;0;0.0165631;0;0;0;0;0.0169133;0.020202
page;0;0;0.00396825;0;0;0;0;0;0;0.00428266;0
communication;0;0;0;0;0.00835073;0.00997506;0;0;0;0;0.0102041
possibilité;0;0;0;0.0771084;0.0631164;0.0745921;0;0;0.0706402;0.0643863;0.0761905
interpréter;0;0;0;0;0.00835073;0;0;0.013468;0;0.00852878;0
linux;0;0;0.030888;0;0.0325866;0.0387409;0;0;0.0366133;0.033264;0
line;0;0;0;0;0;0;0;0;0;0.00428266;0.00512821
rows;0;0.0209974;0;0;0;0.0197531;0;0;0.018648;0.0169133;0
query string;0;0;0;0;0.00419287;0;0;0;0;0.00428266;0
clique;0;0;0;0;0;0;0;0;0;0.00214592;0
analyser;0;0;0;0;0;0;0;0;0;0.00214592;0
variables;0;0;0;0;0;0;0;0;0;0.00214592;0
transaction;0;0;0.0156863;0;0.0165631;0;0;0;0;0.0169133;0.020202
femme;0;0;0;0;0;0;0;0.013468;0.00941176;0.00852878;0
côté client;0;0;0.0156863;0;0.0165631;0.0197531;0;0;0;0.0169133;0
ok;0;0;0;0;0;0;0;0;0;0.00214592;0
droit;0;0;0.030888;0.0401003;0.0325866;0.0387409;0;0;0;0.033264;0
générique;0;0;0.00790514;0;0;0;0;0;0;0.00852878;0.0102041
échouer;0;0;0;0;0;0;0;0;0;0.00214592;0
contacter;0;0;0;0;0.00419287;0;0;0;0;0.00428266;0
pouvoir;0;0;0;0;0;0.00501253;0;0;0;0.00428266;0
standard;0;0;0.030888;0;0.0325866;0.0387409;0;0;0;0.033264;0.039604
conditionnelles;0;0;0.0156863;0;0;0;0;0;0.018648;0.0169133;0.020202
diagramme;0;0;0;0;0;0;0;0.00677966;0;0.00428266;0
switch;0;0.184805;0.184564;0.205339;0;0;0.209091;0.215159;0.177024;0.179894;0.188755
bloc;0;0;0.0156863;0;0.0165631;0;0;0;0;0.0169133;0.020202
prix unitaire;0;0;0;0;0;0;0;0.00677966;0;0.00428266;0
boucle for;0;0;0;0;0;0.0387409;0;0.0517799;0.0366133;0.033264;0.039604
répéter;0;0;0.0156863;0;0.0165631;0;0;0;0.018648;0.0169133;0
initialisation;0;0;0;0;0.00835073;0;0;0;0;0.00852878;0.0102041
