X ; C11 ; C15 ; C17 ; C19 ; C3 ; C5 ; C6 ; CJA
endroit bn:00062699n ; 0 ; 0 ; 0 ; 0.0153846 ; 0 ; 0 ; 0 ; 0.0153846
symbole bn:00075652n ; 0 ; 0.111111 ; 0 ; 0.111111 ; 0.111111 ; 0.111111 ; 0 ; 0.111111
alternatif bn:00096897a ; 0 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
math bn:00053823n ; 0 ; 0 ; 0.0588235 ; 0 ; 0.0588235 ; 0.0588235 ; 0.0588235 ; 0
histoire bn:00044268n ; 0 ; 0 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2
document object model bn:03762301n ; 0 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0 ; 0.2 ; 0.2
consortium bn:00022016n ; 0 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
détecter bn:00086708v ; 0 ; 0 ; 0 ; 0 ; 0.0153846 ; 0.0153846 ; 0 ; 0
class bn:03598962n ; 0 ; 0 ; 0.0153846 ; 0 ; 0 ; 0 ; 0.0153846 ; 0
déclencher bn:00082306v ; 0 ; 0.2 ; 0.2 ; 0.2 ; 0 ; 0.2 ; 0.2 ; 0.2
qualificatif bn:00055488n ; 0 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0
variable booléenne bn:00294693n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0153846 ; 0.0153846 ; 0
examiner bn:00074790n ; 0 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
contexte bn:00022168n ; 0 ; 0.111111 ; 0.111111 ; 0.111111 ; 0 ; 0.111111 ; 0.111111 ; 0
encodage bn:00030696n ; 0 ; 0.0153846 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0153846
