X;C3.csv;C5.csv;C6.csv;CJA-automatic.csv
oreille;0;0.333333;0.333333;0.333333
gras;0;0.333333;0.333333;0.333333
entité html;0;0.333333;0.333333;0.333333
fonctionnement;0;0.333333;0.333333;0.333333
quotes;0;0.333333;0.333333;0.333333
formater;0;0.2;0.2;0
troisième;0;0.333333;0.333333;0.333333
colle;0;0.333333;0.333333;0.333333
longueur;0;0;0.111111;0
trim;0;0;0;0.111111
invisibles;0;0.2;0.2;0
strcmp;0;0.333333;0.333333;0.333333
égale;0;0.333333;0.333333;0.333333
expiration;0;0.333333;0.333333;0.333333
disponible;0;0.2;0;0.2
variable globale;0;0.333333;0.333333;0.333333
mot de passe;0;0.2;0;0.2
visiteur;0;0.2;0;0.2
authentification;0;0;0;0.111111
déconnexion;0;0.333333;0.333333;0.333333
évidente;0;0.333333;0.333333;0.333333
connecté;0;0.333333;0.333333;0.333333
démarrer;0;0.2;0;0.2
balise html;0;0.2;0;0.2
sauvegarde;0;0.2;0;0.2
unset;0;0.333333;0.333333;0.333333
cookie de session;0;0.333333;0.333333;0.333333
recommencer;0;0.333333;0.333333;0.333333
décompte;0;0.2;0;0.2
unix_timestamp;0;0.333333;0.333333;0.333333
retirer;0;0.333333;0.333333;0.333333
dll;0;0.333333;0.333333;0.333333
jpeg;0;0.333333;0.333333;0.333333
windows bitmap;0;0.333333;0.333333;0.333333
truecolor;0;0.333333;0.333333;0.333333
largeur;0;0.333333;0.333333;0.333333
gd;0;0.333333;0.333333;0.333333
gif;0;0.333333;0.333333;0.333333
psd;0;0.333333;0.333333;0.333333
tiff;0;0.333333;0.333333;0.333333
intel;0;0;0.2;0.2
rouge;0;0;0.2;0.2
vert;0;0;0.2;0.2
premier;0;0.111111;0;0
rvb;0;0.333333;0.333333;0.333333
coordonnées;0;0.333333;0.333333;0.333333
total;0;0.111111;0;0
zone;0;0.2;0;0.2
blue;0;0.333333;0.333333;0.333333
cercle;0;0.2;0;0.2
ellipse;0;0.333333;0.333333;0.333333
juste;0;0.333333;0.333333;0.333333
mot-clé;0;0.333333;0.333333;0.333333
constante;0;0.2;0.2;0
classe d;0;0.333333;0.333333;0.333333
autre;0;0.111111;0;0
héritage multiple;0;0.2;0.2;0
classe a;0;0.333333;0.333333;0.333333
faire référence;0;0.333333;0.333333;0.333333
générique;0;0.2;0.2;0
type b;0;0.333333;0.333333;0.333333
ramasse-miettes;0;0.2;0.2;0
code objet;0;0.333333;0.333333;0.333333
clonage;0;0.333333;0.333333;0.333333
directe;0;0.2;0.2;0
explicite;0;0.2;0.2;0
via;0;0.333333;0.333333;0.333333
descripteur de fichiers;0;0.333333;0.333333;0.333333
o3;0;0.333333;0.333333;0.333333
substituer;0;0.333333;0.333333;0.333333
être utile;0;0.111111;0;0
utile;0;0.2;0.2;0
abstraire;0;0;0.111111;0
abstraites;0;0.2;0.2;0
classe abstraite;0;0.2;0.2;0
dérivée;0;0.333333;0.333333;0.333333
implémentant;0;0.2;0.2;0
redéfinition;0;0.2;0.2;0
final;0;0.2;0.2;0
final;0;0.2;0.2;0
prototypes;0;0.333333;0.333333;0.333333
template;0;0.333333;0.333333;0.333333
déclencher;0;0.333333;0.333333;0.333333
contraire;0;0.333333;0.333333;0.333333
variable;0;0.2;0;0.2
iterator;0;0.2;0.2;0
numéro de ligne;0;0.333333;0.333333;0.333333
erreur;0;0.333333;0.333333;0.333333
parent;0;0.2;0;0.2
ancien système;0;0.333333;0.333333;0.333333
stream;0;0.333333;0.333333;0.333333
xampp;0;0;0.2;0.2
etc.;0;0;0;0.111111
erreur de syntaxe;0;0.333333;0.333333;0.333333
intéresser;0;0.333333;0.333333;0.333333
réception;0;0.2;0.2;0
répéter;0;0;0.2;0.2
cas objet;0;0.333333;0.333333;0.333333
internes;0;0.2;0.2;0
supporter;0;0.333333;0.333333;0.333333
remplissage;0;0.2;0;0.2
structure;0;0.333333;0.333333;0.333333
epub;0.333333;0;0.333333;0.333333
format pdf;0.2;0;0;0.2
caractéristique;0.111111;0;0;0
installation;0.2;0;0.2;0
3.14;0.2;0;0.2;0
filtrage;0.333333;0;0.333333;0.333333
validation;0.333333;0;0.333333;0.333333
composer;0.111111;0;0;0
symfony;0.333333;0;0.333333;0.333333
application;0.333333;0;0.333333;0.333333
web service;0.333333;0;0.333333;0.333333
web mobile;0.333333;0;0.333333;0.333333
mobile;0.333333;0;0.333333;0.333333
informatique;0.111111;0;0;0
interpréter;0.333333;0;0.333333;0.333333
compilateur;0.111111;0;0;0
compilateur jit;0.333333;0;0.333333;0.333333
facebook;0.333333;0;0.333333;0.333333
coder;0.111111;0;0;0
fichier source;0.111111;0;0;0
sortie;0.333333;0;0.333333;0.333333
retrouver;0.2;0;0;0.2
programmeur;0.2;0;0.2;0
développement;0.2;0;0.2;0
ca;0.333333;0;0.333333;0.333333
livre;0.2;0;0;0.2
hiphop;0.333333;0;0.333333;0.333333
machine virtuelle;0.2;0;0.2;0
typage fort;0.333333;0;0.333333;0.333333
framework;0.2;0;0.2;0
phalcon;0.333333;0;0.333333;0.333333
compilation aot;0.333333;0;0.333333;0.333333
possibilité;0.111111;0;0;0
travers;0.2;0;0.2;0
yahoo;0.333333;0;0.333333;0.333333
content management systems;0.333333;0;0.333333;0.333333
gestion de contenu;0.333333;0;0.333333;0.333333
joomla;0.333333;0;0.333333;0.333333
développement web;0.2;0;0;0.2
laravel;0.333333;0;0.333333;0.333333
mamp;0.333333;0;0.333333;0.333333
indispensable;0.111111;0;0;0
macports;0.333333;0;0.333333;0.333333
client serveur;0.2;0;0;0.2
communication;0.111111;0;0;0
fichier de configuration;0.333333;0;0.333333;0.333333
numbers;0.333333;0;0.333333;0.333333
compression;0.333333;0;0.333333;0.333333
phase;0.111111;0;0;0
éxécution;0.333333;0;0.333333;0.333333
logging;0.333333;0;0.333333;0.333333
désactiver;0.2;0;0;0.2
démarrage;0.333333;0;0.333333;0.333333
plugins;0.333333;0;0.333333;0.333333
logger;0.333333;0;0.333333;0.333333
rapporter;0.333333;0;0.333333;0.333333
fuite de mémoire;0.333333;0;0.333333;0.333333
chaine;0.333333;0;0.333333;0.333333
socket;0.333333;0;0.333333;0.333333
chemin;0.2;0;0;0.2
iconv;0.333333;0;0.333333;0.333333
système d;0.2;0;0.2;0
smtp;0.333333;0;0.333333;0.333333
set;0.333333;0;0.333333;0.333333
lien permanents;0.333333;0;0.333333;0.333333
links;0.333333;0;0.333333;0.333333
host;0.2;0;0;0.2
passwd;0.333333;0;0.333333;0.333333
mysqli;0.333333;0;0.333333;0.333333
md5;0.333333;0;0.333333;0.333333
assertion;0.2;0;0.2;0
fonction utilisateur;0.333333;0;0.333333;0.333333
doctype;0.333333;0;0.333333;0.333333
mac os x;0.333333;0;0.333333;0.333333
khtml;0.333333;0;0.333333;0.333333
gecko;0.333333;0;0.333333;0.333333
doc;0.2;0;0;0.2
msie;0.333333;0;0.333333;0.333333
firefox;0.333333;0;0.333333;0.333333
chrome;0.333333;0;0.333333;0.333333
safari;0.333333;0;0.333333;0.333333
remède;0.333333;0;0.333333;0.333333
head;0.2;0;0;0.2
existence;0.2;0;0;0.2
répondre;0.333333;0;0.333333;0.333333
null;0.111111;0;0;0
simplifier;0.333333;0;0.333333;0.333333
concaténation;0.111111;0;0;0
majuscule;0.2;0;0;0.2
égalité;0.333333;0;0.333333;0.333333
eval;0.333333;0;0.333333;0.333333
tableau associatifs;0.333333;0;0.333333;0.333333
parcours;0.111111;0;0;0
mardi;0.2;0;0;0.2
mercredi;0.333333;0;0.333333;0.333333
jeudi;0.2;0;0;0.2
casse;0.333333;0;0.333333;0.333333
query_string;0.333333;0;0.333333;0.333333
externes;0.333333;0;0.333333;0.333333
racine;0.2;0;0.2;0
signaler;0.333333;0;0.333333;0.333333
type de retour;0.2;0;0.2;0
etudiant;0.2;0;0;0.2
setter;0.2;0;0.2;0
attribut;0.2;0;0.2;0
espace de nommage;0.333333;0;0.333333;0.333333
bleu;0.333333;0;0.333333;0.333333
set;0.333333;0;0.333333;0.333333
diff;0.333333;0;0.333333;0.333333
ball;0.333333;0;0.333333;0.333333
être;0.2;0;0;0.2
interrogation;0.2;0;0.2;0
prenom;0.2;0;0;0.2
jeanne;0.333333;0;0.333333;0.333333
durand;0.333333;0;0.333333;0.333333
andreas;0.333333;0;0.333333;0.333333
dalton;0.333333;0;0.333333;0.333333
fichier css;0.333333;0;0.333333;0.333333
auto;0.2;0;0.2;0
tr;0.333333;0;0.333333;0.333333
puce;0.2;0;0.2;0
clef primaire;0.2;0;0;0.2
franz kafka;0.333333;0;0.333333;0.333333
cotes;0.333333;0;0.333333;0.333333
systématiquement;0.333333;0;0.333333;0.333333
injections;0.333333;0;0.333333;0.333333
injections sql;0.333333;0;0.333333;0.333333
essayer;0.2;0;0;0.2
code malveillant;0.333333;0;0.333333;0.333333
faille de sécurité;0.333333;0;0.333333;0.333333
html5;0.333333;0;0.333333;0.333333
être valables;0.333333;0;0.333333;0.333333
injection de code;0.333333;0;0.333333;0.333333
système d’information;0.333333;0;0.333333;0.333333
credit;0.333333;0;0.333333;0.333333
depot;0.2;0;0;0.2
commit;0.333333;0;0.333333;0.333333
réutilisé;0.111111;0;0;0
printf;0.2;0;0.2;0
action;0.333333;0;0.333333;0.333333
courant;0.2;0;0.2;0
href;0.2;0;0;0.2
csrf;0.333333;0;0.333333;0.333333
temporaire;0.333333;0;0.333333;0.333333
django;0.333333;0;0.333333;0.333333
flask;0.333333;0;0.333333;0.333333
token;0.2;0;0.2;0
svg;0.333333;0;0.333333;0.333333
mathml;0.333333;0;0.333333;0.333333
document object model;0.333333;0;0.333333;0.333333
document xml;0.333333;0;0.333333;0.333333
bas niveau;0.2;0;0.2;0
programme tv;0.333333;0;0.333333;0.333333
tv;0.333333;0;0.333333;0.333333
debut;0.333333;0;0.333333;0.333333
smith;0.333333;0;0.333333;0.333333
realisateur;0.333333;0;0.333333;0.333333
dutchman;0.333333;0;0.333333;0.333333
johnny guitar;0.333333;0;0.333333;0.333333
guitar;0.333333;0;0.333333;0.333333
woman under the influence;0.333333;0;0.333333;0.333333
victor/victoria;0.333333;0;0.333333;0.333333
simplexml;0.333333;0;0.333333;0.333333
the flying dutchman;0.333333;0;0.333333;0.333333
jour de fête;0.333333;0;0.333333;0.333333
controleur;0.2;0;0.2;0
composants;0.333333;0;0.333333;0.333333
version;0.2;0;0;0.2
framework web;0.333333;0;0.333333;0.333333
cd;0.2;0;0;0.2
path;0.2;0;0.2;0
menu;0.2;0;0;0.2
poisson;0.333333;0;0.333333;0.333333
catch;0.333333;0;0.333333;0.333333
h2;0.333333;0;0.333333;0.333333
routage;0.333333;0;0.333333;0.333333
familiariser;0.333333;0;0.333333;0.333333
micro-noyau;0.333333;0;0.333333;0.333333
package;0.2;0;0.2;0
courantes;0.333333;0;0.333333;0.333333
bin;0.333333;0;0.333333;0.333333
répertoire de travail;0.333333;0;0.333333;0.333333
log;0.333333;0;0.333333;0.333333
flex;0.333333;0;0.333333;0.333333
test driven development;0.333333;0;0.333333;0.333333
avant;0.333333;0;0.333333;0.333333
méthodologie;0.333333;0;0.333333;0.333333
spécification;0.2;0;0.2;0
junit;0.2;0;0.2;0
phpunit;0.333333;0;0.333333;0.333333
sommes;0.333333;0;0.333333;0.333333
librairie;0.111111;0;0;0
mettre en place;0.333333;0;0.333333;0.333333
architecture rest;0.333333;0;0.333333;0.333333
transfer;0.333333;0;0.333333;0.333333
logique métier;0.333333;0;0.333333;0.333333
json;0.333333;0;0.333333;0.333333
js;0.333333;0;0.333333;0.333333
rich internet application;0.333333;0;0.333333;0.333333
patch;0.333333;0;0.333333;0.333333
soap;0.333333;0;0.333333;0.333333
microsoft;0.2;0;0;0.2
principe;0.333333;0;0.333333;0.333333
roy fielding;0.333333;0;0.333333;0.333333
thèse;0.333333;0;0.333333;0.333333
séparation;0.2;0;0;0.2
code serveur;0.333333;0;0.333333;0.333333
description;0.2;0;0;0.2
mémorisation;0.333333;0;0.333333;0.333333
contact;0.333333;0;0.333333;0.333333
creation;0.2;0;0.2;0
détails;0.2;0;0;0.2
avérer;0.2;0;0.2;0
root;0.333333;0;0.333333;0.333333
voter;0.333333;0;0.333333;0.333333
mobile;0.2;0;0.2;0
informatique;0.111111;0;0;0
initialisation;0.2;0;0.2;0
gitlab;0.333333;0;0.333333;0.333333
bitbucket;0.333333;0;0.333333;0.333333
github;0.333333;0;0.333333;0.333333
revue;0.333333;0;0.333333;0.333333
gestion de version;0.333333;0;0.333333;0.333333
professionnelle;0.333333;0;0.333333;0.333333
historique;0.333333;0;0.333333;0.333333
dominique;0.333333;0.333333;0;0.333333
novembre;0.333333;0.333333;0;0.333333
document;0.333333;0.333333;0;0.333333
gnu;0.333333;0.333333;0;0.333333
gnu fdl;0.333333;0.333333;0;0.333333
généralité;0.333333;0.333333;0;0.333333
langage intermédiaires;0.333333;0.333333;0;0.333333
faq;0.333333;0.333333;0;0.333333
préliminaire;0.333333;0.333333;0;0.333333
postgresql;0.333333;0.333333;0;0.333333
pear;0.333333;0.333333;0;0.333333
dbx;0.333333;0.333333;0;0.333333
news;0.333333;0.333333;0;0.333333
manipulation;0.333333;0.333333;0;0.333333
accueil;0.333333;0.333333;0;0.333333
étude de cas;0.333333;0.333333;0;0.333333
évaluation;0.333333;0.333333;0;0.333333
généalogie;0.333333;0.333333;0;0.333333
généralité;0.333333;0.333333;0;0.333333
optimisation;0.333333;0.333333;0;0.333333
fonctionnement;0.333333;0.333333;0;0.333333
remarque;0.333333;0.333333;0;0.333333
autre;0.333333;0.333333;0;0.333333
traiter de;0.333333;0.333333;0;0.333333
aborder;0.333333;0.333333;0;0.333333
universitaires;0.333333;0.333333;0;0.333333
autonome;0.333333;0.333333;0;0.333333
logiciel;0.2;0.2;0;0
docbook;0.333333;0.333333;0;0.333333
texte source;0.333333;0.333333;0;0.333333
emacs;0.333333;0.333333;0;0.333333
dtd;0.333333;0.333333;0;0.333333
disponible;0.333333;0.333333;0;0.333333
seul;0.333333;0.333333;0;0.333333
langage naturels;0.333333;0.333333;0;0.333333
ordinateur;0.333333;0.333333;0;0.333333
processeur;0.2;0.2;0;0
réécrire;0.333333;0.333333;0;0.333333
portabilité;0.2;0.2;0;0
langage compilés;0.333333;0.333333;0;0.333333
intelligible;0.333333;0.333333;0;0.333333
point de vue;0.2;0.2;0;0
auxiliaire;0.333333;0.333333;0;0.333333
mesure;0.333333;0.333333;0;0.333333
exécutable;0.2;0.2;0;0
compilé;0.333333;0.333333;0;0.333333
confidentialité;0.333333;0.333333;0;0.333333
paiement;0.333333;0.333333;0;0.333333
paiement en ligne;0.333333;0.333333;0;0.333333
lisp;0.333333;0.333333;0;0.333333
applets;0.2;0.2;0;0
page web dynamiques;0.333333;0.333333;0;0.333333
flash;0.333333;0.333333;0;0.333333
problématique;0.333333;0.333333;0;0.333333
contrôle de sécurité;0.333333;0.333333;0;0.333333
validité;0.333333;0.333333;0;0.333333
être extrait;0.333333;0.333333;0;0.333333
réalité;0.333333;0.333333;0;0.333333
outil de développement;0.2;0.2;0;0
importer;0.2;0.2;0;0
application web;0.2;0.2;0;0
tant;0.333333;0.333333;0;0.333333
