;A1;A2;A3;A4;A5;C1;C2;C3;C4;C5;C6;C7;C8
available bn:00097846a;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 
things bn:00006125n;0; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
good enough bn:00103688a;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
min bn:00055094n;0; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
frequent bn:00103324a;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
history bn:00044268n;0; 0; 1; 1; 0; 0; 0; 0; 0; 0; 0; 1; 0; 
corresponding bn:00085837v;0; 1; 1; 0; 0; 1; 1; 1; 1; 1; 0; 1; 1; 
asterisk bn:00006605n;0; 1; 1; 0; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
effect bn:00021961n;0; 0; 0; 0; 0; 1; 0; 0; 1; 1; 1; 1; 0; 
modifying bn:00082553v;0; 0; 1; 0; 1; 0; 1; 0; 1; 1; 1; 1; 1; 
require bn:00091028v;0; 1; 0; 0; 0; 0; 1; 1; 1; 1; 0; 0; 0; 
pressing bn:00091991v;0; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
contradiction bn:00022245n;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
determinism bn:00026654n;0; 1; 1; 1; 1; 1; 1; 0; 1; 0; 1; 0; 1; 
dashed bn:00086292v;0; 0; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
simultaneous bn:00099916a;0; 1; 1; 1; 0; 1; 0; 1; 0; 1; 0; 1; 0; 
happenings bn:00042904n;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
dependence bn:00026351n;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
generalization bn:00037671n;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
lack bn:00025913n;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
application bn:00005095n;0; 0; 0; 0; 0; 0; 1; 0; 1; 1; 1; 0; 1; 
radar bn:00054808n;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
calibration bn:00014732n;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
matter bn:00053867n;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 
omitted bn:00087798v;0; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 
explicit bn:00102589a;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
epsilon bn:00031270n;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
possibility bn:00045632n;0; 0; 0; 0; 0; 1; 0; 0; 1; 1; 1; 0; 1; 
merging bn:00083597v;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
stubbed bn:00094497v;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
rely bn:00083095v;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
delta h bn:00031016n;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
separate bn:00110423a;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
person bn:00046516n;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
status bn:00021644n;0; 0; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
light bn:00051108n;0; 1; 1; 0; 0; 0; 1; 0; 1; 0; 1; 0; 1; 
linked bn:00082868v;0; 1; 0; 0; 1; 1; 1; 1; 1; 1; 1; 0; 1; 
writing programs bn:00076736n;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
death bn:00025582n;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
forgotten bn:00084302v;0; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 
criterion bn:00023853n;0; 1; 0; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
employed bn:00082705v;0; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
right bn:00031712n;0; 0; 1; 0; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
process bn:00020452n;0; 0; 0; 0; 0; 0; 0; 1; 1; 1; 1; 0; 1; 
second bn:00095974a;0; 0; 1; 0; 0; 0; 0; 1; 0; 1; 0; 0; 1; 
beep bn:00009587n;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
designer bn:00005435n;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
case bn:00016403n;0; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 0; 1; 
applicability bn:00005090n;0; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
documentation bn:00046704n;0; 1; 1; 1; 1; 1; 1; 0; 1; 0; 1; 1; 1; 
list bn:00023140n;0; 1; 1; 0; 1; 1; 1; 1; 0; 1; 1; 1; 1; 
merely bn:00114626r;0; 0; 1; 0; 1; 0; 0; 1; 1; 1; 1; 0; 1; 
instructive bn:00105088a;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
prescribed bn:00086778v;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
mon bn:00055609n;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
reason bn:00047021n;0; 0; 0; 0; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
end time bn:00023469n;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
accompanying bn:00082221v;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 
text bn:00076732n;0; 1; 1; 0; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
content bn:00100364a;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
reg bn:01922794n;0; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
ok bn:00096817a;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
topology bn:00003800n;0; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
incomplete bn:00104851a;0; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
able bn:00096153a;0; 1; 1; 1; 0; 0; 1; 1; 1; 1; 1; 1; 1; 
generic bn:00103518a;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
specifier bn:00073221n;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
select bn:00084931v;0; 1; 0; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
disjunction bn:00027504n;0; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
timeout bn:00896492n;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
timers bn:00077309n;0; 1; 1; 1; 0; 0; 1; 1; 0; 1; 1; 1; 1; 
time unit bn:00077301n;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
syntax bn:00062118n;0; 0; 1; 1; 0; 0; 1; 0; 1; 0; 1; 1; 0; 
upper bn:00113424a;0; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
purpose bn:00002178n;0; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
advantage bn:00001561n;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
philosophy bn:00061984n;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 
desirable bn:00101237a;0; 0; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
letter bn:00003057n;0; 0; 1; 0; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
word bn:00081546n;0; 0; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
obviously bn:00114319r;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
responsible bn:00109742a;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
so far bn:00114369r;0; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
sensed bn:00093491v;0; 1; 1; 1; 0; 0; 1; 1; 1; 1; 1; 1; 1; 
respond bn:00092421v;0; 1; 1; 1; 0; 1; 1; 1; 1; 0; 1; 1; 1; 
value bn:00079511n;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
instantaneous bn:00105206a;0; 1; 1; 0; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
balance bn:00008051n;0; 0; 1; 0; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
trigger bn:00046547n;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
necessarily bn:00116331r;0; 1; 0; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
instantaneously bn:00115782r;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
accordingly bn:00114106r;0; 0; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 
associate bn:00097617a;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 
meanings bn:00056443n;0; 0; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
entrance bn:00030989n;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
port bn:00047090n;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
method bn:01641329n;0; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
conviction bn:00021628n;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
instruction bn:00026980n;0; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
a. bn:00000146n;0; 0; 1; 0; 0; 1; 1; 1; 1; 1; 1; 0; 1; 
boolean bn:00098690a;0; 1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
simultaneously bn:00114428r;0; 1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
