X;C1;C11;C12;C13;C14;C15;C16;C17;C18;C19;C2;C3;C4;C5;C6;C7;C8;C9
internet;0;0.105229;0.122982;0;0.152037;0.0939806;0;0;0.145207;0.0950884;0;0.0936735;0;0.113685;0.117462;0;0;0.114899
juste;0;0.00190749;0;0;0;0;0;0.00273224;0;0;0;0.00181984;0;0;0;0;0.0101394;0
avoir accès;0;0.00190749;0;0;0;0.0017127;0;0;0;0;0;0;0;0;0.00219118;0;0;0.00215401
cours en ligne;0;0.000477555;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000539374
moindre;0;0.00190749;0;0;0;0.0017127;0;0;0;0;0;0;0;0;0.00219118;0;0;0.00215401
hit;0;0.000238834;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
système;0;0.100384;0.12314;0;0;0.0938593;0.153482;0.132284;0;0.0917467;0;0.0980312;0;0.110928;0.115171;0;0;0.116635
système de gestion;0;0.00711406;0;0.034279;0;0.00639114;0;0;0;0;0;0.00656109;0;0.00768619;0.0087146;0;0;0
système de gestion de base de donnée;0;0.00758653;0;0;0;0.00681576;0;0.0108401;0;0;0;0.00723982;0.0146453;0;0.00870748;0;0;0
sensibles;0;0.00758653;0;0;0;0;0;0.0108401;0;0;0;0.00723982;0.0146453;0.00848131;0.00870748;0;0;0
convient;0;0.000954654;0;0;0;0.000857082;0;0;0;0;0;0;0;0;0.00109679;0;0;0
circonstances;0;0.000238834;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
macromedia;0;0.000238834;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
macromedia dreamweaver;0;0.000238834;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
insertion;0;0.0207993;0;0.0641026;0;0.0195707;0;0.0241004;0.029829;0.0189523;0;0.0212291;0.0345591;0;0;0;0;0
aller;0;0.000954654;0;0;0;0;0;0;0;0.000868244;0;0;0;0;0;0;0;0.00107817
webmail;0;0.000238834;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
valeur par défaut;0;0.0882988;0.102584;0;0;0.08281;0.130479;0.116203;0;0;0;0.0941152;0.134666;0.101366;0.100563;0;0;0.100362
finale;0;0.000954654;0;0;0;0;0;0;0;0;0;0.000910747;0;0;0;0;0;0.00107817
porter;0;0.00190749;0;0;0;0;0;0;0;0;0;0.00181984;0.00370199;0;0.00219118;0;0;0
rows;0;0.00190749;0;0;0;0;0;0;0;0;0.00485732;0;0;0;0.00219118;0;0;0.00215401
menu;0;0.00758653;0;0;0.0126034;0;0;0;0.0119358;0.00690399;0;0;0;0.00848131;0.00870748;0;0;0
variable;0;0.00380771;0;0;0;0.00341953;0;0;0;0.00346395;0;0.00363306;0;0;0.00437278;0;0;0
sélection multiple;0;0.000477555;0;0;0;0;0;0;0;0;0;0;0.000928074;0;0;0;0;0
multiple;0;0.000238834;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
précèdent;0;0.000238834;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
indispensable;0;0.000954654;0;0;0;0;0;0;0;0;0;0;0;0.00106809;0.00109679;0;0;0
possible;0;0.00380771;0;0;0;0.00341953;0;0;0;0;0;0.00363306;0;0.00425872;0.00437278;0;0;0
afficher;0;0.0269517;0.0316921;0;0;0.024477;0.041181;0.0375;0;0;0;0.0271111;0.0464708;0;0.0308429;0;0;0
parfois;0;0.000954654;0.00117096;0;0;0;0;0.00136799;0;0;0;0;0;0;0;0;0;0
nécessaire;0;0;0;0;0;0.0017127;0;0;0;0;0;0.00181984;0.00370199;0;0.00219118;0;0;0
sélection simple;0;0.000238834;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
distance;0;0.000477555;0;0;0;0;0;0;0;0;0;0;0;0;0.000548697;0;0;0
accesskey;0;0.000238834;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
serveur;0;0.110639;0.130104;0;0.130172;0.100463;0;0.116934;0;0.0975705;0;0.109931;0.137722;0.108665;0;0;0.11826;0.118173
vouloir;0;0.0809982;0.0909091;0;0;0.0866948;0;0.103034;0.113986;0.0776816;0.111576;0.0735171;0;0.0876301;0.0881406;0;0;0
courants;0;0.000477555;0;0;0;0;0;0;0;0;0;0;0;0.000534331;0;0;0;0
endroit;0;0.0150588;0;0;0;0.0135392;0;0.0214477;0;0;0;0.0143756;0;0.01682;0.0172646;0;0;0.0169761
symbole;0;0.000477555;0;0;0;0;0;0.000684463;0;0;0;0;0;0;0;0;0;0
alternatif;0;0.000238834;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
math;0;0.0145882;0.0181295;0;0.0241151;0.0131161;0.0247012;0;0;0.0137192;0;0;0;0;0.0167251;0;0;0
histoire;0;0.00190749;0;0;0;0.0017127;0;0;0.00301091;0;0;0;0;0;0.00219118;0;0;0
document object model;0;0.000477555;0;0;0;0;0;0;0;0;0;0;0;0.000534331;0;0;0;0
consortium;0;0.000238834;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
détecter;0;0.00380771;0;0;0;0.00341953;0;0.00544959;0;0.00346395;0;0;0;0;0.00437278;0;0;0
class;0;0.0129534;0.0155485;0.0580866;0;0.0125026;0;0;0;0.0124464;0;0;0;0.0144699;0;0;0;0.0140658
qualificatif;0;0.000477555;0;0;0;0;0.000816993;0;0;0;0;0;0;0;0;0;0;0
examiner;0;0.000238834;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
contexte;0;0.000477555;0;0;0;0;0;0;0;0;0;0.000455581;0;0;0;0;0;0
encodage;0;0.0296708;0.0361582;0;0;0;0;0.0419948;0.0460929;0.0270556;0;0.0283437;0;0.0330835;0.0339433;0;0;0
composer;0;0.00758653;0.00929152;0;0;0.00681576;0;0.0108401;0;0;0;0;0.0146453;0;0.00870748;0;0;0
boîte de dialogue;0;0.000477555;0;0;0;0;0;0;0;0;0;0.000455581;0;0;0;0;0;0
chaîne;0;0.00380771;0;0;0;0.00341953;0.00649878;0;0;0;0;0;0;0;0.00437278;0;0;0.00429876
modèle objet;0;0.0150588;0;0;0;0.0135392;0;0.0214477;0;0.0137133;0;0.0143756;0;0.01682;0;0;0;0.0169761
document;0;0.000477555;0;0;0;0;0;0;0;0;0;0;0;0;0.000548697;0;0;0
identique;0;0.00190749;0.00233918;0;0;0.0017127;0;0;0;0;0;0.00181984;0;0;0;0;0;0
fichier batch;0;0.000238834;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
touche de tabulation;0;0.000238834;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
supplémentaires;0;0.0150588;0.018412;0;0;0;0;0.0214477;0.0235901;0;0;0.0143756;0;0.01682;0.0172646;0;0;0
label;0;0.000477555;0;0;0;0;0;0;0;0.000434311;0;0;0;0;0;0;0;0
également;0;0.000238834;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
menu en cascade;0;0.000238834;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
langage objets;0;0.000238834;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
délicat;0;0.000238834;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
feuilles de style;0;0.00380771;0.00466744;0;0.00634166;0.00341953;0;0;0;0;0;0;0.00737667;0;0;0;0;0
