;C1;C11;C12;C13;C14;C15;C16;C17;C18;C19;C2;C3;C4;C5;C6;C7;C8;C9
mise en forme bn:01681906n;0; 0; 1; 0; 0; 0; 1; 1; 0; 0; 1; 1; 0; 1; 1; 1; 1; 1; 
concerner bn:00083240v;0; 0; 1; 1; 1; 0; 1; 0; 0; 0; 1; 0; 0; 0; 0; 0; 1; 1; 
commentaire bn:00020978n;0; 0; 0; 1; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 1; 1; 0; 0; 
délimiter bn:00086464v;0; 0; 0; 1; 1; 0; 1; 0; 1; 1; 0; 0; 0; 1; 0; 1; 0; 1; 
affichage bn:00010421n;0; 0; 0; 1; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 
gras bn:00011848n;0; 1; 1; 0; 0; 0; 1; 1; 1; 1; 1; 0; 0; 1; 1; 1; 1; 1; 
fois bn:00032768n;0; 0; 0; 1; 1; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 
chemin bn:03131414n;0; 1; 1; 1; 1; 0; 1; 0; 1; 0; 1; 1; 1; 0; 0; 1; 1; 0; 
lien hypertextes bn:00045513n;0; 0; 1; 0; 0; 0; 1; 1; 0; 0; 0; 1; 0; 0; 0; 1; 0; 0; 
url bn:00079080n;0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 1; 0; 1; 0; 
textuels bn:00111786a;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
case à cocher bn:03157691n;0; 0; 1; 1; 0; 0; 0; 1; 0; 1; 0; 1; 0; 1; 0; 1; 1; 0; 
page web dynamique bn:00937946n;0; 1; 1; 0; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 0; 1; 1; 1; 
post bn:01500184n;0; 0; 0; 0; 0; 0; 1; 1; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
champ de saisie bn:03113401n;0; 0; 1; 0; 0; 0; 1; 1; 1; 0; 0; 1; 0; 1; 1; 1; 0; 0; 
size bn:03645138n;0; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 0; 1; 0; 1; 1; 0; 1; 
nombre bn:00058285n;0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
text bn:14981519n;0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 
vide bn:00087578v;0; 0; 1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
liste déroulante bn:00028831n;0; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 0; 1; 1; 1; 
sélectionner bn:00084931v;0; 0; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 1; 1; 
déclencher bn:00082306v;0; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
réinitialisation bn:00067306n;0; 0; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 
langage impératif bn:01246770n;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
impératif bn:00104644a;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 1; 1; 
zones bn:00005513n;0; 0; 1; 0; 0; 1; 1; 1; 1; 1; 1; 0; 1; 1; 0; 1; 1; 0; 
utilisateur bn:00079373n;0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 1; 1; 0; 
affectation bn:02806034n;0; 1; 1; 1; 0; 0; 0; 0; 0; 1; 0; 0; 1; 1; 0; 0; 1; 1; 
booléen bn:00294693n;0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 1; 1; 0; 0; 1; 
réalité bn:00066414n;0; 0; 1; 1; 1; 0; 1; 0; 1; 0; 1; 1; 1; 1; 0; 1; 1; 1; 
concatène bn:00085508v;0; 0; 1; 1; 1; 1; 1; 0; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
addition bn:00001296n;0; 1; 0; 0; 1; 0; 1; 0; 1; 1; 1; 0; 1; 1; 0; 1; 1; 0; 
soustraction bn:00055233n;0; 1; 0; 0; 1; 0; 1; 0; 1; 1; 1; 1; 1; 1; 0; 1; 1; 0; 
multiplié bn:00090977v;0; 0; 1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
modulo bn:00553864n;0; 0; 0; 1; 1; 0; 0; 0; 1; 0; 1; 0; 1; 1; 1; 1; 1; 0; 
égalité bn:00031284n;0; 0; 1; 1; 1; 1; 0; 0; 1; 1; 1; 1; 0; 0; 1; 1; 1; 1; 
logiques bn:00051845n;0; 0; 0; 1; 0; 0; 0; 0; 1; 0; 0; 0; 1; 0; 0; 0; 0; 0; 
syntaxe bn:00062118n;0; 0; 0; 1; 0; 0; 0; 0; 1; 0; 1; 0; 0; 0; 0; 1; 1; 0; 
case bn:04777941n;0; 0; 0; 1; 1; 0; 1; 0; 0; 1; 0; 0; 1; 1; 0; 0; 1; 0; 
associer bn:00082868v;0; 0; 0; 0; 1; 0; 0; 0; 1; 0; 1; 0; 1; 0; 0; 1; 1; 0; 
personne bn:00046516n;0; 0; 0; 1; 1; 1; 1; 1; 1; 1; 1; 0; 0; 0; 0; 1; 0; 0; 
prenom bn:15996005n;0; 0; 1; 1; 1; 0; 1; 1; 0; 0; 1; 1; 1; 0; 0; 0; 0; 0; 
structure de contrôle bn:00047734n;0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 1; 1; 0; 
définition bn:00025928n;0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 1; 1; 0; 
initialiser bn:00089742v;0; 1; 1; 1; 1; 0; 1; 0; 1; 0; 0; 0; 1; 0; 0; 0; 1; 1; 
dépendre bn:00086606v;0; 0; 0; 1; 1; 0; 0; 1; 1; 1; 1; 0; 1; 1; 0; 1; 1; 1; 
méthode post bn:00045088n;0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
fermeture bn:16858148n;0; 1; 0; 1; 1; 1; 0; 1; 0; 1; 1; 0; 0; 0; 0; 0; 0; 0; 
passwd bn:14874750n;0; 1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 
machine bn:00054050n;0; 0; 0; 1; 0; 0; 1; 1; 0; 0; 1; 0; 1; 0; 0; 1; 1; 1; 
mysql bn:01225760n;0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 1; 1; 0; 
salaire bn:15928884n;0; 1; 1; 1; 1; 0; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 0; 1; 
phase bn:00061898n;0; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 1; 1; 0; 0; 1; 1; 1; 
être utile bn:00085368v;0; 0; 0; 1; 1; 0; 1; 0; 1; 1; 1; 0; 1; 1; 0; 1; 1; 1; 
boucle while bn:03237310n;0; 1; 0; 1; 1; 0; 1; 0; 0; 0; 1; 1; 1; 1; 1; 1; 0; 0; 
jour bn:00000086n;0; 0; 1; 1; 0; 0; 1; 1; 0; 0; 1; 0; 1; 1; 0; 1; 0; 1; 
euro bn:00031888n;0; 1; 1; 1; 0; 1; 1; 1; 1; 0; 1; 1; 1; 1; 0; 1; 1; 1; 
etc bn:00114282r;0; 1; 1; 1; 1; 0; 1; 0; 1; 0; 1; 0; 1; 0; 0; 1; 1; 0; 
programmation bn:00021493n;0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 1; 0; 
détruire bn:00084204v;0; 1; 0; 1; 1; 0; 1; 1; 0; 1; 1; 1; 1; 1; 1; 0; 1; 0; 
second bn:00105773a;0; 0; 1; 1; 1; 0; 1; 1; 1; 0; 1; 0; 1; 1; 1; 1; 1; 0; 
ordinateur bn:00021464n;0; 1; 1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 0; 1; 1; 0; 
éducation bn:00026980n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 1; 1; 
technologie bn:00005105n;1; 0; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
juin bn:00048592n;1; 0; 1; 1; 1; 0; 1; 0; 1; 1; 1; 0; 1; 0; 1; 1; 1; 1; 
secondaire bn:00096261a;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
bouton bn:03843242n;1; 0; 0; 1; 0; 0; 1; 1; 1; 0; 1; 0; 0; 1; 1; 1; 1; 1; 
simple bn:00110649a;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
bouton radio bn:03157702n;1; 0; 1; 1; 1; 0; 1; 1; 1; 1; 0; 1; 1; 1; 0; 1; 1; 1; 
radio bn:00065899n;1; 0; 1; 1; 0; 0; 1; 1; 0; 0; 0; 1; 0; 1; 0; 1; 1; 0; 
bouton de réinitialisation bn:00067307n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
cocher bn:00017986n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
elements bn:02258198n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
focus bn:03248918n;1; 0; 1; 1; 1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
fonction choix bn:00640192n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
localisation bn:03977550n;1; 0; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
types bn:00016413n;1; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 1; 0; 
authentification bn:03253409n;1; 0; 0; 1; 1; 1; 1; 0; 1; 1; 1; 0; 0; 0; 0; 1; 1; 1; 
session bn:03751534n;1; 0; 0; 1; 0; 0; 1; 1; 1; 0; 0; 0; 0; 0; 0; 0; 1; 1; 
entités bn:00031027n;1; 0; 0; 1; 1; 0; 0; 0; 1; 1; 1; 0; 1; 0; 0; 1; 1; 0; 
étrangères bn:00096774a;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
gestion contenu bn:01533805n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
phpmyadmin bn:03382496n;1; 0; 1; 1; 0; 0; 1; 0; 1; 0; 1; 0; 1; 0; 1; 1; 1; 0; 
communication bn:00021221n;1; 0; 0; 0; 0; 1; 1; 0; 1; 1; 1; 1; 1; 0; 0; 1; 1; 1; 
bilan bn:00008060n;1; 0; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
enonce bn:00079416n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
schema bn:16884119n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
schema conceptuel bn:03558829n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
premier bn:00103006a;1; 0; 0; 0; 1; 0; 1; 1; 1; 0; 1; 0; 1; 1; 0; 1; 1; 1; 
utilisabilité bn:02245863n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
interactifs bn:00105260a;1; 0; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
déterminante bn:00101009a;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
véhiculer bn:00085769v;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
côté serveur bn:03816678n;1; 0; 0; 1; 0; 0; 1; 0; 0; 0; 0; 0; 1; 0; 0; 1; 1; 0; 
langage de script bn:01431715n;1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 
illustrer bn:00087826v;1; 0; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
internet bn:00024712n;1; 0; 0; 0; 0; 0; 1; 1; 0; 0; 1; 0; 1; 0; 0; 1; 1; 0; 
juste bn:00114626r;1; 0; 1; 1; 1; 1; 1; 0; 1; 1; 1; 0; 1; 1; 1; 1; 0; 1; 
avoir accès bn:00082209v;1; 0; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 0; 0; 1; 0; 
cours en ligne bn:03617678n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 
moindre bn:00105825a;1; 0; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 1; 0; 
hit bn:00044278n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
système bn:15125301n;1; 0; 0; 0; 1; 0; 0; 0; 1; 0; 1; 0; 1; 0; 0; 1; 1; 0; 
système de gestion bn:01510781n;1; 0; 1; 0; 1; 0; 1; 1; 1; 1; 1; 0; 1; 0; 0; 1; 1; 1; 
système de gestion de base de donnée bn:14249264n;1; 0; 1; 1; 1; 0; 1; 0; 1; 1; 1; 0; 0; 1; 0; 1; 1; 1; 
sensibles bn:00104681a;1; 0; 1; 1; 1; 1; 1; 0; 1; 1; 1; 0; 0; 0; 0; 1; 1; 1; 
convient bn:00094581v;1; 0; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 1; 1; 
circonstances bn:00019220n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
macromedia bn:01011718n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
macromedia dreamweaver bn:02545116n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
insertion bn:02234787n;1; 0; 1; 0; 1; 0; 1; 0; 0; 0; 1; 0; 0; 1; 1; 1; 1; 1; 
aller bn:00040833n;1; 0; 1; 1; 1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 0; 
webmail bn:03631242n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
valeur par défaut bn:03854990n;1; 0; 0; 1; 1; 0; 0; 0; 0; 1; 1; 0; 0; 0; 0; 1; 1; 0; 
finale bn:00102969a;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 0; 
porter bn:00016278n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 0; 1; 0; 1; 1; 1; 
rows bn:03611246n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 1; 1; 0; 1; 1; 0; 
menu bn:00021485n;1; 0; 1; 0; 0; 1; 1; 1; 0; 0; 1; 1; 1; 0; 0; 1; 1; 1; 
variable bn:00113503a;1; 0; 1; 1; 1; 0; 1; 1; 1; 0; 1; 0; 1; 1; 0; 1; 1; 1; 
sélection multiple bn:05019947n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
multiple bn:00107028a;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
précèdent bn:00091926v;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
indispensable bn:00104964a;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 0; 1; 1; 1; 
possible bn:00108829a;1; 0; 1; 1; 1; 0; 1; 1; 1; 1; 1; 0; 1; 0; 0; 1; 1; 1; 
afficher bn:00087013v;1; 0; 0; 1; 1; 0; 0; 0; 1; 0; 1; 0; 0; 1; 0; 1; 1; 0; 
parfois bn:00117070r;1; 0; 0; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
nécessaire bn:00107182a;1; 0; 1; 1; 1; 0; 1; 0; 1; 1; 1; 0; 0; 1; 0; 1; 1; 1; 
sélection simple bn:05019938n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
distance bn:00027749n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 1; 1; 
accesskey bn:01689926n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
serveur bn:00044916n;1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 
vouloir bn:00095629v;1; 0; 0; 1; 1; 0; 1; 0; 0; 0; 0; 0; 1; 0; 0; 1; 1; 1; 
courants bn:00024510n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 
endroit bn:00062699n;1; 0; 1; 1; 1; 0; 1; 0; 1; 1; 1; 0; 1; 0; 0; 1; 1; 0; 
symbole bn:00075652n;1; 0; 1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
alternatif bn:00096897a;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
math bn:00053823n;1; 0; 0; 1; 0; 0; 0; 1; 1; 0; 1; 1; 1; 1; 0; 1; 1; 1; 
histoire bn:00044268n;1; 0; 1; 1; 1; 0; 1; 1; 0; 1; 1; 1; 1; 1; 0; 1; 1; 1; 
document object model bn:03762301n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 
consortium bn:00022016n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
détecter bn:00086708v;1; 0; 1; 1; 1; 0; 1; 0; 1; 0; 1; 1; 1; 1; 0; 1; 1; 1; 
class bn:03598962n;1; 0; 0; 0; 1; 0; 1; 1; 1; 0; 1; 0; 1; 0; 1; 1; 0; 0; 
qualificatif bn:00055488n;1; 0; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
examiner bn:00074790n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
contexte bn:00022168n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
encodage bn:00030696n;1; 0; 0; 1; 1; 1; 1; 0; 0; 0; 1; 0; 1; 0; 0; 1; 1; 1; 
composer bn:14766022n;1; 0; 0; 1; 1; 0; 1; 0; 1; 1; 1; 1; 0; 0; 0; 1; 1; 1; 
boîte de dialogue bn:00026837n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
chaîne bn:00074685n;1; 0; 0; 1; 0; 0; 0; 0; 0; 0; 1; 0; 1; 0; 0; 0; 0; 0; 
modèle objet bn:00058448n;1; 0; 1; 1; 1; 0; 1; 0; 1; 0; 1; 0; 1; 0; 1; 1; 1; 0; 
document bn:00087138v;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 1; 1; 
identique bn:00104508a;1; 0; 0; 1; 1; 0; 1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
fichier batch bn:00744119n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
touche de tabulation bn:00075801n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
supplémentaires bn:00111488a;1; 0; 0; 1; 1; 1; 1; 0; 0; 1; 1; 0; 1; 0; 0; 1; 1; 1; 
label bn:00066581n;1; 0; 1; 1; 1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
également bn:00115274r;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
menu en cascade bn:00016397n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
langage objets bn:00058453n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
délicat bn:00101358a;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
feuilles de style bn:00802225n;1; 0; 0; 1; 0; 0; 1; 1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
feuilles de style en cascade bn:01642119n;1; 0; 1; 0; 0; 0; 1; 1; 1; 0; 1; 1; 0; 0; 1; 1; 1; 1; 
fonctionnement bn:00036838n;1; 0; 1; 1; 0; 1; 1; 1; 1; 0; 1; 0; 1; 1; 1; 1; 1; 1; 
stratégie bn:00069579n;1; 0; 1; 1; 1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
feuille de style bn:00074837n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
concept bn:00021547n;1; 0; 1; 1; 0; 0; 0; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 
abstrait bn:00096212a;1; 0; 0; 1; 1; 0; 1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 0; 
concrétisation bn:00066410n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
sens bn:00046139n;1; 0; 1; 1; 1; 0; 1; 1; 1; 0; 1; 1; 0; 1; 0; 1; 0; 1; 
double point bn:00020704n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
point-virgule bn:00070420n;1; 0; 1; 1; 1; 0; 1; 0; 1; 1; 1; 0; 1; 1; 0; 1; 1; 1; 
applicables bn:00097372a;1; 0; 1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
élément html bn:02104867n;1; 0; 1; 1; 0; 0; 1; 1; 1; 0; 1; 0; 1; 1; 0; 1; 1; 0; 
contextuels bn:00100369a;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
rouge bn:00066631n;1; 0; 1; 1; 1; 0; 1; 1; 1; 0; 1; 0; 0; 0; 1; 1; 1; 0; 
éditeur de texte bn:00076736n;1; 0; 1; 1; 1; 0; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 0; 
pixel bn:00061282n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
signaler bn:00071525n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 
éditeur html bn:00895215n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
partielle bn:00108290a;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 1; 1; 
tenir compte bn:00082541v;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 1; 0; 1; 1; 1; 
hiérarchie bn:00044017n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
algorithme bn:00002705n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
énoncé bn:00087699v;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 1; 1; 
valables bn:00113486a;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
retrouver bn:00088204v;1; 0; 0; 1; 1; 1; 1; 0; 1; 0; 1; 1; 1; 0; 0; 1; 1; 1; 
type de fichier bn:01156328n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
styler bn:00042550n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 
arial bn:01485779n;1; 0; 1; 0; 0; 1; 1; 1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
helvetica bn:00043646n;1; 0; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
script côté client bn:03689253n;1; 0; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
côté client bn:03163702n;1; 0; 0; 1; 0; 0; 1; 0; 0; 0; 0; 0; 1; 0; 0; 1; 1; 1; 
