X ; A1 ; A2 ; A3 ; A4 ; A5 ; C1 ; C2 ; C3 ; C4 ; C5 ; C6 ; C7 ; C8
scenario bn:01190125n ; 0 ; 0 ; 0.0166667 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
city bn:03335997n ; 0 ; 0 ; 0.0166667 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
workflows bn:00081578n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0166667 ; 0 ; 0 ; 0 ; 0 ; 0
plant bn:00035324n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0166667 ; 0 ; 0 ; 0 ; 0 ; 0
transition state bn:03731398n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0333333 ; 0 ; 0 ; 0 ; 0 ; 0.0333333 ; 0 ; 0
strategy bn:00069579n ; 0 ; 0 ; 0.0166667 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
police bn:00022026n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0333333 ; 0 ; 0.0333333 ; 0 ; 0 ; 0
transducer bn:00077966n ; 0 ; 0 ; 0 ; 0.0166667 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
code bn:00020354n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0166667 ; 0 ; 0 ; 0 ; 0 ; 0
current bn:00096401a ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0166667 ; 0 ; 0 ; 0 ; 0
traffic light bn:00074441n ; 0 ; 0 ; 0 ; 0 ; 0.0666667 ; 0 ; 0 ; 0.0666667 ; 0 ; 0.0666667 ; 0 ; 0 ; 0
bit bn:00010731n ; 0 ; 0 ; 0 ; 0.0166667 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
include bn:00089662v ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0166667 ; 0 ; 0 ; 0 ; 0
logical value bn:00855623n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0166667 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
gate bn:00037487n ; 0 ; 0 ; 0 ; 0.0166667 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
flip-flop bn:00035248n ; 0 ; 0 ; 0 ; 0.0166667 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
summary bn:00075142n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0166667 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
autonomous bn:00097830a ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0166667 ; 0 ; 0 ; 0 ; 0 ; 0
stateflow bn:03369007n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0166667
red light bn:00066676n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0166667 ; 0 ; 0 ; 0 ; 0 ; 0
composite states bn:00892979n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0166667 ; 0 ; 0
inner bn:00105133a ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0166667
