X ; A1 ; A2 ; A3 ; A4 ; A5 ; C1 ; C2 ; C3 ; C4 ; C5 ; C6 ; C7 ; C8
stateflow bn:03369007n ; 0 ; 0 ; 0 ; 0 ; 0.00847458 ; 0 ; 0 ; 0 ; 0 ; 0.00847458 ; 0 ; 0.00847458 ; 0
red light bn:00066676n ; 0 ; 0 ; 0 ; 0 ; 0.00211864 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
composite states bn:00892979n ; 0 ; 0 ; 0 ; 0 ; 0.00423729 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00423729
inner bn:00105133a ; 0 ; 0 ; 0 ; 0 ; 0.00211864 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
deep bn:00101054a ; 0 ; 0 ; 0 ; 0 ; 0.00211864 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
simple bn:00098053a ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00847458 ; 0 ; 0 ; 0.00847458 ; 0 ; 0.00847458 ; 0
atomic bn:00097696a ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00211864 ; 0 ; 0
interaction diagram bn:02571962n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00847458 ; 0 ; 0 ; 0 ; 0 ; 0.00847458 ; 0.00847458
activity diagrams bn:02627321n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00211864 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
deterministic finite state automata bn:03499526n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00423729 ; 0 ; 0 ; 0 ; 0.00423729 ; 0
superstate bn:03656095n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00211864
fsa bn:03013778n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00211864 ; 0
basic bn:00098103a ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00211864 ; 0
fsms bn:03431506n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00211864 ; 0
state actions bn:00955439n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00211864 ; 0
