;C1.csv;C10.csv;C2.csv;C4.csv;C7.csv;C8.csv;C9.csv
nano bn:01478473n;1; 0; 1; 1; 1; 1; 1; 
langage c bn:00014377n;1; 0; 1; 0; 1; 1; 0; 
attribut bn:00007068n;1; 0; 1; 1; 1; 1; 0; 
integer bn:00691555n;1; 0; 1; 1; 1; 0; 1; 
super bn:17336345n;1; 0; 1; 1; 0; 1; 1; 
type bn:00016413n;1; 0; 0; 1; 0; 1; 0; 
concaténation bn:03489514n;1; 0; 0; 1; 1; 1; 0; 
opérateur logiques bn:00051853n;1; 0; 1; 1; 1; 1; 0; 
multiplication bn:00056300n;1; 0; 1; 0; 1; 1; 0; 
division bn:00027919n;1; 0; 1; 1; 1; 1; 0; 
valeur numérique bn:00000451n;1; 0; 1; 1; 1; 1; 0; 
comparaison bn:00021304n;1; 0; 0; 1; 1; 0; 0; 
égal bn:00102336a;1; 0; 1; 0; 1; 1; 0; 
inférieur bn:00035700n;1; 0; 1; 1; 1; 1; 0; 
mathématiques bn:00106488a;1; 0; 1; 1; 1; 1; 1; 
extraction bn:04915718n;1; 0; 1; 1; 1; 1; 1; 
procédural bn:00109049a;1; 0; 1; 1; 1; 1; 1; 
capables bn:00099215a;1; 0; 1; 0; 1; 1; 1; 
tableau associatifs bn:03848413n;1; 0; 1; 1; 0; 1; 1; 
hash bn:00583146n;1; 0; 1; 0; 1; 1; 1; 
sizeof bn:03205994n;1; 0; 1; 1; 1; 1; 0; 
foreach bn:03463379n;1; 0; 0; 0; 0; 0; 0; 
cle bn:04756252n;1; 0; 0; 0; 1; 0; 0; 
rappel bn:03490040n;1; 0; 1; 0; 0; 1; 0; 
serveur bn:00044916n;1; 0; 0; 0; 1; 0; 0; 
unix bn:00079165n;1; 0; 1; 1; 1; 1; 1; 
page bn:00060158n;1; 0; 1; 1; 1; 1; 1; 
communication bn:00021221n;1; 0; 1; 1; 1; 1; 1; 
possibilité bn:00045632n;1; 0; 1; 0; 1; 1; 0; 
interpréter bn:00089840v;1; 0; 0; 1; 1; 0; 1; 
linux bn:00051427n;1; 0; 1; 1; 1; 1; 0; 
line bn:16701562n;1; 0; 1; 1; 1; 1; 1; 
rows bn:03611246n;1; 0; 0; 1; 1; 1; 0; 
query string bn:03583474n;1; 0; 1; 1; 1; 1; 1; 
clique bn:00015038n;1; 0; 1; 1; 1; 1; 1; 
analyser bn:15790106n;1; 0; 1; 1; 1; 1; 1; 
variables bn:00079583n;1; 0; 1; 1; 1; 1; 1; 
transaction bn:01403911n;1; 0; 1; 1; 1; 1; 0; 
femme bn:00001530n;1; 0; 1; 1; 1; 0; 0; 
côté client bn:03163702n;1; 0; 0; 1; 1; 1; 1; 
ok bn:00058395n;1; 0; 1; 1; 1; 1; 1; 
droit bn:00048655n;1; 0; 1; 0; 1; 1; 1; 
générique bn:00103518a;1; 0; 1; 1; 1; 1; 1; 
échouer bn:00087967v;1; 0; 1; 1; 1; 1; 1; 
contacter bn:00085696v;1; 0; 1; 1; 1; 1; 1; 
pouvoir bn:00063940n;1; 0; 1; 1; 1; 1; 1; 
standard bn:00111129a;1; 0; 1; 1; 1; 1; 1; 
conditionnelles bn:00100214a;1; 0; 1; 1; 1; 1; 0; 
diagramme bn:00026817n;1; 0; 1; 1; 1; 0; 1; 
switch bn:01071927n;1; 0; 0; 0; 0; 0; 0; 
bloc bn:03098513n;1; 0; 1; 1; 1; 1; 1; 
prix unitaire bn:00587816n;1; 0; 1; 1; 1; 0; 1; 
boucle for bn:03237322n;1; 0; 1; 1; 1; 0; 0; 
répéter bn:00089731v;1; 0; 1; 1; 1; 1; 0; 
initialisation bn:00046781n;1; 0; 1; 1; 1; 1; 1; 
incrémentation bn:01936826n;1; 0; 1; 1; 1; 1; 1; 
mettre à jour bn:00095451v;1; 0; 1; 1; 1; 1; 1; 
col bn:00018680n;1; 0; 1; 1; 1; 1; 1; 
evaluation bn:02745649n;1; 0; 1; 1; 1; 1; 1; 
binôme bn:00098404a;1; 0; 1; 1; 1; 1; 1; 
classes bn:03608262n;1; 0; 1; 1; 1; 0; 0; 
bienvenue bn:00080852n;1; 0; 1; 1; 1; 0; 1; 
class bn:03598962n;1; 0; 1; 1; 1; 0; 0; 
constantes bn:00100331a;1; 0; 1; 1; 1; 1; 0; 
créer bn:00086008v;1; 0; 0; 1; 1; 1; 1; 
mot bn:00081546n;1; 0; 0; 0; 1; 1; 0; 
méthode bn:01641329n;1; 0; 0; 0; 0; 0; 0; 
env bn:01199166n;1; 0; 1; 1; 0; 1; 0; 
session bn:03751534n;1; 0; 0; 0; 0; 1; 1; 
temps bn:00077270n;1; 0; 0; 0; 0; 1; 0; 
visiteur bn:03106425n;1; 0; 1; 1; 1; 0; 0; 
adresse ip bn:00706454n;1; 0; 1; 1; 1; 1; 0; 
ip bn:00046704n;1; 0; 1; 1; 1; 1; 0; 
réutilisation bn:02823226n;1; 0; 1; 1; 1; 1; 0; 
entité bn:00031027n;1; 0; 1; 1; 1; 1; 0; 
entité html bn:01327413n;1; 0; 1; 1; 1; 1; 0; 
afficher bn:00087013v;1; 0; 1; 0; 1; 1; 0; 
comportement bn:00009657n;1; 0; 1; 0; 1; 1; 0; 
trim bn:00074703n;1; 0; 0; 1; 1; 1; 0; 
séquence bn:00070574n;1; 0; 1; 1; 1; 0; 0; 
bcd bn:16690020n;1; 0; 1; 1; 1; 1; 1; 
unset bn:00176172n;1; 0; 1; 0; 1; 1; 0; 
vrai bn:00078452n;1; 0; 1; 1; 1; 1; 1; 
disponible bn:00097846a;1; 0; 1; 1; 1; 0; 1; 
vides bn:00030635n;1; 0; 1; 1; 1; 1; 1; 
possibles bn:00108829a;1; 0; 1; 1; 1; 1; 1; 
id bn:03885719n;1; 0; 1; 1; 1; 0; 1; 
pouvoir bn:00084451v;1; 0; 1; 1; 1; 1; 0; 
essayer bn:00082844v;1; 0; 1; 1; 1; 1; 1; 
impossible bn:00104687a;1; 0; 1; 1; 1; 1; 1; 
mp4 bn:03619211n;1; 0; 1; 1; 1; 1; 1; 
stream bn:02122367n;1; 0; 1; 1; 1; 1; 1; 
développement bn:01834425n;1; 0; 1; 1; 1; 1; 1; 
système de gestion bn:01510781n;1; 0; 1; 1; 1; 1; 1; 
dbms bn:14249264n;1; 0; 1; 0; 1; 1; 1; 
system bn:15125301n;1; 0; 1; 1; 1; 1; 0; 
logiciel système bn:00075772n;1; 0; 1; 1; 1; 1; 0; 
complexité bn:00021383n;1; 0; 1; 1; 1; 1; 0; 
postgresql bn:01709156n;1; 0; 1; 1; 1; 1; 0; 
mariadb bn:01841320n;1; 0; 1; 1; 1; 1; 0; 
coder bn:00084976v;1; 0; 1; 1; 1; 1; 0; 
handle bn:00278322n;1; 0; 1; 0; 1; 1; 1; 
bibliothèque bn:00050969n;1; 0; 1; 1; 1; 0; 1; 
connecteur bn:00021903n;1; 0; 1; 1; 1; 1; 1; 
mysqli bn:01438356n;1; 0; 1; 1; 1; 0; 0; 
pilote bn:00026721n;1; 0; 1; 1; 1; 1; 1; 
odbc bn:14228731n;1; 0; 1; 1; 1; 1; 1; 
phpmyadmin bn:03382496n;1; 0; 1; 1; 1; 1; 0; 
hébergeur bn:00801697n;1; 0; 1; 1; 1; 1; 0; 
insert bn:03795444n;1; 0; 1; 1; 1; 0; 0; 
travers bn:00042404n;1; 0; 1; 1; 1; 0; 1; 
mdp bn:00023218n;1; 0; 0; 1; 1; 0; 1; 
delete bn:00941697n;1; 0; 1; 1; 1; 0; 1; 
val bn:00079476n;1; 0; 1; 1; 1; 1; 1; 
debugger bn:00025641n;1; 0; 1; 1; 1; 1; 1; 
nobody bn:01734927n;1; 0; 1; 1; 1; 1; 1; 
printf bn:03243783n;1; 0; 0; 1; 1; 1; 0; 
dater bn:00086299v;1; 0; 1; 1; 1; 1; 1; 
sql server bn:00605043n;1; 0; 1; 1; 1; 1; 0; 
ecriture bn:00081714n;1; 0; 1; 0; 1; 1; 0; 
exec bn:15669055n;1; 0; 1; 1; 1; 1; 1; 
poo bn:00058448n;1; 0; 1; 1; 1; 1; 0; 
classe bn:00082871v;1; 0; 1; 1; 1; 1; 1; 
classe type bn:03004615n;1; 0; 1; 1; 1; 1; 0; 
concept bn:00021547n;1; 0; 1; 1; 1; 1; 0; 
héritage bn:00043822n;1; 0; 1; 1; 1; 0; 0; 
encapsulation bn:01505556n;1; 0; 1; 1; 1; 1; 0; 
caractéristique bn:00099532a;1; 0; 1; 1; 1; 1; 0; 
hériter bn:00043823n;1; 0; 1; 1; 1; 1; 0; 
polymorphisme bn:01974384n;1; 0; 1; 1; 1; 1; 0; 
public bn:00109211a;1; 0; 1; 1; 1; 1; 0; 
constructeur bn:03834827n;1; 0; 1; 1; 1; 0; 0; 
importer bn:00046139n;1; 0; 1; 0; 1; 0; 1; 
redéfinition bn:00066711n;1; 0; 1; 1; 1; 1; 0; 
portée bn:03460088n;1; 0; 1; 1; 1; 1; 1; 
double bn:00101728a;1; 0; 1; 1; 1; 1; 1; 
self bn:03432485n;1; 0; 1; 1; 1; 1; 0; 
dehors bn:00032430n;1; 0; 1; 1; 1; 1; 1; 
uml bn:02571962n;1; 0; 1; 1; 1; 0; 1; 
web bn:00080772n;1; 0; 1; 1; 1; 1; 1; 
plugins bn:00001275n;1; 0; 1; 1; 1; 1; 1; 
erreur bn:00021473n;1; 0; 1; 1; 1; 1; 1; 
nécessaire bn:00107182a;1; 0; 1; 0; 1; 1; 1; 
voir bn:00087861v;1; 0; 1; 1; 1; 1; 1; 
juste bn:00114626r;1; 0; 1; 1; 1; 0; 1; 
réduire bn:00086598v;1; 0; 1; 1; 1; 1; 1; 
time bn:03389905n;1; 0; 1; 1; 0; 1; 1; 
mettre bn:00090224v;1; 0; 1; 0; 1; 1; 1; 
transaction bn:00025567n;1; 0; 1; 1; 1; 1; 1; 
vente en ligne bn:00029344n;1; 0; 1; 1; 1; 1; 1; 
isoler bn:00089916v;1; 0; 1; 1; 1; 1; 1; 
bas niveau bn:01163629n;1; 0; 1; 1; 1; 1; 1; 
process mining bn:03491438n;1; 0; 1; 1; 1; 1; 1; 
commettre bn:00085426v;1; 0; 1; 1; 1; 1; 1; 
validation bn:00064728n;1; 0; 1; 1; 1; 1; 1; 
vouloir bn:00095629v;1; 0; 0; 1; 1; 1; 1; 
rollback bn:00133978n;1; 0; 1; 1; 1; 1; 0; 
généralement bn:00114778r;1; 0; 0; 1; 1; 1; 1; 
mémoire ram bn:00066091n;1; 0; 0; 1; 1; 1; 1; 
retrouver bn:00088204v;1; 0; 1; 1; 1; 1; 1; 
cohérent bn:00099970a;1; 0; 1; 1; 1; 1; 1; 
isolation bn:02609561n;1; 0; 1; 1; 1; 1; 0; 
durabilité bn:01803600n;1; 0; 1; 1; 1; 1; 0; 
jointures bn:00048368n;1; 0; 1; 1; 1; 1; 1; 
correcte bn:00100490a;1; 0; 0; 1; 1; 1; 1; 
finale bn:00102969a;1; 0; 1; 1; 1; 1; 0; 
système d’exploitation bn:00059123n;1; 0; 1; 1; 1; 1; 0; 
étrangères bn:00103205a;1; 0; 1; 1; 1; 1; 1; 
innodb bn:01067935n;1; 0; 1; 1; 1; 1; 0; 
modèle relationnel bn:01978816n;1; 0; 1; 1; 1; 1; 0; 
relationnel bn:00109653a;1; 0; 1; 1; 1; 1; 0; 
perdre bn:00090491v;1; 0; 1; 1; 1; 1; 1; 
oublier bn:00084302v;1; 0; 1; 1; 0; 1; 1; 
compatible bn:00100128a;1; 0; 1; 1; 1; 1; 1; 
université de rouen bn:00601230n;1; 1; 0; 1; 1; 1; 1; 
france bn:00036202n;1; 1; 0; 1; 0; 1; 1; 
évolué bn:00084199v;1; 1; 0; 1; 1; 1; 1; 
manuel bn:00099315a;1; 1; 0; 1; 1; 1; 1; 
français bn:00103321a;1; 1; 0; 1; 1; 1; 1; 
attention bn:00007020n;1; 1; 0; 1; 1; 1; 1; 
faute de frappe bn:00031482n;1; 1; 0; 1; 1; 1; 1; 
entiers bn:00047009n;1; 1; 0; 1; 0; 1; 0; 
3.14 bn:00062194n;1; 1; 0; 1; 1; 1; 1; 
expr bn:03120209n;1; 1; 0; 1; 1; 1; 1; 
spécifique bn:00111003a;1; 1; 0; 1; 1; 1; 1; 
pointeur bn:03222272n;1; 1; 0; 1; 1; 1; 1; 
list bn:04720346n;1; 1; 0; 0; 1; 1; 0; 
inverse bn:00056301n;1; 1; 0; 1; 1; 1; 1; 
trie bn:02479296n;1; 1; 0; 1; 1; 1; 1; 
accès bn:00000759n;1; 1; 0; 1; 1; 1; 1; 
strcmp bn:13958358n;1; 1; 0; 1; 1; 1; 1; 
casse bn:03225002n;1; 1; 0; 1; 1; 1; 1; 
occurence bn:00047732n;1; 1; 0; 1; 1; 1; 1; 
décompte bn:00086432v;1; 1; 0; 1; 1; 1; 1; 
valeur de retour bn:03828774n;1; 1; 0; 1; 1; 1; 0; 
passage par référence bn:14985956n;1; 1; 0; 0; 1; 1; 1; 
traiter bn:00092034v;1; 1; 0; 1; 1; 1; 1; 
navigation bn:00057073n;1; 1; 0; 0; 1; 1; 1; 
rouen bn:03268781n;1; 1; 0; 1; 1; 1; 1; 
code postal bn:00063770n;1; 1; 0; 1; 1; 1; 1; 
bouton radio bn:03157702n;1; 1; 0; 1; 1; 1; 1; 
radio bn:00065899n;1; 1; 0; 0; 1; 1; 0; 
multiple bn:00056285n;1; 1; 0; 1; 1; 1; 0; 
touche ctrl bn:00020947n;1; 1; 0; 1; 1; 1; 1; 
transfert de fichier bn:03563534n;1; 1; 0; 1; 1; 1; 1; 
fread bn:13825823n;1; 1; 0; 0; 1; 1; 1; 
fin de fichier bn:02781064n;1; 1; 0; 1; 1; 1; 1; 
existence bn:00009676n;1; 1; 0; 1; 1; 1; 1; 
carte d’identité bn:00015915n;1; 1; 0; 1; 1; 1; 1; 
timestamp bn:03603649n;1; 1; 0; 1; 0; 1; 1; 
min bn:00055094n;1; 1; 0; 1; 1; 1; 1; 
exe bn:14503132n;1; 1; 0; 1; 1; 1; 1; 
xhtml bn:01163644n;1; 1; 0; 1; 1; 1; 1; 
2.0 bn:00074217n;1; 1; 0; 1; 1; 1; 1; 
université antilles guyane bn:00537645n;1; 1; 1; 0; 1; 1; 1; 
feuilles de style bn:00802225n;1; 1; 1; 0; 1; 1; 1; 
pdf bn:01745594n;1; 1; 1; 0; 1; 1; 1; 
noël bn:00018836n;1; 1; 1; 0; 1; 1; 1; 
client http bn:04783345n;1; 1; 1; 0; 1; 1; 1; 
composer bn:14766022n;1; 1; 1; 0; 1; 1; 1; 
recommandation w3c bn:15800643n;1; 1; 1; 0; 1; 1; 1; 
information bn:00046705n;1; 1; 1; 0; 1; 1; 1; 
êtres bn:00009677n;1; 1; 1; 0; 1; 1; 1; 
structuration bn:14636497n;1; 1; 1; 0; 0; 1; 1; 
désormais bn:00116384r;1; 1; 1; 0; 1; 1; 1; 
liste à puces bn:03415182n;1; 1; 1; 0; 1; 1; 1; 
inline bn:01456420n;1; 1; 1; 0; 1; 1; 1; 
uvre bn:00016278n;1; 1; 1; 0; 1; 1; 1; 
disponibilité bn:00000670n;1; 1; 1; 0; 1; 1; 1; 
arial bn:01485779n;1; 1; 1; 0; 1; 1; 1; 
chose bn:00091115v;1; 1; 1; 0; 1; 1; 1; 
texte gras bn:00030599n;1; 1; 1; 0; 1; 1; 1; 
rouge bn:00066631n;1; 1; 1; 0; 1; 1; 0; 
abuser bn:00090815v;1; 1; 1; 0; 1; 1; 1; 
css 3 bn:01642119n;1; 1; 1; 0; 1; 1; 1; 
souris bn:00021487n;1; 1; 1; 0; 1; 1; 1; 
positionnement bn:00030615n;1; 1; 1; 0; 1; 1; 1; 
anglais bn:00030862n;1; 1; 1; 0; 1; 1; 0; 
charset bn:00017756n;1; 1; 1; 0; 1; 1; 1; 
auto bn:00007309n;1; 1; 1; 0; 1; 1; 1; 
droite bn:00051291n;1; 1; 1; 0; 1; 1; 1; 
allonger bn:00087910v;1; 1; 1; 0; 1; 1; 1; 
chevauchements bn:00045993n;1; 1; 1; 0; 1; 1; 1; 
em bn:00030453n;1; 1; 1; 0; 1; 1; 1; 
active server pages bn:02246064n;1; 1; 1; 0; 1; 1; 1; 
microsoft bn:01165400n;1; 1; 1; 0; 1; 1; 0; 
exécutable bn:00102521a;1; 1; 1; 0; 1; 1; 1; 
connaissance bn:00020452n;1; 1; 1; 0; 1; 1; 1; 
transtypage bn:17104905n;1; 1; 1; 0; 1; 1; 1; 
sensibles bn:00104681a;1; 1; 1; 0; 1; 1; 1; 
nombre à virgule flottante bn:00035278n;1; 1; 1; 0; 1; 1; 0; 
c++ bn:03586438n;1; 1; 1; 0; 1; 1; 1; 
dictionnaires bn:00026967n;1; 1; 1; 0; 1; 1; 1; 
table de hachage bn:00587820n;1; 1; 1; 0; 1; 1; 1; 
bois bn:00081492n;1; 1; 1; 0; 1; 1; 1; 
couleur bn:00020726n;1; 1; 1; 0; 1; 1; 0; 
key bn:15770009n;1; 1; 1; 0; 1; 1; 1; 
info bn:00046698n;1; 1; 1; 0; 1; 1; 1; 
parcours bn:03468087n;1; 1; 1; 0; 1; 1; 1; 
pouvoir bn:00084450v;1; 1; 1; 0; 1; 1; 1; 
valeur par défaut bn:03854990n;1; 1; 1; 0; 1; 1; 0; 
httpd bn:16913184n;1; 1; 1; 0; 1; 1; 1; 
statiques bn:00111112a;1; 1; 1; 0; 1; 1; 0; 
sport bn:00006759n;1; 1; 1; 0; 1; 1; 0; 
selection multiple bn:05019947n;1; 1; 1; 0; 1; 1; 1; 
bouton bn:03843242n;1; 1; 1; 0; 1; 1; 1; 
saisir bn:00082727v;1; 1; 1; 0; 1; 1; 1; 
nom bn:00056758n;1; 1; 1; 0; 1; 1; 1; 
entrée standard bn:01496506n;1; 1; 1; 0; 1; 1; 1; 
mode connecté bn:04749137n;1; 1; 1; 0; 1; 1; 1; 
mozilla bn:01297088n;1; 1; 1; 0; 1; 1; 1; 
rattacher bn:00085624v;1; 1; 1; 0; 1; 1; 1; 
durée de vie bn:01120526n;1; 1; 1; 0; 1; 1; 0; 
