;C3.csv;C5.csv;C6.csv
lundi bn:00055609n;1; 1; 0; 
second bn:00005460n;1; 0; 0; 
fonction bn:00036821n;1; 0; 0; 
siècle bn:00017234n;1; 0; 0; 
numérique bn:15182937n;1; 0; 0; 
intervalle bn:00047229n;1; 0; 0; 
semaine 1 bn:04756861n;1; 0; 0; 
abréviation bn:00000239n;1; 0; 0; 
littéral bn:00106042a;1; 0; 1; 
september bn:15649592n;1; 0; 0; 
septembre bn:00070537n;1; 1; 0; 
semaine 3 bn:04756880n;1; 0; 0; 
système de gestion bn:01510781n;1; 1; 1; 
système de gestion de base de donnée bn:14249264n;1; 0; 1; 
relationnel bn:00109653a;1; 0; 0; 
open source bn:01157392n;1; 0; 0; 
mysql ab bn:03198967n;1; 0; 0; 
licence bn:00050986n;1; 0; 1; 
licence gpl bn:01157379n;1; 0; 1; 
support technique bn:03482340n;1; 0; 0; 
hébergeur bn:00801697n;1; 0; 1; 
étrangères bn:00096774a;1; 0; 0; 
notamment bn:00115235r;1; 1; 0; 
delete bn:00941697n;1; 1; 1; 
moteur de recherche bn:13956658n;1; 0; 0; 
sqlplus bn:02088255n;1; 0; 0; 
intuitif bn:00047307n;1; 0; 0; 
toolkit bn:01526357n;1; 0; 0; 
qt bn:17288164n;1; 0; 0; 
macos bn:01415427n;1; 1; 0; 
ip bn:00046704n;1; 0; 0; 
doute bn:00028425n;1; 0; 1; 
administrateur bn:00075765n;1; 0; 1; 
mise à jour bn:15364261n;1; 0; 1; 
possible bn:00108829a;1; 1; 1; 
tenir compte bn:00082541v;1; 0; 1; 
quantité variables bn:00079581n;1; 0; 0; 
medium bn:00054149n;1; 0; 0; 
tris bn:00072857n;1; 0; 0; 
champ de bn:15987694n;1; 0; 0; 
insérer bn:00087594v;1; 0; 0; 
plupart bn:00050555n;1; 0; 1; 
préférence bn:00061333n;1; 0; 0; 
février bn:00033882n;1; 0; 0; 
mise bn:00016287n;1; 0; 1; 
expliquer bn:00082235v;1; 0; 0; 
plage bn:04717355n;1; 0; 0; 
mm bn:00055052n;1; 0; 0; 
fraction bn:00036154n;1; 0; 0; 
soumettre bn:00094538v;1; 0; 0; 
transaction bn:01403911n;1; 1; 0; 
rollback bn:00133978n;1; 1; 0; 
crash bn:00023573n;1; 0; 0; 
contraintes bn:00022062n;1; 0; 1; 
intégrité bn:03141748n;1; 0; 0; 
parente bn:00033359n;1; 0; 0; 
clé étrangère bn:01944370n;1; 0; 1; 
fils bn:00051877n;1; 0; 0; 
critère bn:00023853n;1; 0; 1; 
flotter bn:00088327v;1; 0; 0; 
order bn:02240223n;1; 0; 0; 
simplicité bn:00071689n;1; 0; 0; 
ouverte bn:00107886a;1; 0; 0; 
échec bn:00018197n;1; 1; 1; 
numéroter bn:00091103v;1; 0; 0; 
identiques bn:00104508a;1; 0; 0; 
renommer bn:00092787v;1; 1; 0; 
insertion bn:02234787n;1; 0; 0; 
avoir besoin de bn:00091028v;1; 1; 1; 
valeur bn:00079508n;1; 0; 0; 
liste chaînée bn:01056813n;1; 0; 0; 
jointure bn:00048368n;1; 0; 0; 
activer bn:00082307v;1; 0; 0; 
mode texte bn:03459971n;1; 0; 0; 
attention bn:00007020n;1; 1; 0; 
fin bn:00113911a;1; 0; 0; 
placer bn:00090224v;1; 0; 0; 
img bn:02450504n;1; 0; 1; 
fichier csv bn:03284335n;1; 0; 0; 
ret bn:05006619n;1; 0; 0; 
fichier binaire bn:00010479n;1; 0; 0; 
calculer bn:00084373v;1; 0; 1; 
réussite bn:00000870n;1; 0; 0; 
pointeur bn:03222272n;1; 0; 0; 
txt bn:00028018n;1; 1; 1; 
fermeture bn:16858148n;1; 1; 1; 
chdir bn:00821546n;1; 0; 0; 
argument bn:00005603n;1; 0; 0; 
relatif bn:00109123a;1; 0; 0; 
handle bn:00278322n;1; 0; 0; 
prochaine bn:00096455a;1; 0; 1; 
sous bn:00072872n;1; 0; 0; 
base 8 bn:01534404n;1; 0; 0; 
type de fichier bn:01156328n;1; 0; 0; 
fifo bn:00034349n;1; 0; 0; 
pointé bn:00086679v;1; 0; 1; 
inode bn:03396161n;1; 0; 0; 
size bn:03645138n;1; 1; 0; 
taille de bloc bn:04788419n;1; 0; 0; 
shell unix bn:02558830n;1; 0; 0; 
dirname bn:00242975n;1; 1; 0; 
isoler bn:00089916v;1; 0; 0; 
chown bn:02823726n;1; 0; 0; 
chgrp bn:00742376n;1; 0; 0; 
copy bn:14086525n;1; 0; 0; 
hard link bn:03277499n;1; 0; 0; 
lien symbolique bn:01044905n;1; 0; 0; 
masque bn:03236329n;1; 0; 0; 
rename bn:00342646n;1; 0; 0; 
umask bn:03851470n;1; 0; 0; 
encodage bn:00030696n;1; 1; 1; 
avatar bn:03801346n;1; 0; 0; 
vérification bn:00017984n;1; 0; 1; 
pire bn:00113940a;1; 0; 0; 
boite de dialogue bn:00026837n;1; 0; 0; 
gestionnaire de fichier bn:00264400n;1; 0; 0; 
cliquer bn:00085112v;1; 0; 1; 
bouton bn:03843242n;1; 0; 0; 
associer bn:00082868v;1; 1; 1; 
temp bn:00076450n;1; 0; 0; 
initialiser bn:00089742v;1; 1; 1; 
fichier temporaire bn:03462927n;1; 0; 0; 
verrouiller bn:00090430v;1; 0; 0; 
caractère nul bn:02742063n;1; 0; 0; 
inverse bn:00105377a;1; 0; 1; 
oreille bn:00029372n;1; 0; 0; 
gras bn:00011848n;1; 0; 0; 
entité bn:00031027n;1; 1; 1; 
entité html bn:01327413n;1; 0; 0; 
fonctionnement bn:00036838n;1; 0; 0; 
quotes bn:00683774n;1; 0; 0; 
formater bn:00082780v;1; 0; 0; 
troisième bn:00096000a;1; 0; 0; 
colle bn:00001366n;1; 0; 0; 
longueur bn:00050662n;1; 1; 0; 
trim bn:00074703n;1; 1; 1; 
invisibles bn:00105385a;1; 0; 0; 
strcmp bn:13958358n;1; 0; 0; 
égale bn:00021326n;1; 0; 0; 
expiration bn:00026345n;1; 0; 0; 
avoir lieu bn:00085337v;1; 1; 1; 
disponible bn:00097846a;1; 0; 1; 
variable globale bn:02011863n;1; 0; 0; 
mot de passe bn:00023218n;1; 0; 1; 
visiteur bn:03106425n;1; 0; 1; 
authentification bn:03253409n;1; 1; 1; 
déconnexion bn:00027504n;1; 0; 0; 
évidente bn:00097350a;1; 0; 0; 
connecté bn:00085628v;1; 0; 0; 
démarrer bn:00083342v;1; 0; 1; 
balise html bn:02104867n;1; 0; 1; 
sauvegarde bn:00007838n;1; 0; 1; 
unset bn:00176172n;1; 0; 0; 
concerner bn:00083240v;1; 1; 1; 
cookie de session bn:00070691n;1; 0; 0; 
ouverture de session bn:03885719n;1; 1; 1; 
recommencer bn:00092914v;1; 0; 0; 
décompte bn:00086432v;1; 0; 1; 
unix_timestamp bn:00124230n;1; 0; 0; 
retirer bn:00092783v;1; 0; 0; 
dll bn:02058089n;1; 0; 0; 
jpeg bn:00838809n;1; 0; 0; 
windows bitmap bn:01848933n;1; 0; 0; 
truecolor bn:04000779n;1; 0; 0; 
largeur bn:00012893n;1; 0; 0; 
gd bn:03462925n;1; 0; 0; 
gif bn:00444440n;1; 0; 0; 
psd bn:15712791n;1; 0; 0; 
tiff bn:00663058n;1; 0; 0; 
intel bn:00670400n;1; 1; 0; 
rouge bn:00066631n;1; 1; 0; 
vert bn:00041648n;1; 1; 0; 
premier bn:00103006a;1; 0; 1; 
rvb bn:01953314n;1; 0; 0; 
coordonnées bn:00022459n;1; 0; 0; 
total bn:00102277a;1; 0; 1; 
zone bn:00005513n;1; 0; 1; 
blue bn:00765896n;1; 0; 0; 
cercle bn:00019169n;1; 0; 1; 
ellipse bn:00030406n;1; 0; 0; 
juste bn:00114626r;1; 0; 0; 
mot-clé bn:03277968n;1; 0; 0; 
constante bn:14692918n;1; 0; 0; 
classe d bn:14503356n;1; 0; 0; 
autre bn:03870834n;1; 0; 1; 
héritage multiple bn:01226081n;1; 0; 0; 
classe a bn:17130264n;1; 0; 0; 
faire référence bn:00085006v;1; 0; 0; 
générique bn:00103518a;1; 0; 0; 
type b bn:00007599n;1; 0; 0; 
ramasse-miettes bn:00037292n;1; 0; 0; 
code objet bn:00058451n;1; 0; 0; 
clonage bn:04738539n;1; 0; 0; 
directe bn:00101420a;1; 0; 0; 
explicite bn:00102589a;1; 0; 0; 
via bn:01515703n;1; 0; 0; 
descripteur de fichiers bn:03441901n;1; 0; 0; 
o3 bn:01507028n;1; 0; 0; 
substituer bn:00087802v;1; 0; 0; 
être utile bn:00085368v;1; 0; 1; 
utile bn:00113456a;1; 0; 0; 
abstraire bn:00082180v;1; 1; 0; 
abstraites bn:00096212a;1; 0; 0; 
classe abstraite bn:03110061n;1; 0; 0; 
dérivée bn:00026447n;1; 0; 0; 
implémentant bn:00084595v;1; 0; 0; 
publique bn:00109211a;1; 1; 1; 
redéfinition bn:00066711n;1; 0; 0; 
final bn:01755798n;1; 0; 0; 
final bn:00102969a;1; 0; 0; 
prototypes bn:03593973n;1; 0; 0; 
template bn:02473997n;1; 0; 0; 
déclencher bn:00082306v;1; 0; 0; 
contraire bn:00100398a;1; 0; 0; 
variable bn:00113503a;1; 0; 1; 
iterator bn:00967687n;1; 0; 0; 
infos bn:00046705n;1; 1; 1; 
numéro de ligne bn:03406633n;1; 0; 0; 
erreur bn:00031485n;1; 0; 0; 
parent bn:00060643n;1; 0; 1; 
ancien système bn:01069561n;1; 0; 0; 
stream bn:02122367n;1; 0; 0; 
xampp bn:02350502n;1; 1; 0; 
etc. bn:00114282r;1; 1; 1; 
erreur de syntaxe bn:00075740n;1; 0; 0; 
intéresser bn:00089814v;1; 0; 0; 
comportement bn:00009657n;1; 1; 1; 
réception bn:00066489n;1; 0; 0; 
répéter bn:00089731v;1; 1; 0; 
cas objet bn:00000786n;1; 0; 0; 
standard bn:00111129a;1; 1; 1; 
internes bn:00105292a;1; 0; 0; 
supporter bn:00093674v;1; 0; 0; 
remplissage bn:03416628n;1; 0; 1; 
structure bn:00094491v;1; 0; 0; 
epub bn:01314222n;0; 1; 0; 
format pdf bn:01745594n;0; 1; 1; 
caractéristique bn:00099532a;0; 1; 1; 
installation bn:03478637n;0; 1; 0; 
3.14 bn:00062194n;0; 1; 0; 
filtrage bn:00259585n;0; 1; 0; 
validation bn:03925844n;0; 1; 0; 
symfony bn:02798620n;0; 1; 0; 
application bn:00005095n;0; 1; 0; 
web service bn:03829842n;0; 1; 0; 
web mobile bn:03168096n;0; 1; 0; 
mobile bn:00106819a;0; 1; 0; 
informatique bn:00100175a;0; 1; 1; 
interpréter bn:00089840v;0; 1; 0; 
compilateur bn:00021344n;0; 1; 1; 
compilateur jit bn:01502421n;0; 1; 0; 
facebook bn:03624775n;0; 1; 0; 
coder bn:00084976v;0; 1; 1; 
fichier source bn:00072947n;0; 1; 1; 
sortie bn:00032242n;0; 1; 0; 
retrouver bn:00088204v;0; 1; 1; 
programmeur bn:00020358n;0; 1; 0; 
développement bn:01834425n;0; 1; 0; 
ca bn:00014403n;0; 1; 0; 
livre bn:00012059n;0; 1; 1; 
hiphop bn:01959769n;0; 1; 0; 
machine virtuelle bn:02589960n;0; 1; 0; 
typage fort bn:02560161n;0; 1; 0; 
framework bn:14831528n;0; 1; 0; 
phalcon bn:15355608n;0; 1; 0; 
compilation aot bn:15411174n;0; 1; 0; 
possibilité bn:00045632n;0; 1; 1; 
travers bn:00042404n;0; 1; 0; 
yahoo bn:00081801n;0; 1; 0; 
content management systems bn:03631223n;0; 1; 0; 
gestion de contenu bn:00883027n;0; 1; 0; 
joomla bn:01946532n;0; 1; 0; 
développement web bn:03446093n;0; 1; 1; 
laravel bn:02935312n;0; 1; 0; 
mamp bn:03197470n;0; 1; 0; 
indispensable bn:00104964a;0; 1; 1; 
macports bn:01068822n;0; 1; 0; 
client serveur bn:03496583n;0; 1; 1; 
communication bn:00021221n;0; 1; 1; 
fichier de configuration bn:03229365n;0; 1; 0; 
numbers bn:00439302n;0; 1; 0; 
compression bn:00021441n;0; 1; 0; 
phase bn:00061898n;0; 1; 1; 
éxécution bn:16533697n;0; 1; 0; 
logging bn:15274529n;0; 1; 0; 
désactiver bn:00027407n;0; 1; 1; 
démarrage bn:03140436n;0; 1; 0; 
plugins bn:00001275n;0; 1; 0; 
logger bn:00825346n;0; 1; 0; 
rapporter bn:00034163n;0; 1; 0; 
fuite de mémoire bn:01230884n;0; 1; 0; 
chaine bn:00017487n;0; 1; 0; 
socket bn:15776593n;0; 1; 0; 
chemin bn:03131414n;0; 1; 1; 
iconv bn:03672592n;0; 1; 0; 
système d bn:04836299n;0; 1; 0; 
smtp bn:02128235n;0; 1; 0; 
set bn:04928161n;0; 1; 0; 
lien permanents bn:03767636n;0; 1; 0; 
links bn:01052609n;0; 1; 0; 
host bn:01846442n;0; 1; 1; 
passwd bn:14874750n;0; 1; 0; 
mysqli bn:01438356n;0; 1; 0; 
md5 bn:01141584n;0; 1; 0; 
assertion bn:04728763n;0; 1; 0; 
fonction utilisateur bn:00952651n;0; 1; 0; 
doctype bn:15839327n;0; 1; 0; 
mac os x bn:01334510n;0; 1; 0; 
khtml bn:00975876n;0; 1; 0; 
gecko bn:15456781n;0; 1; 0; 
doc bn:17202928n;0; 1; 1; 
msie bn:17346309n;0; 1; 0; 
firefox bn:01387235n;0; 1; 0; 
chrome bn:00018877n;0; 1; 0; 
safari bn:00907501n;0; 1; 0; 
remède bn:00054133n;0; 1; 0; 
head bn:02338897n;0; 1; 1; 
existence bn:00009676n;0; 1; 1; 
répondre bn:00082225v;0; 1; 0; 
simplifier bn:00087951v;0; 1; 0; 
concaténation bn:03489514n;0; 1; 1; 
majuscule bn:00015499n;0; 1; 1; 
égalité bn:00031284n;0; 1; 0; 
eval bn:03464447n;0; 1; 0; 
tableau associatifs bn:03848413n;0; 1; 0; 
parcours bn:03468087n;0; 1; 1; 
mardi bn:00078546n;0; 1; 1; 
mercredi bn:00054897n;0; 1; 0; 
