;C3.csv;C5.csv;C6.csv
modulaire bn:00106842a;0; 0; 1; 
extensible bn:00102618a;0; 1; 1; 
manquer bn:00090161v;0; 1; 0; 
cohérente bn:00099970a;0; 1; 0; 
zend bn:03133191n;0; 0; 1; 
zend engine bn:01337536n;0; 0; 1; 
mai bn:00053941n;0; 1; 1; 
forum bn:14251420n;0; 1; 1; 
messagerie bn:00030257n;0; 1; 1; 
commerce électronique bn:00029344n;0; 0; 1; 
banque bn:00008364n;0; 1; 0; 
publication en ligne bn:01180578n;0; 1; 1; 
lamp bn:01708928n;0; 0; 1; 
incorporer bn:00089664v;0; 1; 1; 
semblant bn:00045960n;0; 1; 1; 
dédier bn:00085427v;0; 1; 1; 
vitesse bn:00073258n;0; 1; 0; 
côté bn:00110607a;0; 1; 1; 
vbscript bn:02626435n;0; 1; 1; 
jscript bn:01995344n;0; 1; 1; 
activex bn:03829972n;0; 1; 1; 
portage bn:01430733n;0; 1; 1; 
plate-forme bn:00062900n;0; 1; 1; 
langage de programmation procédural bn:01706415n;0; 0; 1; 
procédural bn:00109049a;0; 1; 1; 
nécessaire bn:00107182a;0; 1; 0; 
unix bn:00079165n;0; 0; 1; 
mac bn:00052516n;0; 0; 1; 
second bn:00105773a;0; 1; 1; 
distribution linux bn:01061442n;0; 0; 1; 
répertoire personnel bn:02102310n;0; 1; 1; 
uvre bn:00016278n;0; 1; 0; 
employer bn:00030616n;0; 0; 1; 
easyphp bn:14837849n;0; 1; 1; 
coloration syntaxique bn:02006707n;0; 1; 1; 
w3c bn:02673666n;0; 1; 0; 
xhtml bn:01163644n;0; 1; 1; 
css bn:00056944n;0; 1; 1; 
entête bn:00043309n;0; 1; 0; 
mozilla bn:01297088n;0; 1; 1; 
galeon bn:00496122n;0; 1; 1; 
konqueror bn:16498221n;0; 1; 1; 
compatibles bn:00100128a;0; 1; 1; 
bordélique bn:00110762a;0; 1; 1; 
web bn:00080772n;0; 1; 0; 
souple bn:00102069a;0; 1; 1; 
point-virgule bn:00070420n;0; 1; 0; 
lettre bn:00003057n;0; 0; 1; 
dépendre bn:00086606v;0; 1; 0; 
contexte bn:00022168n;0; 1; 1; 
transtypage bn:17104905n;0; 1; 0; 
signe égal bn:00031280n;0; 1; 1; 
sans bn:00025713n;0; 1; 1; 
echo bn:03626250n;0; 1; 0; 
affiche bn:15173511n;0; 1; 1; 
globale bn:00103624a;0; 1; 0; 
variable locale bn:00958409n;0; 1; 1; 
locale bn:03080237n;0; 1; 1; 
grand nombre bn:14223782n;0; 1; 0; 
files bn:00065682n;0; 1; 0; 
upload bn:14037830n;0; 1; 1; 
env bn:01199166n;0; 0; 1; 
url bn:00079080n;0; 0; 1; 
cache bn:00014484n;0; 0; 1; 
dynamique bn:00101917a;0; 1; 1; 
ambiguïté bn:00003266n;0; 1; 1; 
chaîne vide bn:03716205n;0; 1; 0; 
booléenne bn:00098690a;0; 1; 1; 
architecture bn:00005442n;0; 0; 1; 
nombre à virgule flottante bn:00035278n;0; 1; 1; 
spécifier bn:00086464v;0; 1; 0; 
puissance de 10 bn:05006238n;0; 1; 1; 
ascii bn:00003473n;0; 1; 1; 
unicode bn:02529895n;0; 1; 1; 
échapper bn:00083961v;0; 1; 1; 
lf bn:00050913n;0; 1; 1; 
carriage return bn:00016246n;0; 1; 1; 
cr bn:00006854n;0; 1; 1; 
antislash bn:00988551n;0; 1; 0; 
notation octale bn:00058598n;0; 1; 1; 
notation hexadécimale bn:00043958n;0; 1; 1; 
hexadécimale bn:00104145a;0; 1; 1; 
égal bn:00102336a;0; 1; 0; 
valeur numérique bn:00000451n;0; 1; 1; 
numérique bn:00107649a;0; 1; 1; 
addition bn:00001296n;0; 1; 0; 
val bn:00079476n;0; 1; 1; 
table de hachage bn:00587820n;0; 1; 1; 
hachage bn:00583146n;0; 0; 1; 
pile bn:02100952n;0; 0; 1; 
séparer bn:00082871v;0; 0; 1; 
volée bn:00035208n;0; 1; 1; 
cle bn:04756252n;0; 1; 1; 
class bn:03598962n;0; 0; 1; 
constantes bn:00100331a;0; 1; 1; 
casse bn:00083919v;0; 1; 1; 
redéfinir bn:00092568v;0; 1; 1; 
gauche bn:00902572n;0; 1; 1; 
droite bn:00051291n;0; 1; 1; 
croître bn:00089082v;0; 1; 1; 
associativité bn:00533203n;0; 1; 1; 
modulo bn:00553864n;0; 1; 1; 
division bn:00027919n;0; 1; 0; 
division par deux bn:03686939n;0; 1; 1; 
deux bn:00000075n;0; 1; 0; 
message bn:00521573n;0; 0; 1; 
oeil bn:00032512n;0; 1; 1; 
affiche bn:00087013v;0; 1; 0; 
exécutée bn:00091723v;0; 1; 1; 
conditionnelle bn:00100214a;0; 1; 1; 
sorte bn:00035907n;0; 1; 1; 
list bn:04720346n;0; 1; 1; 
case bn:04777941n;0; 1; 0; 
ressembler à bn:00092876v;0; 1; 0; 
homologue bn:00023208n;0; 1; 1; 
existe bn:00083184v;0; 1; 0; 
appel de fonction bn:00036827n;0; 1; 1; 
type de valeurs bn:00253515n;0; 1; 1; 
devoir bn:00091362v;0; 1; 0; 
couvrir bn:00085916v;0; 1; 1; 
limitation bn:00051252n;0; 1; 1; 
conteneur bn:03305154n;0; 1; 1; 
premier bn:00034738n;0; 1; 0; 
choix multiples bn:03455699n;0; 1; 1; 
vin bn:00080022n;0; 1; 1; 
format de date bn:03576260n;0; 1; 1; 
langue anglaise bn:00030862n;0; 1; 0; 
français bn:00036426n;0; 1; 0; 
semaine bn:00043484n;0; 1; 0; 
heure internet bn:02981905n;0; 1; 1; 
vendredi bn:00036512n;0; 0; 1; 
janvier bn:00047960n;0; 1; 1; 
24h bn:00000086n;0; 1; 0; 
hiver bn:00081370n;0; 1; 1; 
heure de greenwich bn:00040810n;0; 1; 1; 
dec bn:00017011n;0; 1; 1; 
fuseau horaire bn:00077302n;0; 1; 1; 
samedi bn:00068696n;0; 0; 1; 
lundi bn:00055609n;0; 0; 1; 
second bn:00005460n;0; 1; 1; 
fonction bn:00036821n;0; 1; 1; 
siècle bn:00017234n;0; 1; 1; 
numérique bn:15182937n;0; 1; 1; 
intervalle bn:00047229n;0; 1; 1; 
semaine 1 bn:04756861n;0; 1; 1; 
abréviation bn:00000239n;0; 1; 1; 
littéral bn:00106042a;0; 1; 0; 
september bn:15649592n;0; 1; 1; 
septembre bn:00070537n;0; 0; 1; 
semaine 3 bn:04756880n;0; 1; 1; 
système de gestion de base de donnée bn:14249264n;0; 1; 0; 
relationnel bn:00109653a;0; 1; 1; 
open source bn:01157392n;0; 1; 1; 
mysql ab bn:03198967n;0; 1; 1; 
licence bn:00050986n;0; 1; 0; 
licence gpl bn:01157379n;0; 1; 0; 
support technique bn:03482340n;0; 1; 1; 
hébergeur bn:00801697n;0; 1; 0; 
étrangères bn:00096774a;0; 1; 1; 
notamment bn:00115235r;0; 0; 1; 
moteur de recherche bn:13956658n;0; 1; 1; 
sqlplus bn:02088255n;0; 1; 1; 
intuitif bn:00047307n;0; 1; 1; 
toolkit bn:01526357n;0; 1; 1; 
qt bn:17288164n;0; 1; 1; 
macos bn:01415427n;0; 0; 1; 
configuration bn:03088982n;0; 0; 1; 
ip bn:00046704n;0; 1; 1; 
doute bn:00028425n;0; 1; 0; 
administrateur bn:00075765n;0; 1; 0; 
mise à jour bn:15364261n;0; 1; 0; 
insert bn:03795444n;0; 1; 0; 
tenir compte bn:00082541v;0; 1; 0; 
quantité variables bn:00079581n;0; 1; 1; 
medium bn:00054149n;0; 1; 1; 
tris bn:00072857n;0; 1; 1; 
champ de bn:15987694n;0; 1; 1; 
insérer bn:00087594v;0; 1; 1; 
plupart bn:00050555n;0; 1; 0; 
préférence bn:00061333n;0; 1; 1; 
février bn:00033882n;0; 1; 1; 
mise bn:00016287n;0; 1; 0; 
expliquer bn:00082235v;0; 1; 1; 
plage bn:04717355n;0; 1; 1; 
mm bn:00055052n;0; 1; 1; 
fraction bn:00036154n;0; 1; 1; 
soumettre bn:00094538v;0; 1; 1; 
transaction bn:01403911n;0; 0; 1; 
rollback bn:00133978n;0; 0; 1; 
crash bn:00023573n;0; 1; 1; 
contraintes bn:00022062n;0; 1; 0; 
intégrité bn:03141748n;0; 1; 1; 
parente bn:00033359n;0; 1; 1; 
clé étrangère bn:01944370n;0; 1; 0; 
fils bn:00051877n;0; 1; 1; 
critère bn:00023853n;0; 1; 0; 
flotter bn:00088327v;0; 1; 1; 
order bn:02240223n;0; 1; 1; 
simplicité bn:00071689n;0; 1; 1; 
ouverte bn:00107886a;0; 1; 1; 
numéroter bn:00091103v;0; 1; 1; 
identiques bn:00104508a;0; 1; 1; 
renommer bn:00092787v;0; 0; 1; 
insertion bn:02234787n;0; 1; 1; 
valeur bn:00079508n;0; 1; 1; 
liste chaînée bn:01056813n;0; 1; 1; 
jointure bn:00048368n;0; 1; 1; 
activer bn:00082307v;0; 1; 1; 
mode texte bn:03459971n;0; 1; 1; 
attention bn:00007020n;0; 0; 1; 
fin bn:00113911a;0; 1; 1; 
placer bn:00090224v;0; 1; 1; 
img bn:02450504n;0; 1; 0; 
fichier csv bn:03284335n;0; 1; 1; 
ret bn:05006619n;0; 1; 1; 
fichier binaire bn:00010479n;0; 1; 1; 
calculer bn:00084373v;0; 1; 0; 
réussite bn:00000870n;0; 1; 1; 
pointeur bn:03222272n;0; 1; 1; 
chdir bn:00821546n;0; 1; 1; 
argument bn:00005603n;0; 1; 1; 
relatif bn:00109123a;0; 1; 1; 
handle bn:00278322n;0; 1; 1; 
prochaine bn:00096455a;0; 1; 0; 
sous bn:00072872n;0; 1; 1; 
base 8 bn:01534404n;0; 1; 1; 
type de fichier bn:01156328n;0; 1; 1; 
fifo bn:00034349n;0; 1; 1; 
pointé bn:00086679v;0; 1; 0; 
inode bn:03396161n;0; 1; 1; 
size bn:03645138n;0; 0; 1; 
taille de bloc bn:04788419n;0; 1; 1; 
shell unix bn:02558830n;0; 1; 1; 
dirname bn:00242975n;0; 0; 1; 
isoler bn:00089916v;0; 1; 1; 
chown bn:02823726n;0; 1; 1; 
chgrp bn:00742376n;0; 1; 1; 
copy bn:14086525n;0; 1; 1; 
hard link bn:03277499n;0; 1; 1; 
lien symbolique bn:01044905n;0; 1; 1; 
masque bn:03236329n;0; 1; 1; 
rename bn:00342646n;0; 1; 1; 
umask bn:03851470n;0; 1; 1; 
client bn:00019764n;0; 0; 1; 
avatar bn:03801346n;0; 1; 1; 
vérification bn:00017984n;0; 1; 0; 
pire bn:00113940a;0; 1; 1; 
boite de dialogue bn:00026837n;0; 1; 1; 
gestionnaire de fichier bn:00264400n;0; 1; 1; 
cliquer bn:00085112v;0; 1; 0; 
bouton bn:03843242n;0; 1; 1; 
temp bn:00076450n;0; 1; 1; 
fichier temporaire bn:03462927n;0; 1; 1; 
verrouiller bn:00090430v;0; 1; 1; 
caractère nul bn:02742063n;0; 1; 1; 
inverse bn:00105377a;0; 1; 0; 
oreille bn:00029372n;0; 1; 1; 
gras bn:00011848n;0; 1; 1; 
entité html bn:01327413n;0; 1; 1; 
fonctionnement bn:00036838n;0; 1; 1; 
quotes bn:00683774n;0; 1; 1; 
formater bn:00082780v;0; 1; 1; 
troisième bn:00096000a;0; 1; 1; 
colle bn:00001366n;0; 1; 1; 
longueur bn:00050662n;0; 0; 1; 
invisibles bn:00105385a;0; 1; 1; 
strcmp bn:13958358n;0; 1; 1; 
égale bn:00021326n;0; 1; 1; 
expiration bn:00026345n;0; 1; 1; 
disponible bn:00097846a;0; 1; 0; 
variable globale bn:02011863n;0; 1; 1; 
mot de passe bn:00023218n;0; 1; 0; 
visiteur bn:03106425n;0; 1; 0; 
déconnexion bn:00027504n;0; 1; 1; 
évidente bn:00097350a;0; 1; 1; 
connecté bn:00085628v;0; 1; 1; 
démarrer bn:00083342v;0; 1; 0; 
balise html bn:02104867n;0; 1; 0; 
sauvegarde bn:00007838n;0; 1; 0; 
unset bn:00176172n;0; 1; 1; 
cookie de session bn:00070691n;0; 1; 1; 
recommencer bn:00092914v;0; 1; 1; 
décompte bn:00086432v;0; 1; 0; 
unix_timestamp bn:00124230n;0; 1; 1; 
retirer bn:00092783v;0; 1; 1; 
dll bn:02058089n;0; 1; 1; 
jpeg bn:00838809n;0; 1; 1; 
windows bitmap bn:01848933n;0; 1; 1; 
truecolor bn:04000779n;0; 1; 1; 
largeur bn:00012893n;0; 1; 1; 
gd bn:03462925n;0; 1; 1; 
gif bn:00444440n;0; 1; 1; 
psd bn:15712791n;0; 1; 1; 
tiff bn:00663058n;0; 1; 1; 
intel bn:00670400n;0; 0; 1; 
rouge bn:00066631n;0; 0; 1; 
vert bn:00041648n;0; 0; 1; 
premier bn:00103006a;0; 1; 0; 
rvb bn:01953314n;0; 1; 1; 
coordonnées bn:00022459n;0; 1; 1; 
total bn:00102277a;0; 1; 0; 
zone bn:00005513n;0; 1; 0; 
blue bn:00765896n;0; 1; 1; 
cercle bn:00019169n;0; 1; 0; 
ellipse bn:00030406n;0; 1; 1; 
juste bn:00114626r;0; 1; 1; 
mot-clé bn:03277968n;0; 1; 1; 
constante bn:14692918n;0; 1; 1; 
classe d bn:14503356n;0; 1; 1; 
autre bn:03870834n;0; 1; 0; 
héritage multiple bn:01226081n;0; 1; 1; 
classe a bn:17130264n;0; 1; 1; 
faire référence bn:00085006v;0; 1; 1; 
générique bn:00103518a;0; 1; 1; 
type b bn:00007599n;0; 1; 1; 
ramasse-miettes bn:00037292n;0; 1; 1; 
code objet bn:00058451n;0; 1; 1; 
clonage bn:04738539n;0; 1; 1; 
directe bn:00101420a;0; 1; 1; 
explicite bn:00102589a;0; 1; 1; 
via bn:01515703n;0; 1; 1; 
descripteur de fichiers bn:03441901n;0; 1; 1; 
o3 bn:01507028n;0; 1; 1; 
substituer bn:00087802v;0; 1; 1; 
être utile bn:00085368v;0; 1; 0; 
utile bn:00113456a;0; 1; 1; 
abstraire bn:00082180v;0; 0; 1; 
abstraites bn:00096212a;0; 1; 1; 
classe abstraite bn:03110061n;0; 1; 1; 
dérivée bn:00026447n;0; 1; 1; 
implémentant bn:00084595v;0; 1; 1; 
redéfinition bn:00066711n;0; 1; 1; 
final bn:01755798n;0; 1; 1; 
final bn:00102969a;0; 1; 1; 
prototypes bn:03593973n;0; 1; 1; 
template bn:02473997n;0; 1; 1; 
déclencher bn:00082306v;0; 1; 1; 
contraire bn:00100398a;0; 1; 1; 
variable bn:00113503a;0; 1; 0; 
iterator bn:00967687n;0; 1; 1; 
numéro de ligne bn:03406633n;0; 1; 1; 
erreur bn:00031485n;0; 1; 1; 
parent bn:00060643n;0; 1; 0; 
ancien système bn:01069561n;0; 1; 1; 
stream bn:02122367n;0; 1; 1; 
xampp bn:02350502n;0; 0; 1; 
erreur de syntaxe bn:00075740n;0; 1; 1; 
intéresser bn:00089814v;0; 1; 1; 
réception bn:00066489n;0; 1; 1; 
répéter bn:00089731v;0; 0; 1; 
cas objet bn:00000786n;0; 1; 1; 
internes bn:00105292a;0; 1; 1; 
supporter bn:00093674v;0; 1; 1; 
remplissage bn:03416628n;0; 1; 0; 
structure bn:00094491v;0; 1; 1; 
epub bn:01314222n;1; 0; 1; 
format pdf bn:01745594n;1; 0; 0; 
caractéristique bn:00099532a;1; 0; 0; 
installation bn:03478637n;1; 0; 1; 
3.14 bn:00062194n;1; 0; 1; 
filtrage bn:00259585n;1; 0; 1; 
validation bn:03925844n;1; 0; 1; 
composer bn:14766022n;1; 0; 0; 
symfony bn:02798620n;1; 0; 1; 
application bn:00005095n;1; 0; 1; 
web service bn:03829842n;1; 0; 1; 
web mobile bn:03168096n;1; 0; 1; 
mobile bn:00106819a;1; 0; 1; 
informatique bn:00100175a;1; 0; 0; 
interpréter bn:00089840v;1; 0; 1; 
compilateur bn:00021344n;1; 0; 0; 
compilateur jit bn:01502421n;1; 0; 1; 
facebook bn:03624775n;1; 0; 1; 
coder bn:00084976v;1; 0; 0; 
fichier source bn:00072947n;1; 0; 0; 
sortie bn:00032242n;1; 0; 1; 
retrouver bn:00088204v;1; 0; 0; 
programmeur bn:00020358n;1; 0; 1; 
développement bn:01834425n;1; 0; 1; 
ca bn:00014403n;1; 0; 1; 
livre bn:00012059n;1; 0; 0; 
hiphop bn:01959769n;1; 0; 1; 
machine virtuelle bn:02589960n;1; 0; 1; 
typage fort bn:02560161n;1; 0; 1; 
framework bn:14831528n;1; 0; 1; 
phalcon bn:15355608n;1; 0; 1; 
compilation aot bn:15411174n;1; 0; 1; 
possibilité bn:00045632n;1; 0; 0; 
travers bn:00042404n;1; 0; 1; 
yahoo bn:00081801n;1; 0; 1; 
content management systems bn:03631223n;1; 0; 1; 
gestion de contenu bn:00883027n;1; 0; 1; 
joomla bn:01946532n;1; 0; 1; 
développement web bn:03446093n;1; 0; 0; 
laravel bn:02935312n;1; 0; 1; 
mamp bn:03197470n;1; 0; 1; 
indispensable bn:00104964a;1; 0; 0; 
macports bn:01068822n;1; 0; 1; 
client serveur bn:03496583n;1; 0; 0; 
communication bn:00021221n;1; 0; 0; 
fichier de configuration bn:03229365n;1; 0; 1; 
numbers bn:00439302n;1; 0; 1; 
compression bn:00021441n;1; 0; 1; 
phase bn:00061898n;1; 0; 0; 
éxécution bn:16533697n;1; 0; 1; 
logging bn:15274529n;1; 0; 1; 
désactiver bn:00027407n;1; 0; 0; 
démarrage bn:03140436n;1; 0; 1; 
plugins bn:00001275n;1; 0; 1; 
logger bn:00825346n;1; 0; 1; 
rapporter bn:00034163n;1; 0; 1; 
fuite de mémoire bn:01230884n;1; 0; 1; 
chaine bn:00017487n;1; 0; 1; 
socket bn:15776593n;1; 0; 1; 
chemin bn:03131414n;1; 0; 0; 
iconv bn:03672592n;1; 0; 1; 
système d bn:04836299n;1; 0; 1; 
smtp bn:02128235n;1; 0; 1; 
set bn:04928161n;1; 0; 1; 
lien permanents bn:03767636n;1; 0; 1; 
links bn:01052609n;1; 0; 1; 
host bn:01846442n;1; 0; 0; 
passwd bn:14874750n;1; 0; 1; 
mysqli bn:01438356n;1; 0; 1; 
md5 bn:01141584n;1; 0; 1; 
assertion bn:04728763n;1; 0; 1; 
fonction utilisateur bn:00952651n;1; 0; 1; 
doctype bn:15839327n;1; 0; 1; 
mac os x bn:01334510n;1; 0; 1; 
khtml bn:00975876n;1; 0; 1; 
gecko bn:15456781n;1; 0; 1; 
doc bn:17202928n;1; 0; 0; 
msie bn:17346309n;1; 0; 1; 
firefox bn:01387235n;1; 0; 1; 
chrome bn:00018877n;1; 0; 1; 
safari bn:00907501n;1; 0; 1; 
remède bn:00054133n;1; 0; 1; 
head bn:02338897n;1; 0; 0; 
existence bn:00009676n;1; 0; 0; 
répondre bn:00082225v;1; 0; 1; 
null bn:15898583n;1; 0; 0; 
simplifier bn:00087951v;1; 0; 1; 
concaténation bn:03489514n;1; 0; 0; 
majuscule bn:00015499n;1; 0; 0; 
égalité bn:00031284n;1; 0; 1; 
eval bn:03464447n;1; 0; 1; 
tableau associatifs bn:03848413n;1; 0; 1; 
parcours bn:03468087n;1; 0; 0; 
mardi bn:00078546n;1; 0; 0; 
mercredi bn:00054897n;1; 0; 1; 
jeudi bn:00076744n;1; 0; 0; 
casse bn:03225002n;1; 0; 1; 
query_string bn:03583474n;1; 0; 1; 
externes bn:00102624a;1; 0; 1; 
racine bn:00008793n;1; 0; 1; 
signaler bn:00071525n;1; 0; 1; 
type de retour bn:03354146n;1; 0; 1; 
etudiant bn:00029806n;1; 0; 0; 
setter bn:00021412n;1; 0; 1; 
attribut bn:00007068n;1; 0; 1; 
espace de nommage bn:01468325n;1; 0; 1; 
bleu bn:00011477n;1; 0; 1; 
set bn:00062714n;1; 0; 1; 
diff bn:16709776n;1; 0; 1; 
ball bn:03442687n;1; 0; 1; 
être bn:00004222n;1; 0; 0; 
interrogation bn:00047208n;1; 0; 1; 
prenom bn:15996005n;1; 0; 0; 
jeanne bn:03888564n;1; 0; 1; 
durand bn:04919129n;1; 0; 1; 
andreas bn:02288585n;1; 0; 1; 
dalton bn:00025070n;1; 0; 1; 
fichier css bn:01642119n;1; 0; 1; 
auto bn:00007309n;1; 0; 1; 
tr bn:03561884n;1; 0; 1; 
puce bn:03415182n;1; 0; 1; 
clef primaire bn:03542434n;1; 0; 0; 
franz kafka bn:00036274n;1; 0; 1; 
cotes bn:01852996n;1; 0; 1; 
systématiquement bn:00114825r;1; 0; 1; 
injections bn:03211312n;1; 0; 1; 
injections sql bn:03319192n;1; 0; 1; 
essayer bn:00082844v;1; 0; 0; 
code malveillant bn:01363738n;1; 0; 1; 
faille de sécurité bn:00080285n;1; 0; 1; 
html5 bn:03675085n;1; 0; 1; 
être valables bn:00082706v;1; 0; 1; 
injection de code bn:00184104n;1; 0; 1; 
système d’information bn:00025331n;1; 0; 1; 
credit bn:00022100n;1; 0; 1; 
depot bn:03854733n;1; 0; 0; 
commit bn:00085426v;1; 0; 1; 
réutilisé bn:00092558v;1; 0; 0; 
printf bn:03243783n;1; 0; 1; 
action bn:00001127n;1; 0; 1; 
courant bn:00024510n;1; 0; 1; 
href bn:00045513n;1; 0; 0; 
csrf bn:14277211n;1; 0; 1; 
temporaire bn:00105439a;1; 0; 1; 
django bn:01551307n;1; 0; 1; 
flask bn:14887813n;1; 0; 1; 
token bn:00050895n;1; 0; 1; 
svg bn:02136503n;1; 0; 1; 
mathml bn:03313895n;1; 0; 1; 
document object model bn:03762301n;1; 0; 1; 
document xml bn:04725671n;1; 0; 1; 
bas niveau bn:01163629n;1; 0; 1; 
programme tv bn:00076429n;1; 0; 1; 
tv bn:00076373n;1; 0; 1; 
debut bn:01247692n;1; 0; 1; 
smith bn:15137150n;1; 0; 1; 
realisateur bn:00027369n;1; 0; 1; 
dutchman bn:03862910n;1; 0; 1; 
johnny guitar bn:00554585n;1; 0; 1; 
guitar bn:00281486n;1; 0; 1; 
woman under the influence bn:03640247n;1; 0; 1; 
victor/victoria bn:01767778n;1; 0; 1; 
simplexml bn:15053361n;1; 0; 1; 
the flying dutchman bn:16075739n;1; 0; 1; 
jour de fête bn:15946696n;1; 0; 1; 
controleur bn:00022289n;1; 0; 1; 
composants bn:00021396n;1; 0; 1; 
version bn:00047114n;1; 0; 0; 
framework web bn:01653710n;1; 0; 1; 
cd bn:00016915n;1; 0; 0; 
path bn:01205256n;1; 0; 1; 
menu bn:00021485n;1; 0; 0; 
poisson bn:00062612n;1; 0; 1; 
catch bn:00037180n;1; 0; 1; 
h2 bn:02803535n;1; 0; 1; 
routage bn:01926016n;1; 0; 1; 
familiariser bn:00082274v;1; 0; 1; 
micro-noyau bn:15964004n;1; 0; 1; 
package bn:01408374n;1; 0; 1; 
courantes bn:00107963a;1; 0; 1; 
bin bn:00000199n;1; 0; 1; 
répertoire de travail bn:00826363n;1; 0; 1; 
log bn:00051830n;1; 0; 1; 
flex bn:00337264n;1; 0; 1; 
test driven development bn:02924470n;1; 0; 1; 
avant bn:00035855n;1; 0; 1; 
méthodologie bn:00054633n;1; 0; 1; 
spécification bn:00073217n;1; 0; 1; 
junit bn:00861107n;1; 0; 1; 
phpunit bn:00980999n;1; 0; 1; 
sommes bn:00082322v;1; 0; 1; 
librairie bn:00050969n;1; 0; 0; 
mettre en place bn:00088250v;1; 0; 1; 
architecture rest bn:03799604n;1; 0; 1; 
transfer bn:03128918n;1; 0; 1; 
logique métier bn:00795795n;1; 0; 1; 
json bn:00802141n;1; 0; 1; 
js bn:15539067n;1; 0; 1; 
rich internet application bn:00268208n;1; 0; 1; 
patch bn:00060970n;1; 0; 1; 
soap bn:02284891n;1; 0; 1; 
microsoft bn:01165400n;1; 0; 0; 
principe bn:00064428n;1; 0; 1; 
roy fielding bn:00949159n;1; 0; 1; 
thèse bn:00027718n;1; 0; 1; 
séparation bn:00070542n;1; 0; 0; 
code serveur bn:16078281n;1; 0; 1; 
description bn:04723965n;1; 0; 0; 
mémorisation bn:00021038n;1; 0; 1; 
contact bn:00085696v;1; 0; 1; 
creation bn:03599511n;1; 0; 1; 
détails bn:00067417n;1; 0; 0; 
avérer bn:00095117v;1; 0; 1; 
root bn:00168023n;1; 0; 1; 
voter bn:00008198n;1; 0; 1; 
mobile bn:00017029n;1; 0; 1; 
informatique bn:00021494n;1; 0; 0; 
initialisation bn:00046781n;1; 0; 1; 
gitlab bn:14257471n;1; 0; 1; 
bitbucket bn:01444337n;1; 0; 1; 
github bn:01101521n;1; 0; 1; 
revue bn:00052671n;1; 0; 1; 
gestion de version bn:03364124n;1; 0; 1; 
professionnelle bn:00109068a;1; 0; 1; 
historique bn:00104223a;1; 0; 1; 
dominique bn:00021210n;1; 1; 0; 
novembre bn:00058192n;1; 1; 0; 
document bn:00087138v;1; 1; 0; 
gnu bn:00324017n;1; 1; 0; 
gnu fdl bn:01157394n;1; 1; 0; 
généralité bn:00041249n;1; 1; 0; 
langage intermédiaires bn:00350794n;1; 1; 0; 
faq bn:00033653n;1; 1; 0; 
préliminaire bn:00108949a;1; 1; 0; 
postgresql bn:01709156n;1; 1; 0; 
pear bn:03735126n;1; 1; 0; 
dbx bn:03185121n;1; 1; 0; 
news bn:03357706n;1; 1; 0; 
manipulation bn:00053225n;1; 1; 0; 
accueil bn:00044514n;1; 1; 0; 
étude de cas bn:02395950n;1; 1; 0; 
évaluation bn:00031973n;1; 1; 0; 
généalogie bn:00033524n;1; 1; 0; 
généralité bn:00037670n;1; 1; 0; 
optimisation bn:01564896n;1; 1; 0; 
