X ; C1 ; C2 ; C3 ; C4 ; C5 ; C6 ; C7 ; C8 ; C9 ; C10
site bn:00047172n ; 0 ; 0 ; 0 ; 0.0547945 ; 0 ; 0.0441989 ; 0 ; 0 ; 0.0432432 ; 0.0379147
détruire bn:00084204v ; 0.0486111 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.059322 ; 0 ; 0.0378378 ; 0.0380952
second bn:00105773a ; 0.0285714 ; 0 ; 0.0223464 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0220994 ; 0
ordinateur bn:00021464n ; 0.0555556 ; 0 ; 0 ; 0 ; 0 ; 0.0441989 ; 0 ; 0 ; 0.0432432 ; 0.0379147
développement web bn:03446093n ; 0 ; 0 ; 0 ; 0.0547945 ; 0.043956 ; 0.0441989 ; 0 ; 0 ; 0 ; 0.0379147
organisation bn:00059480n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0114286 ; 0 ; 0 ; 0 ; 0.0097561
premier bn:00103006a ; 0 ; 0 ; 0.0223464 ; 0 ; 0 ; 0.0225989 ; 0 ; 0 ; 0 ; 0.0193237
devoir sur table bn:04973014n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00490196
semaine bn:00043484n ; 0 ; 0 ; 0.0223464 ; 0 ; 0 ; 0.0225989 ; 0 ; 0 ; 0 ; 0.0193237
devoir maison bn:00044563n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00490196
interrogation bn:00047208n ; 0 ; 0 ; 0 ; 0 ; 0.0113636 ; 0 ; 0 ; 0 ; 0 ; 0.0097561
générale bn:00103507a ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0114286 ; 0 ; 0 ; 0 ; 0.0097561
explication bn:00000741n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00490196
front office bn:16857738n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00490196
front bn:00013389n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00490196
xamp bn:02350502n ; 0 ; 0 ; 0.0437158 ; 0 ; 0.043956 ; 0 ; 0 ; 0 ; 0.0432432 ; 0.0379147
internet bn:00024712n ; 0 ; 0 ; 0.0837696 ; 0 ; 0.0842105 ; 0.0846561 ; 0 ; 0 ; 0.0829016 ; 0.0730594
faille de sécurité bn:00080285n ; 0 ; 0 ; 0 ; 0 ; 0.0113636 ; 0 ; 0 ; 0 ; 0 ; 0.0097561
