X ; C1.csv ; C10.csv ; C2.csv ; C4.csv ; C7.csv ; C8.csv ; C9.csv
jour bn:00000086n ; 0.0326087 ; 0.0434783 ; 0 ; 0 ; 0 ; 0.0326087 ; 0
euro bn:00031888n ; 0.0108696 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
etc bn:00114282r ; 0.0434783 ; 0.0434783 ; 0 ; 0 ; 0 ; 0 ; 0.0434783
programmation bn:00021493n ; 0.173913 ; 0.173913 ; 0.173913 ; 0.173913 ; 0 ; 0 ; 0.173913
site bn:00047172n ; 0.478261 ; 0.695652 ; 0.48913 ; 0.478261 ; 0.456522 ; 0.369565 ; 0.467391
détruire bn:00084204v ; 0.076087 ; 0.0869565 ; 0 ; 0 ; 0.076087 ; 0 ; 0.076087
second bn:00105773a ; 0.0217391 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0217391
ordinateur bn:00021464n ; 0.0434783 ; 0.0434783 ; 0 ; 0 ; 0 ; 0 ; 0.0434783
développement web bn:03446093n ; 0 ; 0.0217391 ; 0 ; 0.0217391 ; 0 ; 0 ; 0
organisation bn:00059480n ; 0 ; 0.0108696 ; 0 ; 0 ; 0 ; 0 ; 0
premier bn:00103006a ; 0 ; 0.0108696 ; 0 ; 0 ; 0 ; 0 ; 0
devoir sur table bn:04973014n ; 0 ; 0.0108696 ; 0 ; 0 ; 0 ; 0 ; 0
semaine bn:00043484n ; 0 ; 0.0108696 ; 0 ; 0 ; 0 ; 0 ; 0
devoir maison bn:00044563n ; 0 ; 0.0108696 ; 0 ; 0 ; 0 ; 0 ; 0
interrogation bn:00047208n ; 0 ; 0.0108696 ; 0 ; 0 ; 0 ; 0 ; 0
générale bn:00103507a ; 0 ; 0.0108696 ; 0 ; 0 ; 0 ; 0 ; 0
explication bn:00000741n ; 0 ; 0.0108696 ; 0 ; 0 ; 0 ; 0 ; 0
front office bn:16857738n ; 0 ; 0.0108696 ; 0 ; 0 ; 0 ; 0 ; 0
front bn:00013389n ; 0 ; 0.0108696 ; 0 ; 0 ; 0 ; 0 ; 0
xamp bn:02350502n ; 0 ; 0.0217391 ; 0 ; 0 ; 0 ; 0 ; 0.0217391
internet bn:00024712n ; 0 ; 0.0217391 ; 0 ; 0 ; 0 ; 0 ; 0.0217391
faille de sécurité bn:00080285n ; 0 ; 0.0108696 ; 0 ; 0 ; 0 ; 0 ; 0
sql bn:02266432n ; 0 ; 0.0434783 ; 0 ; 0 ; 0 ; 0.0434783 ; 0.0434783
concret bn:00100206a ; 0 ; 0.0108696 ; 0 ; 0 ; 0 ; 0 ; 0
chaîne bn:00074685n ; 0 ; 0.0869565 ; 0 ; 0 ; 0.0652174 ; 0.0652174 ; 0.076087
header bn:00043309n ; 0 ; 0.0434783 ; 0 ; 0 ; 0.0434783 ; 0 ; 0.0434783
head bn:02338897n ; 0 ; 0.0217391 ; 0 ; 0.0217391 ; 0 ; 0 ; 0
informatique bn:00100175a ; 0 ; 0.0108696 ; 0 ; 0 ; 0 ; 0 ; 0
doctype bn:15839327n ; 0 ; 0.0869565 ; 0 ; 0.0652174 ; 0 ; 0.0652174 ; 0.076087
w3c bn:02673666n ; 0 ; 0.0434783 ; 0 ; 0.0434783 ; 0 ; 0 ; 0.0434783
dtd bn:15232677n ; 0 ; 0.0434783 ; 0 ; 0.0434783 ; 0 ; 0 ; 0.0434783
firefox bn:01387235n ; 0 ; 0.0108696 ; 0 ; 0 ; 0 ; 0 ; 0
internet explorer bn:17346309n ; 0 ; 0.0108696 ; 0 ; 0 ; 0 ; 0 ; 0
internet explorer 9 bn:00863156n ; 0 ; 0.0108696 ; 0 ; 0 ; 0 ; 0 ; 0
moteur bn:00030850n ; 0 ; 0.0217391 ; 0 ; 0 ; 0 ; 0 ; 0.0217391
recherche bn:00067280n ; 0 ; 0.0108696 ; 0 ; 0 ; 0 ; 0 ; 0
descriptions bn:04723965n ; 0 ; 0.0108696 ; 0 ; 0 ; 0 ; 0 ; 0
précision bn:00641989n ; 0 ; 0.0108696 ; 0 ; 0 ; 0 ; 0 ; 0
paragraphe bn:00060556n ; 0 ; 0.0217391 ; 0 ; 0.0217391 ; 0 ; 0 ; 0
h2 bn:02803535n ; 0 ; 0.0217391 ; 0 ; 0.0217391 ; 0 ; 0 ; 0
terme technique bn:00048027n ; 0 ; 0.0108696 ; 0 ; 0 ; 0 ; 0 ; 0
tr bn:03561884n ; 0 ; 0.0108696 ; 0 ; 0 ; 0 ; 0 ; 0
insertion bn:02234787n ; 0 ; 0.0217391 ; 0 ; 0.0217391 ; 0 ; 0 ; 0
img bn:02450504n ; 0 ; 0.0108696 ; 0 ; 0 ; 0 ; 0 ; 0
infobulle bn:03850072n ; 0 ; 0.0108696 ; 0 ; 0 ; 0 ; 0 ; 0
balise html bn:02104867n ; 0 ; 0.0217391 ; 0 ; 0 ; 0 ; 0 ; 0.0217391
js bn:15539067n ; 0 ; 0.0108696 ; 0 ; 0 ; 0 ; 0 ; 0
css bn:00056944n ; 0 ; 0.0108696 ; 0 ; 0 ; 0 ; 0 ; 0
dns bn:03714295n ; 0 ; 0.0108696 ; 0 ; 0 ; 0 ; 0 ; 0
logique métier bn:00795795n ; 0 ; 0.0108696 ; 0 ; 0 ; 0 ; 0 ; 0
port 443 bn:00560835n ; 0 ; 0.0108696 ; 0 ; 0 ; 0 ; 0 ; 0
host bn:01846442n ; 0 ; 0.0434783 ; 0 ; 0 ; 0 ; 0.0434783 ; 0.0434783
uniform resource identifier bn:02569519n ; 0 ; 0.0108696 ; 0 ; 0 ; 0 ; 0 ; 0
ipv4 bn:00749818n ; 0 ; 0.0108696 ; 0 ; 0 ; 0 ; 0 ; 0
ipv6 bn:00749926n ; 0 ; 0.0108696 ; 0 ; 0 ; 0 ; 0 ; 0
visiter bn:00084426v ; 0 ; 0.0108696 ; 0 ; 0 ; 0 ; 0 ; 0
nom de domaine bn:00028143n ; 0 ; 0.0108696 ; 0 ; 0 ; 0 ; 0 ; 0
