X ; C1.csv ; C10.csv ; C2.csv ; C4.csv ; C7.csv ; C8.csv ; C9.csv
front bn:00013389n ; 0.333333 ; 0 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
xamp bn:02350502n ; 0.2 ; 0 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0
internet bn:00024712n ; 0.2 ; 0 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0
faille de sécurité bn:00080285n ; 0.333333 ; 0 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
sql bn:02266432n ; 0.111111 ; 0 ; 0.111111 ; 0.111111 ; 0.111111 ; 0 ; 0
concret bn:00100206a ; 0.333333 ; 0 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
chaîne bn:00074685n ; 0.0588235 ; 0 ; 0.0588235 ; 0.0588235 ; 0 ; 0 ; 0
header bn:00043309n ; 0.111111 ; 0 ; 0.111111 ; 0.111111 ; 0 ; 0.111111 ; 0
head bn:02338897n ; 0.2 ; 0 ; 0.2 ; 0 ; 0.2 ; 0.2 ; 0.2
informatique bn:00100175a ; 0.333333 ; 0 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
doctype bn:15839327n ; 0.0588235 ; 0 ; 0.0588235 ; 0 ; 0.0588235 ; 0 ; 0
w3c bn:02673666n ; 0.111111 ; 0 ; 0.111111 ; 0 ; 0.111111 ; 0.111111 ; 0
dtd bn:15232677n ; 0.111111 ; 0 ; 0.111111 ; 0 ; 0.111111 ; 0.111111 ; 0
firefox bn:01387235n ; 0.333333 ; 0 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
internet explorer bn:17346309n ; 0.333333 ; 0 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
internet explorer 9 bn:00863156n ; 0.333333 ; 0 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
moteur bn:00030850n ; 0.2 ; 0 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0
recherche bn:00067280n ; 0.333333 ; 0 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
descriptions bn:04723965n ; 0.333333 ; 0 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
précision bn:00641989n ; 0.333333 ; 0 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
paragraphe bn:00060556n ; 0.2 ; 0 ; 0.2 ; 0 ; 0.2 ; 0.2 ; 0.2
h2 bn:02803535n ; 0.2 ; 0 ; 0.2 ; 0 ; 0.2 ; 0.2 ; 0.2
