X ; C1.csv ; C10.csv ; C2.csv ; C4.csv ; C7.csv ; C8.csv ; C9.csv
page web dynamique bn:00937946n ; 0.0232558 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
post bn:01500184n ; 0.16 ; 0.115942 ; 0 ; 0.137931 ; 0.142857 ; 0 ; 0
champ de saisie bn:03113401n ; 0.324324 ; 0.376471 ; 0.341463 ; 0.358974 ; 0 ; 0.311688 ; 0.368421
size bn:03645138n ; 0.0652174 ; 0.0625 ; 0 ; 0 ; 0 ; 0.0612245 ; 0
text bn:14981519n ; 0.16 ; 0.115942 ; 0.129032 ; 0.137931 ; 0 ; 0 ; 0
vide bn:00087578v ; 0.0454545 ; 0.031746 ; 0 ; 0 ; 0 ; 0 ; 0
liste déroulante bn:00028831n ; 0.0454545 ; 0 ; 0 ; 0.0384615 ; 0 ; 0 ; 0
sélectionner bn:00084931v ; 0.0454545 ; 0.031746 ; 0 ; 0 ; 0 ; 0 ; 0
déclencher bn:00082306v ; 0.0232558 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
réinitialisation bn:00067306n ; 0.0454545 ; 0 ; 0.0357143 ; 0 ; 0 ; 0 ; 0
langage bn:00049910n ; 0.324324 ; 0.376471 ; 0.341463 ; 0.358974 ; 0 ; 0.311688 ; 0.368421
langage impératif bn:01246770n ; 0.0232558 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
impératif bn:00104644a ; 0.0232558 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
zones bn:00005513n ; 0.0454545 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.04
utilisateur bn:00079373n ; 0 ; 0.0615385 ; 0 ; 0.0740741 ; 0 ; 0 ; 0.0769231
affectation bn:02806034n ; 0.16 ; 0.115942 ; 0.129032 ; 0 ; 0.142857 ; 0 ; 0
booléen bn:00294693n ; 0.324324 ; 0.376471 ; 0.341463 ; 0.358974 ; 0.368421 ; 0.311688 ; 0
réalité bn:00066414n ; 0.0232558 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
concatène bn:00085508v ; 0.0232558 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
addition bn:00001296n ; 0.0869565 ; 0.0615385 ; 0 ; 0 ; 0 ; 0 ; 0.0769231
soustraction bn:00055233n ; 0.0869565 ; 0.0615385 ; 0 ; 0 ; 0 ; 0 ; 0.0769231
multiplié bn:00090977v ; 0.0232558 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
modulo bn:00553864n ; 0.0869565 ; 0.0615385 ; 0 ; 0 ; 0 ; 0 ; 0.0769231
égalité bn:00031284n ; 0.0454545 ; 0 ; 0 ; 0.0384615 ; 0 ; 0 ; 0
logiques bn:00051845n ; 0.297297 ; 0.385542 ; 0.333333 ; 0 ; 0.342105 ; 0.32 ; 0.342105
syntaxe bn:00062118n ; 0.16 ; 0.115942 ; 0 ; 0.137931 ; 0 ; 0 ; 0.142857
case bn:04777941n ; 0.16 ; 0.115942 ; 0.129032 ; 0 ; 0 ; 0 ; 0.142857
associer bn:00082868v ; 0 ; 0.031746 ; 0 ; 0 ; 0 ; 0 ; 0.04
