X ; C1.csv ; C10.csv ; C2.csv ; C4.csv ; C7.csv ; C8.csv ; C9.csv
second bn:00105773a ; 0.0434783 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0444444
ordinateur bn:00021464n ; 0.0833333 ; 0.0588235 ; 0 ; 0 ; 0 ; 0 ; 0.0851064
développement web bn:03446093n ; 0 ; 0.030303 ; 0 ; 0.0434783 ; 0 ; 0 ; 0
organisation bn:00059480n ; 0 ; 0.0153846 ; 0 ; 0 ; 0 ; 0 ; 0
premier bn:00103006a ; 0 ; 0.0153846 ; 0 ; 0 ; 0 ; 0 ; 0
devoir sur table bn:04973014n ; 0 ; 0.0153846 ; 0 ; 0 ; 0 ; 0 ; 0
semaine bn:00043484n ; 0 ; 0.0153846 ; 0 ; 0 ; 0 ; 0 ; 0
devoir maison bn:00044563n ; 0 ; 0.0153846 ; 0 ; 0 ; 0 ; 0 ; 0
interrogation bn:00047208n ; 0 ; 0.0153846 ; 0 ; 0 ; 0 ; 0 ; 0
générale bn:00103507a ; 0 ; 0.0153846 ; 0 ; 0 ; 0 ; 0 ; 0
explication bn:00000741n ; 0 ; 0.0153846 ; 0 ; 0 ; 0 ; 0 ; 0
front office bn:16857738n ; 0 ; 0.0153846 ; 0 ; 0 ; 0 ; 0 ; 0
front bn:00013389n ; 0 ; 0.0153846 ; 0 ; 0 ; 0 ; 0 ; 0
xamp bn:02350502n ; 0 ; 0.030303 ; 0 ; 0 ; 0 ; 0 ; 0.0444444
internet bn:00024712n ; 0 ; 0.030303 ; 0 ; 0 ; 0 ; 0 ; 0.0444444
faille de sécurité bn:00080285n ; 0 ; 0.0153846 ; 0 ; 0 ; 0 ; 0 ; 0
sql bn:02266432n ; 0 ; 0.0588235 ; 0 ; 0 ; 0 ; 0.105263 ; 0.0851064
concret bn:00100206a ; 0 ; 0.0153846 ; 0 ; 0 ; 0 ; 0 ; 0
chaîne bn:00074685n ; 0 ; 0.114286 ; 0 ; 0 ; 0.12 ; 0.142857 ; 0.14
header bn:00043309n ; 0 ; 0.0588235 ; 0 ; 0 ; 0.0869565 ; 0 ; 0.0851064
head bn:02338897n ; 0 ; 0.030303 ; 0 ; 0.0434783 ; 0 ; 0 ; 0
informatique bn:00100175a ; 0 ; 0.0153846 ; 0 ; 0 ; 0 ; 0 ; 0
doctype bn:15839327n ; 0 ; 0.114286 ; 0 ; 0.115385 ; 0 ; 0.142857 ; 0.14
w3c bn:02673666n ; 0 ; 0.0588235 ; 0 ; 0.0833333 ; 0 ; 0 ; 0.0851064
dtd bn:15232677n ; 0 ; 0.0588235 ; 0 ; 0.0833333 ; 0 ; 0 ; 0.0851064
firefox bn:01387235n ; 0 ; 0.0153846 ; 0 ; 0 ; 0 ; 0 ; 0
internet explorer bn:17346309n ; 0 ; 0.0153846 ; 0 ; 0 ; 0 ; 0 ; 0
internet explorer 9 bn:00863156n ; 0 ; 0.0153846 ; 0 ; 0 ; 0 ; 0 ; 0
moteur bn:00030850n ; 0 ; 0.030303 ; 0 ; 0 ; 0 ; 0 ; 0.0444444
recherche bn:00067280n ; 0 ; 0.0153846 ; 0 ; 0 ; 0 ; 0 ; 0
descriptions bn:04723965n ; 0 ; 0.0153846 ; 0 ; 0 ; 0 ; 0 ; 0
précision bn:00641989n ; 0 ; 0.0153846 ; 0 ; 0 ; 0 ; 0 ; 0
paragraphe bn:00060556n ; 0 ; 0.030303 ; 0 ; 0.0434783 ; 0 ; 0 ; 0
h2 bn:02803535n ; 0 ; 0.030303 ; 0 ; 0.0434783 ; 0 ; 0 ; 0
terme technique bn:00048027n ; 0 ; 0.0153846 ; 0 ; 0 ; 0 ; 0 ; 0
