X ; php bn:01753580n ; script bn:01431715n ; langage bn:00049910n ; serveur bn:00044916n ; commentaires bn:00020978n ; chaîne bn:00074685n ; programmation bn:00021493n ; timestamp bn:03603649n ; base de données bn:00025333n ; données bn:00025314n ; nombre bn:00058285n ; fichiers bn:00021475n ; code bn:00020354n ; texte bn:00076732n ; http bn:00045088n ; méthode bn:01641329n ; classe bn:03608262n ; exceptions bn:00032118n ; java bn:00048043n ; site bn:00047172n ; personne bn:00046516n ; xml bn:02771436n ; echo bn:03626250n ; files bn:00065682n ; class bn:03598962n ; configuration bn:03088982n ; insert bn:03795444n ; varchar bn:01838409n ; mise bn:00016287n ; client bn:00019764n ; publique bn:00109211a ; composer bn:14766022n ; null bn:15898583n
nombre bn:00058285n ; 0.2 ; 0.333333 ; 0.5 ; 0.333333 ; 0.333333 ; 0.5 ; 0.333333 ; 0.333333 ; 0.5 ; 0.5 ; 1 ; 0.333333 ; 0.2 ; 0.5 ; 0.2 ; 0.333333 ; 0.2 ; 0.5 ; 0.2 ; 0.5 ; 0.333333 ; 0.142857 ; 0.2 ; 0.333333 ; 0.5 ; 0.2 ; 0.2 ; 0.333333 ; 0.142857 ; 0.2 ; 0.2 ; 0.333333 ; 1
fichiers bn:00021475n ; 0.5 ; 0.333333 ; 0.2 ; 1 ; 0.142857 ; 0.2 ; 0.333333 ; 0.333333 ; 0.2 ; 0.2 ; 0.333333 ; 1 ; 0.5 ; 0.5 ; 0.5 ; 0.333333 ; 0.2 ; 0.5 ; 0.2 ; 0.2 ; 0.142857 ; 0.333333 ; 0.5 ; 1 ; 0.2 ; 0.2 ; 0.2 ; 0.142857 ; 0.333333 ; 0.2 ; 0.2 ; 1 ; 0.333333
code bn:00020354n ; 1 ; 0.5 ; 0.111111 ; 0.5 ; 0.2 ; 0.333333 ; 0.5 ; 0.5 ; 0.111111 ; 0.111111 ; 0.2 ; 0.5 ; 1 ; 0.25 ; 0.25 ; 0.5 ; 0.25 ; 0.333333 ; 0.25 ; 0.111111 ; 0.2 ; 0.5 ; 1 ; 0.5 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.2 ; 0.5 ; 0.333333 ; 0.25 ; 0.5 ; 0.2
texte bn:00076732n ; 0.25 ; 0.5 ; 0.333333 ; 0.5 ; 0.2 ; 0.25 ; 0.5 ; 0.5 ; 0.333333 ; 0.333333 ; 0.5 ; 0.5 ; 0.25 ; 1 ; 0.333333 ; 0.5 ; 0.333333 ; 0.25 ; 0.333333 ; 0.333333 ; 0.2 ; 0.2 ; 0.25 ; 0.5 ; 0.25 ; 0.111111 ; 0.111111 ; 0.2 ; 0.2 ; 0.111111 ; 0.333333 ; 0.5 ; 0.5
http bn:00045088n ; 0.25 ; 0.2 ; 0.333333 ; 0.5 ; 0.2 ; 0.111111 ; 0.2 ; 0.2 ; 0.333333 ; 0.333333 ; 0.2 ; 0.5 ; 0.25 ; 0.333333 ; 1 ; 0.2 ; 0.333333 ; 0.25 ; 0.333333 ; 0.333333 ; 0.2 ; 0.5 ; 0.25 ; 0.5 ; 0.111111 ; 0.25 ; 0.25 ; 0.2 ; 0.5 ; 0.25 ; 0.333333 ; 0.5 ; 0.2
méthode bn:01641329n ; 0.5 ; 1 ; 0.2 ; 0.333333 ; 0.333333 ; 0.5 ; 1 ; 1 ; 0.2 ; 0.2 ; 0.333333 ; 0.333333 ; 0.5 ; 0.5 ; 0.2 ; 1 ; 0.5 ; 0.2 ; 0.5 ; 0.2 ; 0.333333 ; 0.333333 ; 0.5 ; 0.333333 ; 0.5 ; 0.2 ; 0.2 ; 0.333333 ; 0.333333 ; 0.2 ; 0.5 ; 0.333333 ; 0.333333
classe bn:03608262n ; 0.25 ; 0.5 ; 0.333333 ; 0.2 ; 0.5 ; 0.25 ; 0.5 ; 0.5 ; 0.333333 ; 0.333333 ; 0.2 ; 0.2 ; 0.25 ; 0.333333 ; 0.333333 ; 0.5 ; 1 ; 0.111111 ; 1 ; 0.333333 ; 0.5 ; 0.5 ; 0.25 ; 0.2 ; 0.25 ; 0.25 ; 0.25 ; 0.5 ; 0.5 ; 0.25 ; 1 ; 0.2 ; 0.2
exceptions bn:00032118n ; 0.333333 ; 0.2 ; 0.25 ; 0.5 ; 0.2 ; 0.333333 ; 0.2 ; 0.2 ; 0.25 ; 0.25 ; 0.5 ; 0.5 ; 0.333333 ; 0.25 ; 0.25 ; 0.2 ; 0.111111 ; 1 ; 0.111111 ; 0.25 ; 0.2 ; 0.2 ; 0.333333 ; 0.5 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.2 ; 0.2 ; 0.333333 ; 0.111111 ; 0.5 ; 0.5
java bn:00048043n ; 0.25 ; 0.5 ; 0.333333 ; 0.2 ; 0.5 ; 0.25 ; 0.5 ; 0.5 ; 0.333333 ; 0.333333 ; 0.2 ; 0.2 ; 0.25 ; 0.333333 ; 0.333333 ; 0.5 ; 1 ; 0.111111 ; 1 ; 0.333333 ; 0.5 ; 0.5 ; 0.25 ; 0.2 ; 0.25 ; 0.25 ; 0.25 ; 0.5 ; 0.5 ; 0.25 ; 1 ; 0.2 ; 0.2
site bn:00047172n ; 0.111111 ; 0.2 ; 1 ; 0.2 ; 0.5 ; 0.25 ; 0.2 ; 0.2 ; 1 ; 1 ; 0.5 ; 0.2 ; 0.111111 ; 0.333333 ; 0.333333 ; 0.2 ; 0.333333 ; 0.25 ; 0.333333 ; 1 ; 0.5 ; 0.2 ; 0.111111 ; 0.2 ; 0.25 ; 0.25 ; 0.25 ; 0.5 ; 0.2 ; 0.25 ; 0.333333 ; 0.2 ; 0.5
personne bn:00046516n ; 0.2 ; 0.333333 ; 0.5 ; 0.142857 ; 1 ; 0.5 ; 0.333333 ; 0.333333 ; 0.5 ; 0.5 ; 0.333333 ; 0.142857 ; 0.2 ; 0.2 ; 0.2 ; 0.333333 ; 0.5 ; 0.2 ; 0.5 ; 0.5 ; 1 ; 0.333333 ; 0.2 ; 0.142857 ; 0.5 ; 0.5 ; 0.5 ; 1 ; 0.333333 ; 0.5 ; 0.5 ; 0.142857 ; 0.333333
xml bn:02771436n ; 0.5 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 0.2 ; 0.2 ; 0.142857 ; 0.333333 ; 0.5 ; 0.2 ; 0.5 ; 0.333333 ; 0.5 ; 0.2 ; 0.5 ; 0.2 ; 0.333333 ; 1 ; 0.5 ; 0.333333 ; 0.2 ; 0.5 ; 0.5 ; 0.333333 ; 1 ; 0.5 ; 0.5 ; 0.333333 ; 0.142857
echo bn:03626250n ; 1 ; 0.5 ; 0.111111 ; 0.5 ; 0.2 ; 0.333333 ; 0.5 ; 0.5 ; 0.111111 ; 0.111111 ; 0.2 ; 0.5 ; 1 ; 0.25 ; 0.25 ; 0.5 ; 0.25 ; 0.333333 ; 0.25 ; 0.111111 ; 0.2 ; 0.5 ; 1 ; 0.5 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.2 ; 0.5 ; 0.333333 ; 0.25 ; 0.5 ; 0.2
files bn:00065682n ; 0.5 ; 0.333333 ; 0.2 ; 1 ; 0.142857 ; 0.2 ; 0.333333 ; 0.333333 ; 0.2 ; 0.2 ; 0.333333 ; 1 ; 0.5 ; 0.5 ; 0.5 ; 0.333333 ; 0.2 ; 0.5 ; 0.2 ; 0.2 ; 0.142857 ; 0.333333 ; 0.5 ; 1 ; 0.2 ; 0.2 ; 0.2 ; 0.142857 ; 0.333333 ; 0.2 ; 0.2 ; 1 ; 0.333333
class bn:03598962n ; 0.333333 ; 0.5 ; 0.25 ; 0.2 ; 0.5 ; 1 ; 0.5 ; 0.5 ; 0.25 ; 0.25 ; 0.5 ; 0.2 ; 0.333333 ; 0.25 ; 0.111111 ; 0.5 ; 0.25 ; 0.333333 ; 0.25 ; 0.25 ; 0.5 ; 0.2 ; 0.333333 ; 0.2 ; 1 ; 0.333333 ; 0.333333 ; 0.5 ; 0.2 ; 0.333333 ; 0.25 ; 0.2 ; 0.5
configuration bn:03088982n ; 0.333333 ; 0.2 ; 0.25 ; 0.2 ; 0.5 ; 0.333333 ; 0.2 ; 0.2 ; 0.25 ; 0.25 ; 0.2 ; 0.2 ; 0.333333 ; 0.111111 ; 0.25 ; 0.2 ; 0.25 ; 0.333333 ; 0.25 ; 0.25 ; 0.5 ; 0.5 ; 0.333333 ; 0.2 ; 0.333333 ; 1 ; 1 ; 0.5 ; 0.5 ; 1 ; 0.25 ; 0.2 ; 0.2
insert bn:03795444n ; 0.333333 ; 0.2 ; 0.25 ; 0.2 ; 0.5 ; 0.333333 ; 0.2 ; 0.2 ; 0.25 ; 0.25 ; 0.2 ; 0.2 ; 0.333333 ; 0.111111 ; 0.25 ; 0.2 ; 0.25 ; 0.333333 ; 0.25 ; 0.25 ; 0.5 ; 0.5 ; 0.333333 ; 0.2 ; 0.333333 ; 1 ; 1 ; 0.5 ; 0.5 ; 1 ; 0.25 ; 0.2 ; 0.2
varchar bn:01838409n ; 0.2 ; 0.333333 ; 0.5 ; 0.142857 ; 1 ; 0.5 ; 0.333333 ; 0.333333 ; 0.5 ; 0.5 ; 0.333333 ; 0.142857 ; 0.2 ; 0.2 ; 0.2 ; 0.333333 ; 0.5 ; 0.2 ; 0.5 ; 0.5 ; 1 ; 0.333333 ; 0.2 ; 0.142857 ; 0.5 ; 0.5 ; 0.5 ; 1 ; 0.333333 ; 0.5 ; 0.5 ; 0.142857 ; 0.333333
mise bn:00016287n ; 0.5 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 0.2 ; 0.2 ; 0.142857 ; 0.333333 ; 0.5 ; 0.2 ; 0.5 ; 0.333333 ; 0.5 ; 0.2 ; 0.5 ; 0.2 ; 0.333333 ; 1 ; 0.5 ; 0.333333 ; 0.2 ; 0.5 ; 0.5 ; 0.333333 ; 1 ; 0.5 ; 0.5 ; 0.333333 ; 0.142857
client bn:00019764n ; 0.333333 ; 0.2 ; 0.25 ; 0.2 ; 0.5 ; 0.333333 ; 0.2 ; 0.2 ; 0.25 ; 0.25 ; 0.2 ; 0.2 ; 0.333333 ; 0.111111 ; 0.25 ; 0.2 ; 0.25 ; 0.333333 ; 0.25 ; 0.25 ; 0.5 ; 0.5 ; 0.333333 ; 0.2 ; 0.333333 ; 1 ; 1 ; 0.5 ; 0.5 ; 1 ; 0.25 ; 0.2 ; 0.2
publique bn:00109211a ; 0.25 ; 0.5 ; 0.333333 ; 0.2 ; 0.5 ; 0.25 ; 0.5 ; 0.5 ; 0.333333 ; 0.333333 ; 0.2 ; 0.2 ; 0.25 ; 0.333333 ; 0.333333 ; 0.5 ; 1 ; 0.111111 ; 1 ; 0.333333 ; 0.5 ; 0.5 ; 0.25 ; 0.2 ; 0.25 ; 0.25 ; 0.25 ; 0.5 ; 0.5 ; 0.25 ; 1 ; 0.2 ; 0.2
composer bn:14766022n ; 0.5 ; 0.333333 ; 0.2 ; 1 ; 0.142857 ; 0.2 ; 0.333333 ; 0.333333 ; 0.2 ; 0.2 ; 0.333333 ; 1 ; 0.5 ; 0.5 ; 0.5 ; 0.333333 ; 0.2 ; 0.5 ; 0.2 ; 0.2 ; 0.142857 ; 0.333333 ; 0.5 ; 1 ; 0.2 ; 0.2 ; 0.2 ; 0.142857 ; 0.333333 ; 0.2 ; 0.2 ; 1 ; 0.333333
null bn:15898583n ; 0.2 ; 0.333333 ; 0.5 ; 0.333333 ; 0.333333 ; 0.5 ; 0.333333 ; 0.333333 ; 0.5 ; 0.5 ; 1 ; 0.333333 ; 0.2 ; 0.5 ; 0.2 ; 0.333333 ; 0.2 ; 0.5 ; 0.2 ; 0.5 ; 0.333333 ; 0.142857 ; 0.2 ; 0.333333 ; 0.5 ; 0.2 ; 0.2 ; 0.333333 ; 0.142857 ; 0.2 ; 0.2 ; 0.333333 ; 1
