X ; C3.csv ; C5.csv ; C6.csv ; CJA-automatic.csv
site bn:00047172n ; 0.5 ; 0.5 ; 0.5 ; 0.5
site personnel bn:01605102n ; 0.0625 ; 0 ; 0 ; 0
interpreter bn:00047204n ; 0.125 ; 0 ; 0.125 ; 0
personne bn:00046516n ; 0.25 ; 0.25 ; 0.25 ; 0
contributeurs bn:04850445n ; 0.0625 ; 0 ; 0 ; 0
juin bn:00048592n ; 0.125 ; 0.125 ; 0 ; 0
zeev suraski bn:00571154n ; 0.125 ; 0.125 ; 0 ; 0
modulaire bn:00106842a ; 0.125 ; 0.125 ; 0 ; 0
extensible bn:00102618a ; 0.0625 ; 0 ; 0 ; 0
supplémentaires bn:00111488a ; 0.25 ; 0.25 ; 0.25 ; 0
manquer bn:00090161v ; 0.125 ; 0 ; 0.125 ; 0
cohérente bn:00099970a ; 0.25 ; 0 ; 0.25 ; 0.25
serveur web bn:02705179n ; 0.5 ; 0.5 ; 0.5 ; 0.5
moteur bn:00030850n ; 0.5 ; 0.5 ; 0.5 ; 0.5
zend bn:03133191n ; 0.125 ; 0.125 ; 0 ; 0
zend engine bn:01337536n ; 0.125 ; 0.125 ; 0 ; 0
mai bn:00053941n ; 0.0625 ; 0 ; 0 ; 0
c++ bn:03586438n ; 0.5 ; 0.5 ; 0.5 ; 0.5
xml bn:02771436n ; 0.25 ; 0.25 ; 0.25 ; 0
forum bn:14251420n ; 0.0625 ; 0 ; 0 ; 0
messagerie bn:00030257n ; 0.0625 ; 0 ; 0 ; 0
commerce électronique bn:00029344n ; 0.125 ; 0.125 ; 0 ; 0
banque bn:00008364n ; 0.125 ; 0 ; 0.125 ; 0
publication en ligne bn:01180578n ; 0.0625 ; 0 ; 0 ; 0
voulez bn:00095629v ; 0.5 ; 0.5 ; 0.5 ; 0.5
lamp bn:01708928n ; 0.125 ; 0.125 ; 0 ; 0
linux bn:00051427n ; 0.25 ; 0.25 ; 0.25 ; 0
incorporer bn:00089664v ; 0.0625 ; 0 ; 0 ; 0
javascript bn:00055423n ; 0.25 ; 0.25 ; 0.25 ; 0
semblant bn:00045960n ; 0.0625 ; 0 ; 0 ; 0
navigateur bn:00013447n ; 0.5 ; 0.5 ; 0.5 ; 0.5
dédier bn:00085427v ; 0.0625 ; 0 ; 0 ; 0
lire bn:00066357n ; 0.5 ; 0.5 ; 0.5 ; 0.5
page web bn:00080778n ; 0.5 ; 0.5 ; 0.5 ; 0.5
vitesse bn:00073258n ; 0.125 ; 0 ; 0.125 ; 0
côté bn:00110607a ; 0.0625 ; 0 ; 0 ; 0
côté client bn:03163702n ; 0.25 ; 0.25 ; 0.25 ; 0
windows bn:00081305n ; 0.5 ; 0.5 ; 0.5 ; 0.5
vbscript bn:02626435n ; 0.0625 ; 0 ; 0 ; 0
jscript bn:01995344n ; 0.0625 ; 0 ; 0 ; 0
activex bn:03829972n ; 0.0625 ; 0 ; 0 ; 0
portage bn:01430733n ; 0.0625 ; 0 ; 0 ; 0
plate-forme bn:00062900n ; 0.125 ; 0 ; 0 ; 0.125
langage de programmation bn:00064652n ; 0.5 ; 0.5 ; 0.5 ; 0.5
langage de programmation procédural bn:01706415n ; 0.125 ; 0.125 ; 0 ; 0
procédural bn:00109049a ; 0.0625 ; 0 ; 0 ; 0
nécessaire bn:00107182a ; 0.25 ; 0 ; 0.25 ; 0.25
python bn:01713224n ; 0.25 ; 0.25 ; 0.25 ; 0
unix bn:00079165n ; 0.25 ; 0.25 ; 0 ; 0.25
mac bn:00052516n ; 0.125 ; 0.125 ; 0 ; 0
second bn:00105773a ; 0.0625 ; 0 ; 0 ; 0
distribution linux bn:01061442n ; 0.125 ; 0.125 ; 0 ; 0
mode bn:00033729n ; 0.5 ; 0.5 ; 0.5 ; 0.5
répertoire personnel bn:02102310n ; 0.0625 ; 0 ; 0 ; 0
complexe bn:00100148a ; 0.5 ; 0.5 ; 0.5 ; 0.5
uvre bn:00016278n ; 0.25 ; 0 ; 0.25 ; 0.25
employer bn:00030616n ; 0.125 ; 0.125 ; 0 ; 0
easyphp bn:14837849n ; 0.0625 ; 0 ; 0 ; 0
coloration syntaxique bn:02006707n ; 0.0625 ; 0 ; 0 ; 0
w3c bn:02673666n ; 0.125 ; 0 ; 0.125 ; 0
xhtml bn:01163644n ; 0.0625 ; 0 ; 0 ; 0
css bn:00056944n ; 0.0625 ; 0 ; 0 ; 0
affichage bn:00010421n ; 0.5 ; 0.5 ; 0.5 ; 0.5
entête bn:00043309n ; 0.25 ; 0 ; 0.25 ; 0.25
mozilla bn:01297088n ; 0.0625 ; 0 ; 0 ; 0
galeon bn:00496122n ; 0.0625 ; 0 ; 0 ; 0
konqueror bn:16498221n ; 0.0625 ; 0 ; 0 ; 0
compatibles bn:00100128a ; 0.125 ; 0 ; 0 ; 0.125
bordélique bn:00110762a ; 0.0625 ; 0 ; 0 ; 0
endroit bn:00062699n ; 0.25 ; 0.25 ; 0.25 ; 0
web bn:00080772n ; 0.25 ; 0 ; 0.25 ; 0.25
souple bn:00102069a ; 0.0625 ; 0 ; 0 ; 0
point-virgule bn:00070420n ; 0.25 ; 0 ; 0.25 ; 0.25
sensible bn:00104681a ; 0.25 ; 0.25 ; 0.25 ; 0
lettre bn:00003057n ; 0.125 ; 0.125 ; 0 ; 0
dépendre bn:00086606v ; 0.25 ; 0 ; 0.25 ; 0.25
contexte bn:00022168n ; 0.125 ; 0 ; 0 ; 0.125
transtypage bn:17104905n ; 0.25 ; 0 ; 0.25 ; 0.25
signe égal bn:00031280n ; 0.0625 ; 0 ; 0 ; 0
sans bn:00025713n ; 0.0625 ; 0 ; 0 ; 0
echo bn:03626250n ; 0.125 ; 0 ; 0.125 ; 0
affiche bn:15173511n ; 0.0625 ; 0 ; 0 ; 0
globale bn:00103624a ; 0.25 ; 0 ; 0.25 ; 0.25
variable locale bn:00958409n ; 0.125 ; 0 ; 0 ; 0.125
locale bn:03080237n ; 0.0625 ; 0 ; 0 ; 0
grand nombre bn:14223782n ; 0.125 ; 0 ; 0.125 ; 0
files bn:00065682n ; 0.25 ; 0 ; 0.25 ; 0.25
upload bn:14037830n ; 0.0625 ; 0 ; 0 ; 0
env bn:01199166n ; 0.125 ; 0.125 ; 0 ; 0
url bn:00079080n ; 0.25 ; 0.25 ; 0 ; 0.25
cache bn:00014484n ; 0.125 ; 0.125 ; 0 ; 0
dynamique bn:00101917a ; 0.0625 ; 0 ; 0 ; 0
ambiguïté bn:00003266n ; 0.0625 ; 0 ; 0 ; 0
chaîne vide bn:03716205n ; 0.125 ; 0 ; 0.125 ; 0
booléenne bn:00098690a ; 0.0625 ; 0 ; 0 ; 0
architecture bn:00005442n ; 0.125 ; 0.125 ; 0 ; 0
nombre à virgule flottante bn:00035278n ; 0.0625 ; 0 ; 0 ; 0
spécifier bn:00086464v ; 0.25 ; 0 ; 0.25 ; 0.25
puissance de 10 bn:05006238n ; 0.0625 ; 0 ; 0 ; 0
ascii bn:00003473n ; 0.125 ; 0 ; 0 ; 0.125
unicode bn:02529895n ; 0.0625 ; 0 ; 0 ; 0
échapper bn:00083961v ; 0.0625 ; 0 ; 0 ; 0
lf bn:00050913n ; 0.0625 ; 0 ; 0 ; 0
carriage return bn:00016246n ; 0.0625 ; 0 ; 0 ; 0
cr bn:00006854n ; 0.0625 ; 0 ; 0 ; 0
antislash bn:00988551n ; 0.125 ; 0 ; 0.125 ; 0
notation octale bn:00058598n ; 0.0625 ; 0 ; 0 ; 0
notation hexadécimale bn:00043958n ; 0.0625 ; 0 ; 0 ; 0
hexadécimale bn:00104145a ; 0.0625 ; 0 ; 0 ; 0
égal bn:00102336a ; 0.25 ; 0 ; 0.25 ; 0.25
valeur numérique bn:00000451n ; 0.0625 ; 0 ; 0 ; 0
numérique bn:00107649a ; 0.0625 ; 0 ; 0 ; 0
addition bn:00001296n ; 0.125 ; 0 ; 0.125 ; 0
val bn:00079476n ; 0.0625 ; 0 ; 0 ; 0
table de hachage bn:00587820n ; 0.125 ; 0 ; 0 ; 0.125
hachage bn:00583146n ; 0.25 ; 0.25 ; 0 ; 0.25
pile bn:02100952n ; 0.25 ; 0.25 ; 0 ; 0.25
séparer bn:00082871v ; 0.25 ; 0.25 ; 0 ; 0.25
volée bn:00035208n ; 0.0625 ; 0 ; 0 ; 0
cle bn:04756252n ; 0.0625 ; 0 ; 0 ; 0
class bn:03598962n ; 0.25 ; 0.25 ; 0 ; 0.25
constantes bn:00100331a ; 0.0625 ; 0 ; 0 ; 0
casse bn:00083919v ; 0.0625 ; 0 ; 0 ; 0
redéfinir bn:00092568v ; 0.0625 ; 0 ; 0 ; 0
integer bn:00691555n ; 0.5 ; 0.5 ; 0.5 ; 0.5
gauche bn:00902572n ; 0.125 ; 0 ; 0 ; 0.125
droite bn:00051291n ; 0.125 ; 0 ; 0 ; 0.125
croître bn:00089082v ; 0.0625 ; 0 ; 0 ; 0
associativité bn:00533203n ; 0.0625 ; 0 ; 0 ; 0
modulo bn:00553864n ; 0.125 ; 0 ; 0 ; 0.125
division bn:00027919n ; 0.25 ; 0 ; 0.25 ; 0.25
multiplication bn:00056300n ; 0.5 ; 0.5 ; 0.5 ; 0.5
division par deux bn:03686939n ; 0.0625 ; 0 ; 0 ; 0
deux bn:00000075n ; 0.125 ; 0 ; 0.125 ; 0
message bn:00521573n ; 0.25 ; 0.25 ; 0 ; 0.25
temps bn:00077270n ; 0.25 ; 0.25 ; 0.25 ; 0
oeil bn:00032512n ; 0.0625 ; 0 ; 0 ; 0
fois bn:00032768n ; 0.5 ; 0.5 ; 0.5 ; 0.5
affiche bn:00087013v ; 0.25 ; 0 ; 0.25 ; 0.25
mot bn:00081546n ; 0.5 ; 0.5 ; 0.5 ; 0.5
exécutée bn:00091723v ; 0.0625 ; 0 ; 0 ; 0
conditionnelle bn:00100214a ; 0.125 ; 0 ; 0 ; 0.125
sorte bn:00035907n ; 0.0625 ; 0 ; 0 ; 0
list bn:04720346n ; 0.125 ; 0 ; 0 ; 0.125
case bn:04777941n ; 0.25 ; 0 ; 0.25 ; 0.25
ressembler à bn:00092876v ; 0.125 ; 0 ; 0.125 ; 0
homologue bn:00023208n ; 0.0625 ; 0 ; 0 ; 0
impossible bn:00104687a ; 0.5 ; 0.5 ; 0.5 ; 0.5
existe bn:00083184v ; 0.125 ; 0 ; 0.125 ; 0
appel de fonction bn:00036827n ; 0.125 ; 0 ; 0 ; 0.125
valeur par défaut bn:03854990n ; 0.25 ; 0.25 ; 0.25 ; 0
type de valeurs bn:00253515n ; 0.0625 ; 0 ; 0 ; 0
devoir bn:00091362v ; 0.125 ; 0 ; 0.125 ; 0
couvrir bn:00085916v ; 0.0625 ; 0 ; 0 ; 0
rappel bn:03490040n ; 0.25 ; 0.25 ; 0.25 ; 0
limitation bn:00051252n ; 0.0625 ; 0 ; 0 ; 0
conteneur bn:03305154n ; 0.125 ; 0 ; 0 ; 0.125
droit bn:00048655n ; 0.25 ; 0.25 ; 0.25 ; 0
chose bn:00091115v ; 0.25 ; 0.25 ; 0.25 ; 0
premier bn:00034738n ; 0.125 ; 0 ; 0.125 ; 0
choix multiples bn:03455699n ; 0.0625 ; 0 ; 0 ; 0
vin bn:00080022n ; 0.0625 ; 0 ; 0 ; 0
format de date bn:03576260n ; 0.0625 ; 0 ; 0 ; 0
langue anglaise bn:00030862n ; 0.25 ; 0 ; 0.25 ; 0.25
français bn:00036426n ; 0.125 ; 0 ; 0.125 ; 0
système bn:15125301n ; 0.5 ; 0.5 ; 0.5 ; 0.5
semaine bn:00043484n ; 0.125 ; 0 ; 0.125 ; 0
heure internet bn:02981905n ; 0.0625 ; 0 ; 0 ; 0
internet bn:00024712n ; 0.5 ; 0.5 ; 0.5 ; 0.5
vendredi bn:00036512n ; 0.125 ; 0.125 ; 0 ; 0
janvier bn:00047960n ; 0.0625 ; 0 ; 0 ; 0
24h bn:00000086n ; 0.25 ; 0 ; 0.25 ; 0.25
hiver bn:00081370n ; 0.0625 ; 0 ; 0 ; 0
heure de greenwich bn:00040810n ; 0.0625 ; 0 ; 0 ; 0
dec bn:00017011n ; 0.0625 ; 0 ; 0 ; 0
fuseau horaire bn:00077302n ; 0.0625 ; 0 ; 0 ; 0
machine bn:00054050n ; 0.5 ; 0.5 ; 0.5 ; 0.5
dimanche bn:00028190n ; 0.25 ; 0.25 ; 0.25 ; 0
samedi bn:00068696n ; 0.125 ; 0.125 ; 0 ; 0
lundi bn:00055609n ; 0.125 ; 0.125 ; 0 ; 0
second bn:00005460n ; 0.0625 ; 0 ; 0 ; 0
fonction bn:00036821n ; 0.0625 ; 0 ; 0 ; 0
siècle bn:00017234n ; 0.0625 ; 0 ; 0 ; 0
numérique bn:15182937n ; 0.0625 ; 0 ; 0 ; 0
intervalle bn:00047229n ; 0.0625 ; 0 ; 0 ; 0
semaine 1 bn:04756861n ; 0.0625 ; 0 ; 0 ; 0
abréviation bn:00000239n ; 0.0625 ; 0 ; 0 ; 0
littéral bn:00106042a ; 0.25 ; 0 ; 0.25 ; 0.25
september bn:15649592n ; 0.0625 ; 0 ; 0 ; 0
septembre bn:00070537n ; 0.125 ; 0.125 ; 0 ; 0
semaine 3 bn:04756880n ; 0.0625 ; 0 ; 0 ; 0
système de gestion bn:01510781n ; 0.25 ; 0.25 ; 0.25 ; 0
système de gestion de base de donnée bn:14249264n ; 0.125 ; 0 ; 0.125 ; 0
relationnel bn:00109653a ; 0.125 ; 0 ; 0 ; 0.125
open source bn:01157392n ; 0.125 ; 0 ; 0 ; 0.125
mysql ab bn:03198967n ; 0.0625 ; 0 ; 0 ; 0
licence bn:00050986n ; 0.125 ; 0 ; 0.125 ; 0
licence gpl bn:01157379n ; 0.125 ; 0 ; 0.125 ; 0
support technique bn:03482340n ; 0.0625 ; 0 ; 0 ; 0
hébergeur bn:00801697n ; 0.125 ; 0 ; 0.125 ; 0
étrangères bn:00096774a ; 0.0625 ; 0 ; 0 ; 0
notamment bn:00115235r ; 0.125 ; 0.125 ; 0 ; 0
delete bn:00941697n ; 0.25 ; 0.25 ; 0.25 ; 0
moteur de recherche bn:13956658n ; 0.0625 ; 0 ; 0 ; 0
sqlplus bn:02088255n ; 0.0625 ; 0 ; 0 ; 0
intuitif bn:00047307n ; 0.0625 ; 0 ; 0 ; 0
toolkit bn:01526357n ; 0.125 ; 0 ; 0 ; 0.125
qt bn:17288164n ; 0.0625 ; 0 ; 0 ; 0
macos bn:01415427n ; 0.125 ; 0.125 ; 0 ; 0
configuration bn:03088982n ; 0.125 ; 0.125 ; 0 ; 0
ip bn:00046704n ; 0.0625 ; 0 ; 0 ; 0
doute bn:00028425n ; 0.125 ; 0 ; 0.125 ; 0
administrateur bn:00075765n ; 0.125 ; 0 ; 0.125 ; 0
mise à jour bn:15364261n ; 0.25 ; 0 ; 0.25 ; 0.25
insert bn:03795444n ; 0.125 ; 0 ; 0.125 ; 0
possible bn:00108829a ; 0.25 ; 0.25 ; 0.25 ; 0
varchar bn:01838409n ; 0.25 ; 0.25 ; 0.25 ; 0
tenir compte bn:00082541v ; 0.125 ; 0 ; 0.125 ; 0
quantité variables bn:00079581n ; 0.0625 ; 0 ; 0 ; 0
medium bn:00054149n ; 0.0625 ; 0 ; 0 ; 0
tris bn:00072857n ; 0.0625 ; 0 ; 0 ; 0
champ de bn:15987694n ; 0.125 ; 0 ; 0 ; 0.125
insérer bn:00087594v ; 0.125 ; 0 ; 0 ; 0.125
plupart bn:00050555n ; 0.125 ; 0 ; 0.125 ; 0
préférence bn:00061333n ; 0.0625 ; 0 ; 0 ; 0
février bn:00033882n ; 0.0625 ; 0 ; 0 ; 0
mise bn:00016287n ; 0.25 ; 0 ; 0.25 ; 0.25
expliquer bn:00082235v ; 0.0625 ; 0 ; 0 ; 0
plage bn:04717355n ; 0.125 ; 0 ; 0 ; 0.125
mm bn:00055052n ; 0.0625 ; 0 ; 0 ; 0
fraction bn:00036154n ; 0.0625 ; 0 ; 0 ; 0
soumettre bn:00094538v ; 0.0625 ; 0 ; 0 ; 0
transaction bn:01403911n ; 0.25 ; 0.25 ; 0 ; 0.25
rollback bn:00133978n ; 0.125 ; 0.125 ; 0 ; 0
crash bn:00023573n ; 0.0625 ; 0 ; 0 ; 0
contraintes bn:00022062n ; 0.25 ; 0 ; 0.25 ; 0.25
intégrité bn:03141748n ; 0.0625 ; 0 ; 0 ; 0
parente bn:00033359n ; 0.0625 ; 0 ; 0 ; 0
clé étrangère bn:01944370n ; 0.125 ; 0 ; 0.125 ; 0
fils bn:00051877n ; 0.0625 ; 0 ; 0 ; 0
critère bn:00023853n ; 0.25 ; 0 ; 0.25 ; 0.25
flotter bn:00088327v ; 0.0625 ; 0 ; 0 ; 0
order bn:02240223n ; 0.0625 ; 0 ; 0 ; 0
simplicité bn:00071689n ; 0.0625 ; 0 ; 0 ; 0
ouverte bn:00107886a ; 0.0625 ; 0 ; 0 ; 0
échec bn:00018197n ; 0.25 ; 0.25 ; 0.25 ; 0
numéroter bn:00091103v ; 0.0625 ; 0 ; 0 ; 0
identiques bn:00104508a ; 0.0625 ; 0 ; 0 ; 0
renommer bn:00092787v ; 0.125 ; 0.125 ; 0 ; 0
insertion bn:02234787n ; 0.0625 ; 0 ; 0 ; 0
avoir besoin de bn:00091028v ; 0.5 ; 0.5 ; 0.5 ; 0.5
valeur bn:00079508n ; 0.125 ; 0 ; 0 ; 0.125
liste chaînée bn:01056813n ; 0.0625 ; 0 ; 0 ; 0
jointure bn:00048368n ; 0.0625 ; 0 ; 0 ; 0
activer bn:00082307v ; 0.0625 ; 0 ; 0 ; 0
mode texte bn:03459971n ; 0.125 ; 0 ; 0 ; 0.125
attention bn:00007020n ; 0.25 ; 0.25 ; 0 ; 0.25
fin bn:00113911a ; 0.125 ; 0 ; 0 ; 0.125
placer bn:00090224v ; 0.0625 ; 0 ; 0 ; 0
img bn:02450504n ; 0.125 ; 0 ; 0.125 ; 0
fichier csv bn:03284335n ; 0.0625 ; 0 ; 0 ; 0
ret bn:05006619n ; 0.0625 ; 0 ; 0 ; 0
fichier binaire bn:00010479n ; 0.0625 ; 0 ; 0 ; 0
calculer bn:00084373v ; 0.125 ; 0 ; 0.125 ; 0
réussite bn:00000870n ; 0.0625 ; 0 ; 0 ; 0
pointeur bn:03222272n ; 0.125 ; 0 ; 0 ; 0.125
txt bn:00028018n ; 0.5 ; 0.5 ; 0.5 ; 0.5
fermeture bn:16858148n ; 0.5 ; 0.5 ; 0.5 ; 0.5
chdir bn:00821546n ; 0.0625 ; 0 ; 0 ; 0
argument bn:00005603n ; 0.125 ; 0 ; 0 ; 0.125
relatif bn:00109123a ; 0.125 ; 0 ; 0 ; 0.125
handle bn:00278322n ; 0.0625 ; 0 ; 0 ; 0
prochaine bn:00096455a ; 0.125 ; 0 ; 0.125 ; 0
sous bn:00072872n ; 0.0625 ; 0 ; 0 ; 0
base 8 bn:01534404n ; 0.0625 ; 0 ; 0 ; 0
type de fichier bn:01156328n ; 0.0625 ; 0 ; 0 ; 0
fifo bn:00034349n ; 0.0625 ; 0 ; 0 ; 0
pointé bn:00086679v ; 0.125 ; 0 ; 0.125 ; 0
inode bn:03396161n ; 0.0625 ; 0 ; 0 ; 0
size bn:03645138n ; 0.25 ; 0.25 ; 0 ; 0.25
taille de bloc bn:04788419n ; 0.0625 ; 0 ; 0 ; 0
shell unix bn:02558830n ; 0.0625 ; 0 ; 0 ; 0
dirname bn:00242975n ; 0.125 ; 0.125 ; 0 ; 0
isoler bn:00089916v ; 0.0625 ; 0 ; 0 ; 0
chown bn:02823726n ; 0.0625 ; 0 ; 0 ; 0
chgrp bn:00742376n ; 0.0625 ; 0 ; 0 ; 0
copy bn:14086525n ; 0.0625 ; 0 ; 0 ; 0
hard link bn:03277499n ; 0.0625 ; 0 ; 0 ; 0
lien symbolique bn:01044905n ; 0.0625 ; 0 ; 0 ; 0
masque bn:03236329n ; 0.125 ; 0 ; 0 ; 0.125
rename bn:00342646n ; 0.0625 ; 0 ; 0 ; 0
umask bn:03851470n ; 0.0625 ; 0 ; 0 ; 0
client bn:00019764n ; 0.125 ; 0.125 ; 0 ; 0
encodage bn:00030696n ; 0.25 ; 0.25 ; 0.25 ; 0
avatar bn:03801346n ; 0.0625 ; 0 ; 0 ; 0
vérification bn:00017984n ; 0.125 ; 0 ; 0.125 ; 0
pire bn:00113940a ; 0.0625 ; 0 ; 0 ; 0
boite de dialogue bn:00026837n ; 0.125 ; 0 ; 0 ; 0.125
gestionnaire de fichier bn:00264400n ; 0.0625 ; 0 ; 0 ; 0
cliquer bn:00085112v ; 0.125 ; 0 ; 0.125 ; 0
bouton bn:03843242n ; 0.0625 ; 0 ; 0 ; 0
associer bn:00082868v ; 0.5 ; 0.5 ; 0.5 ; 0.5
temp bn:00076450n ; 0.0625 ; 0 ; 0 ; 0
initialiser bn:00089742v ; 0.5 ; 0.5 ; 0.5 ; 0.5
fichier temporaire bn:03462927n ; 0.0625 ; 0 ; 0 ; 0
verrouiller bn:00090430v ; 0.0625 ; 0 ; 0 ; 0
caractère nul bn:02742063n ; 0.0625 ; 0 ; 0 ; 0
inverse bn:00105377a ; 0.125 ; 0 ; 0.125 ; 0
oreille bn:00029372n ; 0.0625 ; 0 ; 0 ; 0
gras bn:00011848n ; 0.0625 ; 0 ; 0 ; 0
entité bn:00031027n ; 0.5 ; 0.5 ; 0.5 ; 0.5
entité html bn:01327413n ; 0.0625 ; 0 ; 0 ; 0
fonctionnement bn:00036838n ; 0.0625 ; 0 ; 0 ; 0
quotes bn:00683774n ; 0.0625 ; 0 ; 0 ; 0
formater bn:00082780v ; 0.125 ; 0 ; 0 ; 0.125
troisième bn:00096000a ; 0.0625 ; 0 ; 0 ; 0
colle bn:00001366n ; 0.0625 ; 0 ; 0 ; 0
