X;C1;C2;C3;C4;C5;C6;C7;C8;C9;C10
informatique;0;0;0;0;0.015873;0.0186916;0;0;0;0.0125392
doctype;0;0;0;0.0574163;0.0534351;0;0;0.0754717;0.0642202;0.0489297
w3c;0;0;0.0561404;0.076555;0;0.0707965;0;0;0.0727273;0.0483384
dtd;0;0;0;0.039801;0;0.0366972;0;0;0.0377358;0.0247678
firefox;0;0;0;0;0.008;0;0;0;0;0.00630915
internet explorer;0;0;0;0;0.008;0;0;0;0;0.00630915
internet explorer 9;0;0;0;0;0;0;0;0;0;0.00316456
moteur;0;0;0.0561404;0;0.0606061;0.0707965;0;0;0.0727273;0.0483384
recherche;0;0;0;0;0;0.00943396;0;0;0;0.00630915
descriptions;0;0;0;0;0.015873;0.0186916;0;0;0;0.0125392
précision;0;0;0;0;0;0;0;0;0;0.00316456
paragraphe;0;0;0;0.0102564;0;0;0;0;0;0.00630915
h2;0;0;0;0.0203046;0.015873;0;0;0;0;0.0125392
terme technique;0;0;0;0;0;0;0;0;0;0.00316456
tr;0;0;0;0;0.008;0;0;0;0;0.00630915
insertion;0;0;0.014652;0.0203046;0;0;0;0;0;0.0125392
img;0;0;0.014652;0;0;0.0186916;0;0;0;0.0125392
infobulle;0;0;0;0;0;0;0;0;0;0.00316456
balise html;0;0;0.0288809;0;0;0.0366972;0;0;0.0377358;0.0247678
js;0;0;0;0;0.008;0;0;0;0;0.00630915
css;0;0;0.00738007;0;0;0;0;0;0;0.00630915
dns;0;0;0;0;0;0;0;0;0;0.00316456
logique métier;0;0;0;0;0.008;0;0;0;0;0.00630915
port 443;0;0;0;0;0;0;0;0;0;0.00316456
host;0;0;0;0;0.0568182;0.0663717;0;0.0943396;0.0681818;0.0484848
uniform resource identifier;0;0;0;0;0;0;0;0;0;0.00316456
ipv4;0;0;0;0;0;0;0;0;0;0.00316456
ipv6;0;0;0;0;0;0;0;0;0;0.00316456
visiter;0;0;0;0;0;0;0;0;0;0.00316456
