;C1.csv;C2.csv;C4.csv;C7.csv;C8.csv;C9.csv
information bn:00046705n;0; 0; 1; 0; 0; 0; 
êtres bn:00009677n;0; 0; 1; 0; 0; 0; 
doctype bn:15839327n;0; 0; 1; 0; 1; 1; 
structuration bn:14636497n;0; 0; 1; 1; 0; 0; 
sens bn:00046139n;0; 0; 1; 0; 1; 0; 
désormais bn:00116384r;0; 0; 1; 0; 0; 0; 
paragraphe bn:00060556n;0; 0; 1; 0; 0; 0; 
liste à puces bn:03415182n;0; 0; 1; 0; 0; 0; 
insertion bn:02234787n;0; 0; 1; 0; 0; 0; 
inline bn:01456420n;0; 0; 1; 0; 0; 0; 
uvre bn:00016278n;0; 0; 1; 0; 0; 0; 
h2 bn:02803535n;0; 0; 1; 0; 0; 0; 
disponibilité bn:00000670n;0; 0; 1; 0; 0; 0; 
arial bn:01485779n;0; 0; 1; 0; 0; 0; 
times bn:00056300n;0; 0; 1; 0; 0; 1; 
chose bn:00091115v;0; 0; 1; 0; 0; 0; 
texte gras bn:00030599n;0; 0; 1; 0; 0; 0; 
rouge bn:00066631n;0; 0; 1; 0; 0; 1; 
abuser bn:00090815v;0; 0; 1; 0; 0; 0; 
css 3 bn:01642119n;0; 0; 1; 0; 0; 0; 
souris bn:00021487n;0; 0; 1; 0; 0; 0; 
positionnement bn:00030615n;0; 0; 1; 0; 0; 0; 
anglais bn:00030862n;0; 0; 1; 0; 0; 1; 
dtd bn:15232677n;0; 0; 1; 0; 0; 1; 
charset bn:00017756n;0; 0; 1; 0; 0; 0; 
auto bn:00007309n;0; 0; 1; 0; 0; 0; 
droite bn:00051291n;0; 0; 1; 0; 0; 0; 
comportement bn:00009657n;0; 0; 1; 0; 0; 1; 
allonger bn:00087910v;0; 0; 1; 0; 0; 0; 
chevauchements bn:00045993n;0; 0; 1; 0; 0; 0; 
em bn:00030453n;0; 0; 1; 0; 0; 0; 
active server pages bn:02246064n;0; 0; 1; 0; 0; 0; 
microsoft bn:01165400n;0; 0; 1; 0; 0; 1; 
exécutable bn:00102521a;0; 0; 1; 0; 0; 0; 
connaissance bn:00020452n;0; 0; 1; 0; 0; 0; 
langage c bn:00014377n;0; 0; 1; 0; 0; 1; 
nécessaire bn:00107182a;0; 0; 1; 0; 0; 0; 
transtypage bn:17104905n;0; 0; 1; 0; 0; 0; 
sensibles bn:00104681a;0; 0; 1; 0; 0; 0; 
nombre à virgule flottante bn:00035278n;0; 0; 1; 0; 0; 1; 
c++ bn:03586438n;0; 0; 1; 0; 0; 0; 
dictionnaires bn:00026967n;0; 0; 1; 0; 0; 0; 
table de hachage bn:00587820n;0; 0; 1; 0; 0; 0; 
hachage bn:00583146n;0; 0; 1; 0; 0; 0; 
bois bn:00081492n;0; 0; 1; 0; 0; 0; 
unset bn:00176172n;0; 0; 1; 0; 0; 1; 
couleur bn:00020726n;0; 0; 1; 0; 0; 1; 
ecrire bn:00081714n;0; 0; 1; 0; 0; 1; 
key bn:15770009n;0; 0; 1; 0; 0; 0; 
info bn:00046698n;0; 0; 1; 0; 0; 0; 
parcours bn:03468087n;0; 0; 1; 0; 0; 0; 
égales bn:00102336a;0; 0; 1; 0; 0; 1; 
pouvoir bn:00084450v;0; 0; 1; 0; 0; 0; 
valeur par défaut bn:03854990n;0; 0; 1; 0; 0; 1; 
httpd bn:16913184n;0; 0; 1; 0; 0; 0; 
statiques bn:00111112a;0; 0; 1; 0; 0; 1; 
sport bn:00006759n;0; 0; 1; 0; 0; 1; 
selection multiple bn:05019947n;0; 0; 1; 0; 0; 0; 
possibilité bn:00045632n;0; 0; 1; 0; 0; 1; 
bouton bn:03843242n;0; 0; 1; 0; 0; 0; 
saisir bn:00082727v;0; 0; 1; 0; 0; 0; 
nom bn:00056758n;0; 0; 1; 0; 0; 0; 
entrée standard bn:01496506n;0; 0; 1; 0; 0; 0; 
mode connecté bn:04749137n;0; 0; 1; 0; 0; 0; 
mozilla bn:01297088n;0; 0; 1; 0; 0; 0; 
placer bn:00090224v;0; 0; 1; 0; 0; 0; 
rattacher bn:00085624v;0; 0; 1; 0; 0; 0; 
durée de vie bn:01120526n;0; 0; 1; 0; 0; 1; 
façon bn:00033729n;0; 0; 1; 0; 0; 1; 
path bn:01205256n;0; 0; 1; 0; 0; 0; 
lire bn:00066357n;0; 0; 1; 0; 0; 1; 
authentification bn:03253409n;0; 0; 1; 0; 0; 0; 
banque bn:00008364n;0; 0; 1; 0; 0; 0; 
droit bn:00048655n;0; 0; 1; 0; 0; 0; 
nobody bn:03500369n;0; 0; 1; 0; 0; 0; 
basename bn:01749628n;0; 0; 1; 0; 0; 0; 
dirname bn:00242975n;0; 0; 1; 0; 0; 0; 
touch bn:03178622n;0; 0; 1; 0; 0; 0; 
copy bn:14086525n;0; 0; 1; 0; 0; 0; 
rename bn:00342646n;0; 0; 1; 0; 0; 0; 
umask bn:03851470n;0; 0; 1; 0; 0; 0; 
ascii bn:00003473n;0; 0; 1; 0; 0; 0; 
afficher bn:00087013v;0; 0; 1; 0; 0; 1; 
handle bn:00278322n;0; 0; 1; 0; 0; 0; 
friends bn:00257421n;0; 0; 1; 0; 0; 0; 
rappel bn:03490040n;0; 0; 1; 1; 0; 1; 
sgbdr bn:14249264n;0; 0; 1; 0; 0; 0; 
logiciel libre bn:00182120n;0; 0; 0; 1; 0; 0; 
conception de site web bn:02763125n;0; 0; 0; 1; 0; 0; 
formulaire web bn:14352118n;0; 0; 0; 1; 0; 0; 
envoyé bn:00030563n;0; 0; 0; 1; 0; 0; 
inutile bn:00113457a;0; 0; 0; 1; 0; 0; 
numérique bn:00107649a;0; 0; 0; 1; 0; 1; 
age bn:02104510n;0; 0; 0; 1; 0; 0; 
chaîne bn:00074685n;0; 0; 0; 0; 0; 1; 
marie bn:00090675v;0; 0; 0; 1; 0; 0; 
super bn:17336345n;0; 0; 0; 1; 0; 0; 
italie bn:00047705n;0; 0; 0; 1; 0; 0; 
couple bn:00012597n;0; 0; 0; 1; 0; 0; 
variables locales bn:00958409n;0; 0; 0; 1; 0; 0; 
locales bn:03080237n;0; 0; 0; 1; 0; 0; 
stocker bn:00094400v;0; 0; 0; 1; 0; 0; 
variable globale bn:02011863n;0; 0; 0; 1; 0; 0; 
header bn:00043309n;0; 0; 0; 1; 0; 1; 
autre bn:00108013a;0; 0; 0; 1; 0; 0; 
généralité bn:00041249n;0; 0; 0; 1; 0; 0; 
oublier bn:00084302v;0; 0; 0; 1; 0; 0; 
time bn:03389905n;0; 0; 0; 1; 0; 0; 
provenance bn:00010687n;0; 0; 0; 1; 0; 0; 
tableau associatifs bn:03848413n;0; 0; 0; 1; 0; 0; 
env bn:01199166n;0; 0; 0; 1; 0; 1; 
files bn:00065682n;0; 0; 0; 1; 0; 0; 
attribution bn:00063814n;0; 0; 0; 1; 0; 0; 
accéder bn:00082209v;0; 0; 0; 1; 0; 1; 
valeur bn:00079508n;0; 0; 0; 1; 0; 0; 
visite bn:00080112n;0; 0; 0; 1; 0; 0; 
màj bn:15364261n;0; 0; 0; 1; 0; 0; 
site web dynamique bn:02246184n;0; 0; 0; 0; 1; 1; 
paris bn:00015540n;0; 0; 0; 0; 1; 1; 
séquence bn:00070574n;0; 0; 0; 0; 1; 1; 
invisible bn:00105385a;0; 0; 0; 0; 1; 0; 
final bn:01755798n;0; 0; 0; 0; 1; 1; 
integer bn:00691555n;0; 0; 0; 0; 1; 0; 
type de valeur bn:00253515n;0; 0; 0; 0; 1; 0; 
opérateur bn:16281811n;0; 0; 0; 0; 1; 0; 
message bn:00521573n;0; 0; 0; 0; 1; 0; 
associa bn:00085315v;0; 0; 0; 0; 1; 0; 
classe bn:03608262n;0; 0; 0; 0; 1; 1; 
héritage bn:00043822n;0; 0; 0; 0; 1; 1; 
class bn:03598962n;0; 0; 0; 0; 1; 1; 
opéra bn:00059107n;0; 0; 0; 0; 1; 0; 
constructeur bn:03834827n;0; 0; 0; 0; 1; 1; 
manager bn:14456945n;0; 0; 0; 0; 1; 0; 
champ bn:00034274n;0; 0; 0; 0; 1; 0; 
limiter bn:00086468v;0; 0; 0; 0; 1; 0; 
man bn:15327088n;0; 0; 0; 0; 1; 0; 
femme bn:00001530n;0; 0; 0; 0; 1; 1; 
set bn:04928161n;0; 0; 0; 0; 1; 1; 
diagramme bn:00026817n;0; 0; 0; 0; 1; 0; 
être bn:00004222n;0; 0; 0; 0; 1; 0; 
prix unitaire bn:00587816n;0; 0; 0; 0; 1; 0; 
boucle for bn:03237322n;0; 0; 0; 0; 1; 1; 
bienvenue bn:00080852n;0; 0; 0; 0; 1; 0; 
ar bn:03237564n;0; 0; 0; 0; 1; 0; 
bibliothèque bn:00050969n;0; 0; 0; 0; 1; 0; 
disponibles bn:00097846a;0; 0; 0; 0; 1; 0; 
mysqli bn:01438356n;0; 0; 0; 0; 1; 1; 
insert bn:03795444n;0; 0; 0; 0; 1; 1; 
travers bn:00042404n;0; 0; 0; 0; 1; 0; 
host bn:01846442n;0; 0; 0; 0; 1; 1; 
sql bn:02266432n;0; 0; 0; 0; 1; 1; 
agit bn:00082285v;0; 0; 0; 0; 1; 0; 
delete bn:00941697n;0; 0; 0; 0; 1; 0; 
indépendante bn:00104929a;0; 0; 0; 0; 1; 0; 
visiteur bn:03106425n;0; 0; 0; 0; 1; 1; 
ouverture de session bn:03885719n;0; 0; 0; 0; 1; 0; 
uml bn:02571962n;0; 0; 0; 0; 1; 0; 
page bn:00091387v;0; 0; 0; 0; 1; 0; 
ici bn:00116504r;0; 0; 0; 0; 1; 0; 
juste bn:00114626r;0; 0; 0; 0; 1; 0; 
nouvelle ligne bn:00051314n;0; 0; 0; 0; 1; 0; 
constante bn:00100331a;0; 0; 0; 0; 0; 1; 
tim bn:14744972n;0; 0; 0; 0; 0; 1; 
tim berners-lee bn:02359969n;0; 0; 0; 0; 0; 1; 
héberger bn:00082216v;0; 0; 0; 0; 0; 1; 
internet bn:00024712n;0; 0; 0; 0; 0; 1; 
messagerie bn:00030257n;0; 0; 0; 0; 0; 1; 
messagerie instantanée bn:03364059n;0; 0; 0; 0; 0; 1; 
open source bn:01157392n;0; 0; 0; 0; 0; 1; 
grand nombre bn:14223782n;0; 0; 0; 0; 0; 1; 
facebook bn:03624775n;0; 0; 0; 0; 0; 1; 
wikipédia bn:03288118n;0; 0; 0; 0; 0; 1; 
configuration bn:03088982n;0; 0; 0; 0; 0; 1; 
wamp bn:01708928n;0; 0; 0; 0; 0; 1; 
mamp bn:03197470n;0; 0; 0; 0; 0; 1; 
xampp bn:02350502n;0; 0; 0; 0; 0; 1; 
editeur de texte bn:00076736n;0; 0; 0; 0; 0; 1; 
styler bn:00042550n;0; 0; 0; 0; 0; 1; 
variable de type bn:02158332n;0; 0; 0; 0; 0; 1; 
base 10 bn:00025700n;0; 0; 0; 0; 0; 1; 
affiche bn:15173511n;0; 0; 0; 0; 0; 1; 
opérateur logiques bn:00051853n;0; 0; 0; 0; 0; 1; 
division bn:00027919n;0; 0; 0; 0; 0; 1; 
valeur numérique bn:00000451n;0; 0; 0; 0; 0; 1; 
inférieur bn:00035700n;0; 0; 0; 0; 0; 1; 
système bn:15125301n;0; 0; 0; 0; 0; 1; 
système d’exploitation bn:00059123n;0; 0; 0; 0; 0; 1; 
linux bn:00051427n;0; 0; 0; 0; 0; 1; 
sizeof bn:03205994n;0; 0; 0; 0; 0; 1; 
globales bn:00103624a;0; 0; 0; 0; 0; 1; 
conditionnel bn:00100214a;0; 0; 0; 0; 0; 1; 
accepter bn:00082204v;0; 0; 0; 0; 0; 1; 
cappuccino bn:01189604n;0; 0; 0; 0; 0; 1; 
type de retour bn:03354146n;0; 0; 0; 0; 0; 1; 
redéfinition bn:00066711n;0; 0; 0; 0; 0; 1; 
récursives bn:00109560a;0; 0; 0; 0; 0; 1; 
erreur de programmation bn:00064654n;0; 0; 0; 0; 0; 1; 
entité bn:00031027n;0; 0; 0; 0; 0; 1; 
entité html bn:01327413n;0; 0; 0; 0; 0; 1; 
balise html bn:02104867n;0; 0; 0; 0; 0; 1; 
contraire bn:00100398a;0; 0; 0; 0; 0; 1; 
nombre premier bn:00064389n;0; 0; 0; 0; 0; 1; 
coordonnées bn:00022459n;0; 0; 0; 0; 0; 1; 
français bn:00036426n;0; 0; 0; 0; 0; 1; 
pouvoir bn:00084451v;0; 0; 0; 0; 0; 1; 
confidentiel bn:00100230a;0; 0; 0; 0; 0; 1; 
adresse ip bn:00706454n;0; 0; 0; 0; 0; 1; 
ip bn:00046704n;0; 0; 0; 0; 0; 1; 
réutiliser bn:00092558v;0; 0; 0; 0; 0; 1; 
endroit bn:00062699n;0; 0; 0; 0; 0; 1; 
code bn:00084976v;0; 0; 0; 0; 0; 1; 
survient bn:00085337v;0; 0; 0; 0; 0; 1; 
ainsi bn:00117173r;0; 0; 0; 0; 0; 1; 
démarrer bn:00083342v;0; 0; 0; 0; 0; 1; 
infinité bn:00012426n;0; 0; 0; 0; 0; 1; 
moindre bn:00105825a;0; 0; 0; 0; 0; 1; 
avant bn:00035855n;0; 0; 0; 0; 0; 1; 
seconde bn:00068672n;0; 0; 0; 0; 0; 1; 
déconnexion bn:00027504n;0; 0; 0; 0; 0; 1; 
visible bn:00110277a;0; 0; 0; 0; 0; 1; 
poo bn:00058448n;0; 0; 0; 0; 0; 1; 
classe type bn:03004615n;0; 0; 0; 0; 0; 1; 
concept bn:00021547n;0; 0; 0; 0; 0; 1; 
réutilisation bn:02823226n;0; 0; 0; 0; 0; 1; 
caractéristique bn:00099532a;0; 0; 0; 0; 0; 1; 
hériter bn:00043823n;0; 0; 0; 0; 0; 1; 
final bn:00102969a;0; 0; 0; 0; 0; 1; 
intrinsèque bn:00105350a;0; 0; 0; 0; 0; 1; 
polymorphisme bn:01974384n;0; 0; 0; 0; 0; 1; 
encapsulation bn:01505556n;0; 0; 0; 0; 0; 1; 
public bn:00109211a;0; 0; 0; 0; 0; 1; 
sommes bn:00082322v;0; 0; 0; 0; 0; 1; 
self bn:03432485n;0; 0; 0; 0; 0; 1; 
parent bn:00060643n;0; 0; 0; 0; 0; 1; 
mère bn:00034027n;0; 0; 0; 0; 0; 1; 
classe abstraite bn:03110061n;0; 0; 0; 0; 0; 1; 
abstraite bn:00096212a;0; 0; 0; 0; 0; 1; 
