X ; C1 ; C12 ; C13 ; C14 ; C16 ; C18 ; C2 ; C4 ; C7 ; C8 ; C9
méthode post bn:00045088n ; 0.00680272 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
fermeture bn:16858148n ; 0.19802 ; 0.203463 ; 0 ; 0 ; 0.194313 ; 0.21164 ; 0 ; 0.192488 ; 0 ; 0.242424 ; 0.209877
mysql bn:01225760n ; 0 ; 0 ; 0 ; 0 ; 0.0126582 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.01
phase bn:00061898n ; 0.00680272 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
être utile bn:00085368v ; 0.0135135 ; 0.0108696 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
boucle while bn:03237310n ; 0.0987654 ; 0.0808081 ; 0 ; 0 ; 0 ; 0.107383 ; 0 ; 0 ; 0 ; 0.128 ; 0.0747664
euro bn:00031888n ; 0.0135135 ; 0 ; 0 ; 0.0116279 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
etc bn:00114282r ; 0.0135135 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.01
site bn:00047172n ; 0 ; 0 ; 0 ; 0.0449438 ; 0 ; 0.0567376 ; 0 ; 0.0481928 ; 0 ; 0 ; 0.038835
détruire bn:00084204v ; 0.0864198 ; 0.0761421 ; 0 ; 0 ; 0 ; 0.0939597 ; 0 ; 0 ; 0.152174 ; 0 ; 0.0754717
second bn:00105773a ; 0.0135135 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.01
ordinateur bn:00021464n ; 0.0135135 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.01
licence bn:00050986n ; 0 ; 0.00546448 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
licence gnu bn:01157379n ; 0 ; 0.00546448 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
gnu bn:00324017n ; 0 ; 0.0108696 ; 0.0175439 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
gnu free documentation licence bn:01157394n ; 0 ; 0.00546448 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
anglais bn:00030862n ; 0 ; 0.0421053 ; 0 ; 0.0449438 ; 0 ; 0 ; 0 ; 0.0481928 ; 0 ; 0 ; 0.038835
free software bn:00182120n ; 0 ; 0.0108696 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.025641 ; 0 ; 0
free software foundation bn:01158352n ; 0 ; 0.00546448 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
quatrième de couverture bn:00032652n ; 0 ; 0.00546448 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
copie bn:00087583v ; 0 ; 0.00546448 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
fax bn:00032653n ; 0 ; 0.00546448 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
e-mail bn:00029345n ; 0 ; 0.00546448 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
installation bn:03478637n ; 0 ; 0.00546448 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
configuration bn:03088982n ; 0 ; 0.0215054 ; 0 ; 0 ; 0.025 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.019802
session bn:03751534n ; 0 ; 0 ; 0 ; 0.0229885 ; 0 ; 0 ; 0.0216216 ; 0.0246914 ; 0 ; 0 ; 0
chaîne bn:00074685n ; 0 ; 0.0215054 ; 0 ; 0 ; 0.025 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.019802
rappel bn:03490040n ; 0 ; 0.042328 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0421687 ; 0.0833333 ; 0 ; 0.0339806
document web bn:03606607n ; 0 ; 0.00546448 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
composer bn:14766022n ; 0 ; 0.0108696 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0125 ; 0 ; 0 ; 0
