X ; C1 ; C12 ; C13 ; C14 ; C16 ; C18 ; C2 ; C4 ; C7 ; C8 ; C9
null bn:15898583n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0357143 ; 0 ; 0 ; 0 ; 0 ; 0
web bn:00080772n ; 0 ; 0 ; 0 ; 0 ; 0.0357143 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
affiche bn:00087013v ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0357143
casse bn:03225002n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0357143 ; 0 ; 0 ; 0 ; 0
internet bn:00024712n ; 0 ; 0 ; 0.0357143 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
système bn:15125301n ; 0 ; 0 ; 0.0357143 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
menu bn:00021485n ; 0 ; 0 ; 0.0357143 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
id bn:03885719n ; 0 ; 0 ; 0.0357143 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
mysqli bn:01438356n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0357143 ; 0
timestamp bn:03603649n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0357143 ; 0 ; 0
