X ; C1 ; C12 ; C13 ; C14 ; C16 ; C18 ; C2 ; C4 ; C7 ; C8 ; C9
case à cocher bn:03157691n ; 0.0866142 ; 0 ; 0 ; 0.0708661 ; 0 ; 0.0866142 ; 0 ; 0.0944882 ; 0 ; 0 ; 0.0787402
post bn:01500184n ; 0 ; 0.0787402 ; 0.0787402 ; 0.0629921 ; 0 ; 0 ; 0.0629921 ; 0 ; 0 ; 0 ; 0.0787402
nombre bn:00058285n ; 0 ; 0.0866142 ; 0 ; 0.0708661 ; 0 ; 0 ; 0 ; 0.0629921 ; 0.0629921 ; 0.0629921 ; 0
text bn:14981519n ; 0.110236 ; 0.141732 ; 0 ; 0 ; 0.0944882 ; 0.0944882 ; 0.125984 ; 0.125984 ; 0 ; 0 ; 0
langage bn:00049910n ; 0.0314961 ; 0 ; 0 ; 0 ; 0.0472441 ; 0 ; 0 ; 0 ; 0 ; 0.0314961 ; 0.0393701
zones bn:00005513n ; 0 ; 0 ; 0.015748 ; 0.015748 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
utilisateur bn:00079373n ; 0 ; 0.0944882 ; 0 ; 0.0787402 ; 0 ; 0.0866142 ; 0 ; 0.0944882 ; 0 ; 0 ; 0.0866142
case bn:04777941n ; 0.0629921 ; 0.0629921 ; 0 ; 0 ; 0 ; 0 ; 0.0629921 ; 0 ; 0 ; 0 ; 0.0629921
méthode post bn:00045088n ; 0 ; 0 ; 0 ; 0 ; 0.0866142 ; 0.0551181 ; 0.0787402 ; 0 ; 0.0551181 ; 0.0472441 ; 0.0708661
passwd bn:14874750n ; 0.00787402 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
machine bn:00054050n ; 0 ; 0.0314961 ; 0 ; 0.0314961 ; 0 ; 0.0314961 ; 0 ; 0 ; 0 ; 0 ; 0
mysql bn:01225760n ; 0 ; 0.0551181 ; 0.0472441 ; 0.0551181 ; 0 ; 0 ; 0 ; 0.0472441 ; 0 ; 0 ; 0
salaire bn:15928884n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00787402 ; 0
