example;0.0;0.0;0.0;"(2461, 2467)";bn:00032099n
top-down;1.0;0.030837004405286344;3.82058859954886E-6;"(2470, 2477)";bn:00111993a
refinement;0.0;0.0;0.0;"(2479, 2488)";bn:00024359n
refinement;0.0;0.0;0.0;"(2502, 2511)";bn:00024359n
top-down;1.0;0.030837004405286344;3.82058859954886E-6;"(2514, 2521)";bn:00111993a
"top-down approach";1.0;0.048458149779735685;1.0097269870236272E-5;"(2514, 2530)";bn:03218093n
approach;0.0;0.0;0.0;"(2523, 2530)";bn:00005141n
event;0.0;0.0;0.0;"(2539, 2543)";bn:00032021n
underspecified;0.0;0.0;0.0;"(2549, 2562)";bn:13618593v
fixed;0.0;0.0;0.0;"(2577, 2581)";bn:00084308v
example;0.0;0.0;0.0;"(2588, 2594)";bn:00032099n
start;0.0;0.0;0.0;"(2597, 2601)";bn:00083340v
state;0.0;0.0;0.0;"(2603, 2607)";bn:00064914n
state;0.0;0.0;0.0;"(2613, 2617)";bn:00064914n
refined;0.0;0.0;0.0;"(2621, 2627)";bn:00087201v
state;0.0;0.0;0.0;"(2637, 2641)";bn:00064914n
transition;0.0;0.0;0.0;"(2650, 2659)";bn:00060881n
specified;0.0;0.0;0.0;"(2670, 2678)";bn:00085560v
"b c";1.0;0.005873715124816446;1.323147566943328E-7;"(2695, 2697)";bn:03752309n
refined;0.0;0.0;0.0;"(2726, 2732)";bn:00087201v
state;0.0;0.0;0.0;"(2742, 2746)";bn:00064914n
event;0.0;0.0;0.0;"(2759, 2763)";bn:00032021n
underspecified;0.0;0.0;0.0;"(2769, 2782)";bn:13618593v
fixed;0.0;0.0;0.0;"(2805, 2809)";bn:00084308v
event;0.0;0.0;0.0;"(2817, 2821)";bn:00032021n
underspecified;0.0;0.0;0.0;"(2827, 2840)";bn:13618593v
state;0.0;0.0;0.0;"(2844, 2848)";bn:00064914n
refined;0.0;0.0;0.0;"(2852, 2858)";bn:00087201v
transition;0.0;0.0;0.0;"(2864, 2873)";bn:00060881n
specified;0.0;0.0;0.0;"(2884, 2892)";bn:00085560v
example;0.0;0.0;0.0;"(2898, 2904)";bn:00032099n
state;0.0;0.0;0.0;"(2937, 2941)";bn:00064914n
"b c";1.0;0.005873715124816446;1.323147566943328E-7;"(2966, 2968)";bn:03752309n
fixed;0.0;0.0;0.0;"(2972, 2976)";bn:00084308v
underspecified;0.0;0.0;0.0;"(2988, 3001)";bn:13618593v
fixed;0.0;0.0;0.0;"(3024, 3028)";bn:00084308v
specified;0.0;0.0;0.0;"(3048, 3056)";bn:00085560v
example;0.0;0.0;0.0;"(3062, 3068)";bn:00032099n
transition;0.0;0.0;0.0;"(3080, 3089)";bn:00060881n
specified;0.0;0.0;0.0;"(3100, 3108)";bn:00085560v
example;0.0;0.0;0.0;"(3114, 3120)";bn:00032099n
default;0.0;0.0;0.0;"(3127, 3133)";bn:00025848n
state;0.0;0.0;0.0;"(3135, 3139)";bn:00064914n
want;0.0;0.0;0.0;"(3161, 3164)";bn:00086682v
enter;0.0;0.0;0.0;"(3166, 3170)";bn:00085363v
state;0.0;0.0;0.0;"(3172, 3176)";bn:00064914n
default;0.0;0.0;0.0;"(3180, 3186)";bn:00025848n
default;0.0;0.0;0.0;"(3188, 3194)";bn:00025848n
state;0.0;0.0;0.0;"(3196, 3200)";bn:00064914n
specify;0.0;0.0;0.0;"(3204, 3210)";bn:00085560v
arrow;0.0;0.0;0.0;"(3231, 3235)";bn:00005896n
want;0.0;0.0;0.0;"(3256, 3259)";bn:00086682v
enter;0.0;0.0;0.0;"(3261, 3265)";bn:00085363v
state;0.0;0.0;0.0;"(3267, 3271)";bn:00064914n
default;0.0;0.0;0.0;"(3275, 3281)";bn:00025848n
specify;0.0;0.0;0.0;"(3284, 3290)";bn:00085560v
arrow;0.0;0.0;0.0;"(3311, 3315)";bn:00005896n
"b c";1.0;0.005873715124816446;1.323147566943328E-7;"(3324, 3326)";bn:03752309n
"c a b";1.0;0.010279001468428781;4.052139423763942E-7;"(3326, 3330)";bn:01067812n
"b c";1.0;0.005873715124816446;1.323147566943328E-7;"(3330, 3332)";bn:03752309n
state;0.0;0.0;0.0;"(3342, 3346)";bn:00064914n
entrance;0.0;0.0;0.0;"(3362, 3369)";bn:00031044n
state;0.0;0.0;0.0;"(3375, 3379)";bn:00064914n
entered;0.0;0.0;0.0;"(3381, 3387)";bn:00085363v
