X;C11;C15;C17;C19;C3;C5;C6
e-mail;0.0588235;0.0588235;0;0;0;0;0.0588235
mailto;0.0153846;0;0;0;0;0;0
intéressant;0.0153846;0;0;0;0;0;0
clic;0.111111;0.111111;0;0.111111;0;0;0.111111
vide;0.030303;0;0.030303;0;0;0;0
text;0.333333;0.333333;0;0.333333;0.333333;0.333333;0.333333
minimale;0.030303;0;0.030303;0;0;0;0
avoir lieu;0.333333;0.333333;0;0.333333;0.333333;0.333333;0.333333
adresse email;0.0588235;0.0588235;0;0;0;0;0.0588235
fourniture;0.0153846;0;0;0;0;0;0
mise;0.111111;0.111111;0;0;0.111111;0;0.111111
list;0.0588235;0.0588235;0;0;0.0588235;0;0
renard;0.0153846;0;0;0;0;0;0
sports;0.0153846;0;0;0;0;0;0
tennis;0.0153846;0;0;0;0;0;0
basket;0.0153846;0;0;0;0;0;0
tulipe;0.0153846;0;0;0;0;0;0
liste déroulante;0.030303;0;0;0;0;0;0.030303
prénom;0.111111;0.111111;0;0.111111;0;0.111111;0
applications web;0.111111;0.111111;0.111111;0;0;0;0.111111
serveur web;0.5;0.5;0.5;0.5;0.5;0.5;0.5
mode;0.5;0.5;0.5;0.5;0.5;0.5;0.5
w3c;0.0588235;0;0;0;0.0588235;0;0.0588235
dtd;0.030303;0;0;0;0;0;0.030303
logiciel;0.111111;0.111111;0.111111;0;0;0;0.111111
open source;0.030303;0;0;0;0.030303;0;0
code source;0.2;0;0.2;0.2;0;0.2;0.2
statiques;0.0153846;0;0;0;0;0;0
configuration;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0
évidente;0.0588235;0;0.0588235;0;0.0588235;0;0
second;0.111111;0.111111;0;0.111111;0.111111;0;0
exécutable;0.0588235;0;0.0588235;0;0;0;0.0588235
système d;0.0588235;0;0.0588235;0;0;0.0588235;0
microsoft;0.2;0.2;0.2;0;0;0.2;0.2
microsoft internet information server;0.0153846;0;0;0;0;0;0
choix;0.0588235;0.0588235;0;0;0;0;0.0588235
programmation procédurale;0.111111;0;0.111111;0;0.111111;0.111111;0
procédurale;0.030303;0;0;0;0.030303;0;0
httpd.conf;0.0588235;0.0588235;0.0588235;0;0;0;0
common gateway interface;0.0588235;0.0588235;0;0;0;0;0.0588235
disponibles;0.2;0.2;0.2;0;0.2;0;0.2
fichier pdf;0.2;0.2;0;0.2;0;0.2;0.2
animation flash;0.0153846;0;0;0;0;0;0
xml;0.2;0;0.2;0;0.2;0.2;0.2
sauve;0.0153846;0;0;0;0;0;0
système de fichiers;0.0588235;0;0;0.0588235;0.0588235;0;0
davantage;0.0153846;0;0;0;0;0;0
interbase;0.0153846;0;0;0;0;0;0
postgresql;0.2;0.2;0.2;0.2;0;0;0.2
ibm db2;0.0153846;0;0;0;0;0;0
odbc;0.0588235;0.0588235;0;0;0;0;0.0588235
informix;0.111111;0.111111;0.111111;0;0;0;0.111111
ingres;0.0153846;0;0;0;0;0;0
délimiter;0.2;0.2;0.2;0;0.2;0;0.2
séparateurs;0.2;0;0.2;0.2;0.2;0;0.2
fin de ligne;0.0153846;0;0;0;0;0;0
signe dollar;0.0588235;0.0588235;0;0;0;0;0.0588235
barre oblique;0.0153846;0;0;0;0;0;0
oblique;0.030303;0;0.030303;0;0;0;0
originale;0.0153846;0;0;0;0;0;0
entiers;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0
globale;0.333333;0.333333;0.333333;0.333333;0.333333;0;0.333333
dehors;0.0153846;0;0;0;0;0;0
illustre;0.0153846;0;0;0;0;0;0
variable globale;0.111111;0.111111;0.111111;0;0.111111;0;0
portee;0.111111;0.111111;0.111111;0;0.111111;0;0
web;0.2;0.2;0;0.2;0.2;0;0.2
décorer;0.030303;0.030303;0;0;0;0;0
caractère de soulignement;0.0153846;0;0;0;0;0;0
couple;0.0588235;0.0588235;0;0.0588235;0;0;0
extérieur;0.0153846;0;0;0;0;0;0
méthode;0.333333;0.333333;0;0.333333;0.333333;0.333333;0.333333
détails;0.0588235;0.0588235;0;0;0;0.0588235;0
identifiables;0.030303;0.030303;0;0;0;0;0
adresse ip;0.0588235;0.0588235;0.0588235;0;0;0;0
entité html;0.0588235;0.0588235;0;0;0.0588235;0;0
lettre;0.111111;0;0.111111;0;0.111111;0.111111;0
quelconque;0.0588235;0.0588235;0;0;0;0;0.0588235
programmeur;0.111111;0.111111;0.111111;0;0;0.111111;0
nombre à virgule flottante;0.111111;0.111111;0.111111;0;0.111111;0;0
ainsi;0.111111;0;0.111111;0.111111;0;0;0.111111
chaîne vide;0.0588235;0;0;0;0.0588235;0;0.0588235
base décimale;0.111111;0.111111;0.111111;0.111111;0;0;0
hexadécimal;0.2;0.2;0.2;0;0.2;0;0.2
octal;0.0588235;0.0588235;0;0;0.0588235;0;0
environ;0.0153846;0;0;0;0;0;0
bits;0.2;0.2;0.2;0;0.2;0.2;0
décimaux;0.030303;0;0.030303;0;0;0;0
répandre;0.0153846;0;0;0;0;0;0
ordre de grandeur;0.0153846;0;0;0;0;0;0
64 bit;0.0153846;0;0;0;0;0;0
décimale;0.0588235;0.0588235;0.0588235;0;0;0;0
égalité;0.0588235;0;0.0588235;0;0;0.0588235;0
