;C11;C15;C17;C19;C3;C5;C6
algorithme bn:00002705n;0; 1; 1; 1; 1; 1; 1; 
énoncé bn:00087699v;0; 1; 1; 1; 1; 1; 0; 
valables bn:00113486a;0; 1; 1; 1; 1; 1; 1; 
retrouver bn:00088204v;0; 1; 0; 0; 1; 0; 1; 
href bn:00045513n;0; 0; 1; 0; 1; 0; 0; 
type de fichier bn:01156328n;0; 1; 1; 1; 0; 1; 1; 
styler bn:00042550n;0; 1; 1; 1; 1; 1; 1; 
arial bn:01485779n;0; 1; 1; 1; 1; 1; 1; 
helvetica bn:00043646n;0; 1; 1; 1; 1; 1; 1; 
script côté client bn:03689253n;0; 0; 1; 1; 1; 1; 1; 
interactivité bn:03489302n;0; 1; 1; 1; 1; 1; 1; 
invoquer bn:00082770v;0; 1; 1; 1; 1; 1; 1; 
semaine bn:00043484n;0; 0; 1; 0; 0; 1; 1; 
sommes bn:00082322v;0; 1; 1; 1; 1; 0; 1; 
concaténation bn:03489514n;0; 0; 0; 0; 1; 0; 0; 
souplesse bn:00035191n;0; 0; 1; 1; 1; 1; 1; 
client mail bn:03183100n;0; 1; 1; 1; 1; 1; 1; 
travers bn:00042404n;0; 1; 1; 0; 1; 0; 1; 
e-mail bn:00029345n;0; 0; 1; 1; 1; 1; 0; 
mailto bn:03829206n;0; 1; 1; 1; 1; 1; 1; 
intéressant bn:00105276a;0; 1; 1; 1; 1; 1; 1; 
clic bn:00019758n;0; 0; 1; 0; 1; 1; 0; 
vide bn:00087578v;0; 1; 0; 1; 1; 1; 1; 
text bn:14981519n;0; 0; 1; 0; 0; 0; 0; 
minimale bn:00106755a;0; 1; 0; 1; 1; 1; 1; 
avoir lieu bn:00085337v;0; 0; 1; 0; 0; 0; 0; 
adresse email bn:02312462n;0; 0; 1; 1; 1; 1; 0; 
fourniture bn:00075322n;0; 1; 1; 1; 1; 1; 1; 
mise bn:00016287n;0; 0; 1; 1; 0; 1; 0; 
list bn:04720346n;0; 0; 1; 1; 0; 1; 1; 
renard bn:00036129n;0; 1; 1; 1; 1; 1; 1; 
sports bn:00006759n;0; 1; 1; 1; 1; 1; 1; 
tennis bn:00050287n;0; 1; 1; 1; 1; 1; 1; 
basket bn:00008889n;0; 1; 1; 1; 1; 1; 1; 
tulipe bn:00078559n;0; 1; 1; 1; 1; 1; 1; 
liste déroulante bn:00028831n;0; 1; 1; 1; 1; 1; 0; 
prénom bn:15996005n;0; 0; 1; 0; 1; 0; 1; 
applications web bn:02246184n;0; 0; 0; 1; 1; 1; 0; 
w3c bn:02673666n;0; 1; 1; 1; 0; 1; 0; 
dtd bn:15232677n;0; 1; 1; 1; 1; 1; 0; 
logiciel bn:00021497n;0; 0; 0; 1; 1; 1; 0; 
open source bn:01157392n;0; 1; 1; 1; 0; 1; 1; 
code source bn:00072947n;0; 1; 0; 0; 1; 0; 0; 
statiques bn:00111112a;0; 1; 1; 1; 1; 1; 1; 
configuration bn:03088982n;0; 0; 0; 0; 0; 0; 1; 
évidente bn:00097350a;0; 1; 0; 1; 0; 1; 1; 
second bn:00105773a;0; 0; 1; 0; 0; 1; 1; 
exécutable bn:00102521a;0; 1; 0; 1; 1; 1; 0; 
système d bn:04836299n;0; 1; 0; 1; 1; 0; 1; 
microsoft bn:01165400n;0; 0; 0; 1; 1; 0; 0; 
microsoft internet information server bn:01364468n;0; 1; 1; 1; 1; 1; 1; 
choix bn:00018661n;0; 0; 1; 1; 1; 1; 0; 
programmation procédurale bn:01706415n;0; 1; 0; 1; 0; 0; 1; 
procédurale bn:00109049a;0; 1; 1; 1; 0; 1; 1; 
httpd.conf bn:03668763n;0; 0; 0; 1; 1; 1; 1; 
common gateway interface bn:03588331n;0; 0; 1; 1; 1; 1; 0; 
disponibles bn:00097846a;0; 0; 0; 1; 0; 1; 0; 
fichier pdf bn:01745594n;0; 0; 1; 0; 1; 0; 0; 
animation flash bn:00890589n;0; 1; 1; 1; 1; 1; 1; 
xml bn:02771436n;0; 1; 0; 1; 0; 0; 0; 
sauve bn:00093279v;0; 1; 1; 1; 1; 1; 1; 
système de fichiers bn:00034429n;0; 1; 1; 0; 0; 1; 1; 
davantage bn:00116284r;0; 1; 1; 1; 1; 1; 1; 
interbase bn:00968039n;0; 1; 1; 1; 1; 1; 1; 
postgresql bn:01709156n;0; 0; 0; 0; 1; 1; 0; 
ibm db2 bn:00637255n;0; 1; 1; 1; 1; 1; 1; 
odbc bn:14228731n;0; 0; 1; 1; 1; 1; 0; 
informix bn:03306725n;0; 0; 0; 1; 1; 1; 0; 
ingres bn:03724918n;0; 1; 1; 1; 1; 1; 1; 
délimiter bn:00086464v;0; 0; 0; 1; 0; 1; 0; 
séparateurs bn:03371342n;0; 1; 0; 0; 0; 1; 0; 
fin de ligne bn:00051314n;0; 1; 1; 1; 1; 1; 1; 
signe dollar bn:00028116n;0; 0; 1; 1; 1; 1; 0; 
barre oblique bn:00026814n;0; 1; 1; 1; 1; 1; 1; 
oblique bn:00107678a;0; 1; 0; 1; 1; 1; 1; 
originale bn:00107979a;0; 1; 1; 1; 1; 1; 1; 
entiers bn:00047009n;0; 0; 0; 0; 0; 0; 1; 
globale bn:00103624a;0; 0; 0; 0; 0; 1; 0; 
dehors bn:00114309r;0; 1; 1; 1; 1; 1; 1; 
illustre bn:00110549a;0; 1; 1; 1; 1; 1; 1; 
variable globale bn:02011863n;0; 0; 0; 1; 0; 1; 1; 
portee bn:03460088n;0; 0; 0; 1; 0; 1; 1; 
web bn:00080772n;0; 0; 1; 0; 0; 1; 0; 
décorer bn:00082387v;0; 0; 1; 1; 1; 1; 1; 
caractère de soulignement bn:14528514n;0; 1; 1; 1; 1; 1; 1; 
couple bn:00012597n;0; 0; 1; 0; 1; 1; 1; 
extérieur bn:03882811n;0; 1; 1; 1; 1; 1; 1; 
méthode bn:01641329n;0; 0; 1; 0; 0; 0; 0; 
détails bn:00067417n;0; 0; 1; 1; 1; 0; 1; 
identifiables bn:00104510a;0; 0; 1; 1; 1; 1; 1; 
adresse ip bn:00706454n;0; 0; 0; 1; 1; 1; 1; 
entité html bn:01327413n;0; 0; 1; 1; 0; 1; 1; 
lettre bn:00003057n;0; 1; 0; 1; 0; 0; 1; 
quelconque bn:00097433a;0; 0; 1; 1; 1; 1; 0; 
programmeur bn:00020358n;0; 0; 0; 1; 1; 0; 1; 
nombre à virgule flottante bn:00035278n;0; 0; 0; 1; 0; 1; 1; 
ainsi bn:00117173r;0; 1; 0; 0; 1; 1; 0; 
chaîne vide bn:03716205n;0; 1; 1; 1; 0; 1; 0; 
base décimale bn:00025700n;0; 0; 0; 0; 1; 1; 1; 
hexadécimal bn:00104145a;0; 0; 0; 1; 0; 1; 0; 
octal bn:01534404n;0; 0; 1; 1; 0; 1; 1; 
environ bn:00114074r;0; 1; 1; 1; 1; 1; 1; 
bits bn:00010731n;0; 0; 0; 1; 0; 0; 1; 
décimaux bn:15004607n;0; 1; 0; 1; 1; 1; 1; 
répandre bn:00084556v;0; 1; 1; 1; 1; 1; 1; 
ordre de grandeur bn:00052758n;0; 1; 1; 1; 1; 1; 1; 
64 bit bn:00695610n;0; 1; 1; 1; 1; 1; 1; 
décimale bn:02649777n;0; 0; 0; 1; 1; 1; 1; 
égalité bn:00031284n;0; 1; 0; 1; 1; 0; 1; 
échapper bn:00083961v;0; 1; 1; 1; 0; 1; 1; 
école bn:00069619n;0; 0; 1; 1; 1; 1; 1; 
inverse bn:00105377a;0; 0; 0; 1; 0; 1; 0; 
barre oblique inverse bn:00988551n;0; 0; 0; 1; 0; 1; 0; 
classiques bn:00019566n;0; 1; 1; 0; 1; 1; 1; 
concert bn:00021559n;0; 1; 1; 1; 1; 1; 1; 
incrémentation bn:01936826n;0; 0; 0; 1; 0; 1; 1; 
opérateur logiques bn:00051853n;0; 0; 0; 0; 0; 1; 0; 
doute bn:00028425n;0; 0; 1; 1; 0; 1; 0; 
conditionnelle bn:00100214a;0; 0; 0; 1; 0; 1; 1; 
multiplier bn:00090977v;0; 1; 0; 1; 1; 1; 1; 
donner naissance à bn:00083336v;0; 1; 1; 1; 1; 1; 1; 
division bn:00027919n;0; 0; 0; 1; 0; 1; 0; 
modulo bn:00553864n;0; 0; 0; 0; 0; 1; 1; 
numérique bn:00107649a;0; 0; 0; 1; 0; 1; 1; 
valeur logique bn:00855623n;0; 1; 1; 1; 1; 1; 1; 
bloc bn:03098513n;0; 1; 0; 1; 0; 0; 1; 
intéresse bn:00089814v;0; 1; 1; 1; 0; 1; 1; 
divisible bn:00101643a;0; 1; 1; 1; 1; 1; 1; 
instruction switch bn:01071927n;0; 0; 0; 0; 0; 1; 1; 
case bn:04777941n;0; 0; 0; 1; 0; 1; 0; 
excessif bn:00102500a;0; 1; 1; 1; 1; 1; 1; 
quitter bn:00086604v;0; 1; 1; 1; 1; 1; 1; 
dimanche bn:00028190n;0; 0; 1; 1; 0; 0; 1; 
moment présent bn:00043807n;0; 1; 1; 1; 1; 1; 1; 
secondes bn:00068672n;0; 1; 1; 1; 1; 1; 1; 
janvier bn:00047960n;0; 0; 1; 1; 0; 1; 1; 
foreach bn:03463379n;0; 0; 1; 0; 0; 0; 0; 
incomplet bn:00104851a;0; 0; 1; 1; 1; 1; 0; 
invoquer bn:00085009v;0; 1; 1; 1; 1; 1; 1; 
femme bn:00001530n;0; 0; 1; 1; 1; 1; 1; 
femme mariée bn:00053531n;0; 1; 1; 1; 1; 1; 1; 
pouvoir bn:00084450v;0; 0; 0; 1; 1; 1; 1; 
abricot bn:00005174n;0; 1; 1; 1; 1; 1; 1; 
bmw bn:03091163n;0; 1; 1; 1; 1; 1; 1; 
peugeot bn:03339300n;0; 1; 1; 1; 1; 1; 1; 
renault bn:00861552n;0; 1; 1; 1; 1; 1; 1; 
alpha bn:00096877a;0; 0; 1; 1; 1; 1; 1; 
structure de donnée bn:00025330n;0; 1; 1; 1; 1; 1; 1; 
parcourir bn:00088968v;0; 0; 1; 0; 1; 1; 1; 
boucle for bn:03237322n;0; 0; 0; 0; 1; 1; 0; 
initialisation bn:00046781n;0; 0; 1; 0; 1; 0; 1; 
identificateur bn:00045822n;0; 0; 1; 1; 1; 1; 1; 
mot de passe bn:00023218n;0; 0; 1; 0; 0; 1; 0; 
correctement bn:00114335r;0; 0; 0; 1; 1; 1; 1; 
consacrer à bn:00085427v;0; 0; 1; 1; 0; 1; 1; 
démarrage bn:03140436n;0; 1; 0; 0; 1; 0; 1; 
code bn:00084976v;0; 0; 0; 0; 1; 0; 0; 
sorte bn:00035907n;0; 1; 1; 1; 0; 1; 1; 
webmaster bn:00080788n;0; 0; 1; 1; 1; 1; 1; 
clôturer bn:00085166v;0; 1; 1; 1; 1; 1; 1; 
bénéficier bn:00083413v;0; 1; 1; 1; 1; 1; 1; 
information bn:00046705n;0; 1; 0; 0; 0; 0; 1; 
connexion bn:00021902n;0; 1; 1; 1; 1; 1; 1; 
relationnelles bn:00109653a;0; 0; 0; 1; 0; 1; 1; 
langage d bn:01781054n;0; 1; 1; 1; 1; 1; 1; 
interrogation bn:00047208n;0; 0; 0; 1; 1; 0; 1; 
structured query language bn:02266432n;0; 0; 1; 0; 0; 0; 0; 
marché bn:00053458n;0; 1; 1; 1; 1; 1; 1; 
msql bn:00466439n;0; 0; 0; 1; 1; 1; 1; 
matériel bn:00021480n;0; 1; 1; 1; 1; 1; 1; 
order bn:02240223n;0; 0; 1; 0; 0; 1; 1; 
ordre alphabétique bn:00003059n;0; 0; 1; 1; 1; 1; 1; 
renvoyer bn:00093609v;0; 1; 1; 1; 1; 1; 1; 
réalité bn:00066414n;0; 0; 0; 0; 1; 1; 0; 
interviews bn:00047238n;0; 1; 1; 1; 1; 1; 1; 
local bn:00046665n;0; 1; 1; 1; 1; 1; 1; 
caractérisent bn:00083713v;0; 0; 1; 1; 1; 1; 1; 
isbn bn:00706122n;0; 1; 1; 1; 1; 1; 1; 
verbes bn:00079778n;0; 1; 1; 1; 1; 1; 1; 
aussi bn:00115484r;0; 1; 1; 1; 1; 1; 1; 
varier bn:00082554v;0; 1; 1; 1; 1; 1; 1; 
contradictoire bn:00100247a;0; 1; 1; 1; 1; 1; 1; 
téléphone bn:00062020n;0; 0; 1; 0; 1; 1; 0; 
lieu de travail bn:04726566n;0; 1; 1; 1; 1; 1; 1; 
bureau bn:00001961n;0; 1; 1; 1; 1; 1; 1; 
final bn:01755798n;0; 1; 1; 1; 0; 1; 1; 
loin bn:00114455r;0; 1; 1; 1; 1; 1; 1; 
clé étrangère bn:01944370n;0; 1; 1; 1; 0; 1; 0; 
complexes bn:00100148a;0; 1; 0; 0; 0; 0; 1; 
relation binaires bn:14410550n;0; 1; 1; 1; 1; 1; 1; 
etudiants bn:00029806n;0; 1; 1; 1; 1; 0; 1; 
focaliser bn:00088404v;0; 1; 1; 1; 1; 1; 1; 
vitesse bn:00073258n;0; 1; 1; 1; 0; 1; 0; 
vitesse de traitement bn:00050126n;0; 1; 1; 1; 1; 1; 1; 
automatique bn:00097823a;0; 1; 1; 0; 1; 1; 1; 
varchar bn:01838409n;0; 1; 1; 0; 0; 0; 1; 
longueur bn:00050662n;0; 1; 1; 1; 0; 0; 1; 
stocker bn:00095635v;0; 1; 1; 1; 1; 1; 1; 
ordre bn:00020945n;0; 1; 1; 1; 1; 1; 1; 
premier bn:00034738n;0; 0; 0; 0; 0; 1; 0; 
time bn:03389905n;0; 1; 1; 0; 0; 0; 1; 
timestamp bn:03603649n;0; 0; 1; 1; 0; 0; 1; 
program files bn:14876712n;0; 0; 1; 1; 1; 1; 1; 
root bn:00168023n;0; 1; 1; 1; 1; 0; 1; 
machine bn:00054050n;0; 0; 1; 0; 0; 0; 0; 
utilisateur root bn:01998267n;0; 1; 1; 1; 1; 1; 1; 
administrateur bn:00075765n;0; 0; 0; 0; 0; 1; 1; 
désinstallation bn:03478637n;0; 0; 0; 0; 1; 0; 1; 
easyphp bn:14837849n;0; 0; 0; 0; 0; 1; 1; 
casse bn:03225002n;0; 0; 0; 1; 1; 0; 1; 
niveau logique bn:03372646n;0; 1; 1; 1; 1; 1; 1; 
séquence bn:00070574n;0; 0; 1; 1; 0; 1; 0; 
sauvegarder bn:00093281v;0; 0; 1; 0; 0; 0; 0; 
supprimer bn:00086081v;0; 0; 1; 0; 1; 1; 1; 
évoquer bn:00092425v;0; 1; 1; 1; 1; 1; 1; 
clé primaire bn:03542434n;0; 1; 1; 0; 1; 0; 1; 
structure bn:00094491v;0; 1; 0; 1; 0; 1; 1; 
jour bn:00000086n;0; 0; 1; 0; 0; 1; 0; 
insert bn:03795444n;0; 0; 1; 0; 0; 1; 0; 
existence bn:00009676n;0; 1; 1; 1; 1; 0; 1; 
contrainte bn:00022062n;0; 1; 1; 0; 0; 1; 1; 
delete bn:00941697n;0; 0; 1; 0; 0; 0; 0; 
mise à jour bn:15364261n;0; 1; 1; 0; 0; 1; 1; 
générateur bn:03384822n;0; 1; 1; 1; 1; 1; 1; 
générateur de code bn:01151877n;0; 1; 1; 1; 1; 1; 1; 
connaissance bn:00020452n;0; 1; 1; 1; 1; 1; 1; 
menu contextuel bn:03615391n;0; 0; 1; 1; 1; 1; 1; 
visualiser bn:00095548v;0; 0; 0; 0; 1; 1; 1; 
fines bn:15413867n;0; 1; 1; 1; 1; 1; 1; 
penser à bn:00089804v;0; 1; 1; 1; 1; 1; 1; 
générale bn:00103507a;0; 0; 0; 0; 1; 1; 0; 
deux bn:00000075n;0; 1; 1; 1; 0; 1; 1; 
plusieurs bn:00110470a;0; 1; 1; 1; 1; 1; 1; 
assemblage bn:04781999n;0; 1; 1; 1; 1; 1; 1; 
spécifiques bn:00111003a;0; 1; 1; 1; 1; 1; 1; 
caractère génériques bn:03157099n;0; 1; 1; 1; 1; 1; 1; 
filtrage bn:00259585n;0; 1; 1; 1; 1; 0; 1; 
limiter bn:00086468v;0; 1; 1; 1; 1; 1; 0; 
critère bn:00023853n;0; 0; 0; 1; 0; 1; 1; 
doublon bn:16572688n;0; 1; 1; 1; 1; 1; 1; 
conceptuel bn:00100194a;0; 1; 1; 1; 1; 1; 1; 
vertu bn:00017935n;0; 1; 1; 1; 1; 1; 1; 
jointure bn:00048368n;0; 1; 1; 1; 0; 1; 1; 
fusionner bn:00090745v;0; 1; 1; 1; 1; 1; 1; 
ambiguïtés bn:00003266n;0; 1; 0; 1; 0; 1; 1; 
pouvoir bn:00084451v;0; 0; 1; 0; 1; 1; 0; 
naître bn:00082757v;0; 1; 1; 1; 1; 1; 1; 
exister bn:00083184v;0; 1; 1; 1; 0; 1; 0; 
bibliographie bn:00010224n;0; 1; 1; 1; 1; 1; 1; 
type de valeurs bn:00253515n;0; 1; 1; 1; 0; 1; 1; 
concret bn:00100206a;0; 1; 1; 1; 1; 1; 1; 
impossible bn:00104687a;0; 0; 1; 1; 0; 0; 1; 
normale bn:00107587a;0; 0; 1; 1; 1; 1; 1; 
émettre bn:00089922v;0; 1; 1; 1; 1; 1; 1; 
tel bn:00111411a;0; 1; 1; 1; 1; 1; 1; 
intermédiaire bn:00047121n;0; 1; 1; 1; 1; 1; 1; 
train bn:00066028n;0; 1; 1; 1; 1; 1; 1; 
caractéristique bn:00099532a;0; 1; 1; 1; 1; 0; 1; 
notamment bn:00115235r;0; 1; 1; 1; 0; 0; 1; 
grand nombre bn:14223782n;0; 0; 1; 1; 0; 1; 0; 
maîtriser bn:00085748v;0; 1; 1; 1; 1; 1; 1; 
fonction de base bn:03294262n;0; 0; 0; 1; 1; 1; 0; 
angle bn:00004117n;0; 1; 1; 1; 1; 1; 1; 
avérer bn:00095117v;0; 1; 1; 1; 1; 0; 1; 
déroulement bn:00035391n;0; 1; 1; 1; 1; 1; 1; 
musique bn:00056443n;0; 1; 1; 1; 1; 1; 1; 
acteurs bn:00001176n;0; 1; 1; 1; 1; 1; 1; 
cerner bn:01771517n;0; 1; 1; 1; 1; 1; 1; 
être étendue bn:00090322v;0; 1; 1; 1; 1; 1; 1; 
public bn:00109211a;0; 0; 1; 1; 0; 0; 1; 
supposition bn:00006559n;0; 1; 1; 1; 1; 1; 1; 
confronter bn:00087597v;0; 1; 1; 1; 1; 1; 1; 
intranet bn:00047269n;0; 0; 1; 1; 1; 1; 1; 
avoir envie de bn:00088107v;0; 1; 1; 1; 1; 1; 0; 
dérouler bn:00089389v;0; 1; 1; 1; 1; 1; 1; 
relation de un à un bn:04753252n;0; 1; 1; 1; 1; 1; 1; 
démarrer bn:00083342v;0; 0; 0; 0; 0; 1; 0; 
instanciation bn:00046945n;0; 1; 1; 1; 1; 1; 1; 
modélisation bn:04905771n;0; 1; 1; 1; 1; 1; 1; 
simplifier bn:00087951v;0; 1; 0; 1; 1; 0; 1; 
être utiles bn:00085368v;0; 0; 0; 1; 0; 1; 0; 
potentiels bn:00108830a;0; 1; 1; 1; 1; 1; 1; 
