X;C1.csv;C2.csv;C4.csv;C7.csv;C8.csv;C9.csv
boucle while;0;0.111111;0.111111;0.111111;0;0
jour;0;0.2;0.2;0.2;0;0.2
euro;0;0.333333;0.333333;0.333333;0.333333;0.333333
etc;0;0.2;0.2;0.2;0.2;0
programmation;0;0;0;0.0588235;0.0588235;0
détruire;0;0.111111;0.111111;0;0.111111;0
second;0;0.2;0.2;0.2;0.2;0
ordinateur;0;0.2;0.2;0.2;0.2;0
université de rouen;0.333333;0;0.333333;0.333333;0.333333;0.333333
france;0.2;0;0.2;0;0.2;0.2
langage de programmation;0.2;0;0;0.2;0.2;0.2
évolué;0.333333;0;0.333333;0.333333;0.333333;0.333333
crée;0.333333;0;0.333333;0.333333;0.333333;0.333333
langage de script;0.0588235;0;0;0;0.0588235;0
interpréter;0.2;0;0.2;0.2;0;0.2
côté serveur;0.2;0;0.2;0.2;0.2;0
serveur;0.0588235;0;0;0.0588235;0;0
côté client;0.333333;0;0.333333;0.333333;0.333333;0.333333
manuel;0.333333;0;0.333333;0.333333;0.333333;0.333333
français;0.333333;0;0.333333;0.333333;0.333333;0.333333
typage;0.111111;0;0.111111;0;0.111111;0
attention;0.333333;0;0.333333;0.333333;0.333333;0.333333
faute de frappe;0.333333;0;0.333333;0.333333;0.333333;0.333333
entiers;0.111111;0;0.111111;0;0.111111;0
3.14;0.333333;0;0.333333;0.333333;0.333333;0.333333
printf;0.2;0;0.2;0.2;0.2;0
comparaison;0.111111;0;0.111111;0.111111;0;0
switch;0.030303;0;0;0;0;0
expr;0.333333;0;0.333333;0.333333;0.333333;0.333333
spécifique;0.333333;0;0.333333;0.333333;0.333333;0.333333
foreach;0.030303;0;0;0;0;0
pointeur;0.333333;0;0.333333;0.333333;0.333333;0.333333
list;0.111111;0;0;0.111111;0.111111;0
inverse;0.333333;0;0.333333;0.333333;0.333333;0.333333
trie;0.333333;0;0.333333;0.333333;0.333333;0.333333
concaténation;0.2;0;0.2;0.2;0.2;0
accès;0.333333;0;0.333333;0.333333;0.333333;0.333333
strcmp;0.333333;0;0.333333;0.333333;0.333333;0.333333
trim;0.2;0;0.2;0.2;0.2;0
casse;0.333333;0;0.333333;0.333333;0.333333;0.333333
occurence;0.333333;0;0.333333;0.333333;0.333333;0.333333
décompte;0.333333;0;0.333333;0.333333;0.333333;0.333333
valeur de retour;0.2;0;0.2;0.2;0.2;0
passage par référence;0.2;0;0;0.2;0.2;0.2
traiter;0.333333;0;0.333333;0.333333;0.333333;0.333333
méthode;0.030303;0;0;0;0;0
navigation;0.2;0;0;0.2;0.2;0.2
rouen;0.333333;0;0.333333;0.333333;0.333333;0.333333
code postal;0.333333;0;0.333333;0.333333;0.333333;0.333333
cle;0.0588235;0;0;0.0588235;0;0
mot;0.111111;0;0;0.111111;0.111111;0
mot de passe;0.2;0;0.2;0.2;0;0.2
rows;0.2;0;0.2;0.2;0.2;0
bouton radio;0.333333;0;0.333333;0.333333;0.333333;0.333333
radio;0.111111;0;0;0.111111;0.111111;0
multiple;0.2;0;0.2;0.2;0.2;0
touche ctrl;0.333333;0;0.333333;0.333333;0.333333;0.333333
transfert de fichier;0.333333;0;0.333333;0.333333;0.333333;0.333333
fread;0.2;0;0;0.2;0.2;0.2
fin de fichier;0.333333;0;0.333333;0.333333;0.333333;0.333333
existence;0.333333;0;0.333333;0.333333;0.333333;0.333333
carte d’identité;0.333333;0;0.333333;0.333333;0.333333;0.333333
mémoire vive;0.333333;0;0.333333;0.333333;0.333333;0.333333
timestamp;0.2;0;0.2;0;0.2;0.2
vouloir;0.333333;0;0.333333;0.333333;0.333333;0.333333
session;0.111111;0;0;0;0.111111;0.111111
temps;0.0588235;0;0;0;0.0588235;0
généralement;0.333333;0;0.333333;0.333333;0.333333;0.333333
min;0.333333;0;0.333333;0.333333;0.333333;0.333333
correct;0.333333;0;0.333333;0.333333;0.333333;0.333333
exe;0.333333;0;0.333333;0.333333;0.333333;0.333333
xhtml;0.333333;0;0.333333;0.333333;0.333333;0.333333
2.0;0.333333;0;0.333333;0.333333;0.333333;0.333333
programmation web;0.333333;0.333333;0;0.333333;0.333333;0.333333
université antilles guyane;0.333333;0.333333;0;0.333333;0.333333;0.333333
feuilles de style;0.333333;0.333333;0;0.333333;0.333333;0.333333
pdf;0.333333;0.333333;0;0.333333;0.333333;0.333333
capable;0.333333;0.333333;0;0.333333;0.333333;0.333333
noël;0.333333;0.333333;0;0.333333;0.333333;0.333333
client http;0.333333;0.333333;0;0.333333;0.333333;0.333333
composer;0.333333;0.333333;0;0.333333;0.333333;0.333333
recommandation w3c;0.333333;0.333333;0;0.333333;0.333333;0.333333
w3c;0.2;0.2;0;0.2;0.2;0
head;0.333333;0.333333;0;0.333333;0.333333;0.333333
information;0.333333;0.333333;0;0.333333;0.333333;0.333333
êtres;0.333333;0.333333;0;0.333333;0.333333;0.333333
doctype;0.111111;0.111111;0;0.111111;0;0
structuration;0.2;0.2;0;0;0.2;0.2
sens;0.2;0.2;0;0.2;0;0.2
désormais;0.333333;0.333333;0;0.333333;0.333333;0.333333
paragraphe;0.333333;0.333333;0;0.333333;0.333333;0.333333
liste à puces;0.333333;0.333333;0;0.333333;0.333333;0.333333
insertion;0.333333;0.333333;0;0.333333;0.333333;0.333333
inline;0.333333;0.333333;0;0.333333;0.333333;0.333333
uvre;0.333333;0.333333;0;0.333333;0.333333;0.333333
h2;0.333333;0.333333;0;0.333333;0.333333;0.333333
disponibilité;0.333333;0.333333;0;0.333333;0.333333;0.333333
arial;0.333333;0.333333;0;0.333333;0.333333;0.333333
times;0.2;0.2;0;0.2;0.2;0
chose;0.333333;0.333333;0;0.333333;0.333333;0.333333
texte gras;0.333333;0.333333;0;0.333333;0.333333;0.333333
rouge;0.2;0.2;0;0.2;0.2;0
abuser;0.333333;0.333333;0;0.333333;0.333333;0.333333
css 3;0.333333;0.333333;0;0.333333;0.333333;0.333333
souris;0.333333;0.333333;0;0.333333;0.333333;0.333333
positionnement;0.333333;0.333333;0;0.333333;0.333333;0.333333
anglais;0.2;0.2;0;0.2;0.2;0
dtd;0.2;0.2;0;0.2;0.2;0
charset;0.333333;0.333333;0;0.333333;0.333333;0.333333
auto;0.333333;0.333333;0;0.333333;0.333333;0.333333
droite;0.333333;0.333333;0;0.333333;0.333333;0.333333
comportement;0.2;0.2;0;0.2;0.2;0
allonger;0.333333;0.333333;0;0.333333;0.333333;0.333333
chevauchements;0.333333;0.333333;0;0.333333;0.333333;0.333333
em;0.333333;0.333333;0;0.333333;0.333333;0.333333
active server pages;0.333333;0.333333;0;0.333333;0.333333;0.333333
microsoft;0.2;0.2;0;0.2;0.2;0
exécutable;0.333333;0.333333;0;0.333333;0.333333;0.333333
connaissance;0.333333;0.333333;0;0.333333;0.333333;0.333333
langage c;0.2;0.2;0;0.2;0.2;0
nécessaire;0.333333;0.333333;0;0.333333;0.333333;0.333333
transtypage;0.333333;0.333333;0;0.333333;0.333333;0.333333
sensibles;0.333333;0.333333;0;0.333333;0.333333;0.333333
nombre à virgule flottante;0.2;0.2;0;0.2;0.2;0
c++;0.333333;0.333333;0;0.333333;0.333333;0.333333
dictionnaires;0.333333;0.333333;0;0.333333;0.333333;0.333333
table de hachage;0.333333;0.333333;0;0.333333;0.333333;0.333333
hachage;0.333333;0.333333;0;0.333333;0.333333;0.333333
bois;0.333333;0.333333;0;0.333333;0.333333;0.333333
unset;0.2;0.2;0;0.2;0.2;0
