X;C1;C10;C2;C4;C7;C8;C9
macos;0;0.0153846;0;0;0;0;0
windows;0;0.0153846;0;0;0;0;0
emacs;0;0.0153846;0;0;0;0;0
nano;0;0.0153846;0;0;0;0;0
langage c;0;0.0588235;0;0.0833333;0;0;0.0851064
attribut;0;0.030303;0;0;0;0;0.0444444
integer;0;0.030303;0;0;0;0.0555556;0
super;0;0.030303;0;0;0.0454545;0;0
type;0;0.111111;0.150943;0;0.16;0;0.156863
concaténation;0;0.0588235;0.0816327;0;0;0;0.0851064
opérateur logiques;0;0.030303;0;0;0;0;0.0444444
multiplication;0;0.0588235;0;0.0833333;0;0;0.0851064
division;0;0.030303;0;0;0;0;0.0444444
valeur numérique;0;0.030303;0;0;0;0;0.0444444
comparaison;0;0.114286;0.113208;0;0;0.142857;0.14
égal;0;0.0588235;0;0.0833333;0;0;0.0851064
inférieur;0;0.030303;0;0;0;0;0.0444444
mathématiques;0;0.0153846;0;0;0;0;0
extraction;0;0.0153846;0;0;0;0;0
procédural;0;0.0153846;0;0;0;0;0
capables;0;0.030303;0;0.0434783;0;0;0
tableau associatifs;0;0.030303;0;0;0.0454545;0;0
hash;0;0.030303;0;0.0434783;0;0;0
sizeof;0;0.030303;0;0;0;0;0.0444444
foreach;0;0.4;0.328571;0.314286;0.323529;0.28125;0.338235
cle;0;0.216216;0.20339;0.206897;0;0.2;0.232143
rappel;0;0.112676;0;0.134615;0.14;0;0.137255
serveur;0;0.216216;0.20339;0.206897;0;0.2;0.232143
unix;0;0.0153846;0;0;0;0;0
page;0;0.0153846;0;0;0;0;0
communication;0;0.0153846;0;0;0;0;0
possibilité;0;0.0588235;0;0.0833333;0;0;0.0851064
interpréter;0;0.0597015;0.0612245;0;0;0.0789474;0
linux;0;0.030303;0;0;0;0;0.0444444
line;0;0.0153846;0;0;0;0;0
rows;0;0.0588235;0.0816327;0;0;0;0.0851064
query string;0;0.0153846;0;0;0;0;0
clique;0;0.0153846;0;0;0;0;0
analyser;0;0.0153846;0;0;0;0;0
variables;0;0.0153846;0;0;0;0;0
transaction;0;0.030303;0;0;0;0;0.0444444
femme;0;0.0588235;0;0;0;0.105263;0.0851064
côté client;0;0.030303;0.0425532;0;0;0;0
ok;0;0.0153846;0;0;0;0;0
droit;0;0.030303;0;0.0434783;0;0;0
générique;0;0.0153846;0;0;0;0;0
échouer;0;0.0153846;0;0;0;0;0
