Concept ID;Level;Type Obj/Att;Nb Obj;Nb Att;Objects/Attributes;
91;1;Objects;10;1;fichier bn:00021475n;code bn:00020354n;post bn:01500184n;utilisateur bn:00079373n;site bn:00047172n;afficher bn:00087013v;foreach bn:03463379n;header bn:00043309n;wamp bn:01708928n;realisateur bn:00027369n;
91;1;Attributes;10;1;C19;
92;1;Objects;10;1;php bn:01753580n;langage bn:00049910n;syntaxe bn:00062118n;structure de contrôle bn:00047734n;méthode post bn:00045088n;programmation bn:00021493n;types bn:00016413n;langage de script bn:01431715n;chaîne bn:00074685n;fonctionnalité bn:00036836n;
92;1;Attributes;10;1;C12;
93;1;Objects;11;1;base de donnée bn:00025333n;donnée bn:00025314n;nombre bn:00058285n;sélectionner bn:00084931v;mysql bn:01225760n;entités bn:00031027n;langage de script bn:01431715n;nécessaire bn:00107182a;helvetica bn:00043646n;information bn:00046705n;impossible bn:00104687a;
93;1;Attributes;11;1;C11;
94;1;Objects;12;1;donnée bn:00025314n;nombre bn:00058285n;text bn:14981519n;zones bn:00005513n;mysql bn:01225760n;types bn:00016413n;langage de script bn:01431715n;afficher bn:00087013v;mot bn:00081546n;visiteur bn:03106425n;moteur bn:00030850n;transaction bn:01403911n;
94;1;Attributes;12;1;C9;
95;1;Objects;13;1;client bn:00019764n;texte bn:00076732n;url bn:00079080n;nombre bn:00058285n;text bn:14981519n;site bn:00047172n;internet bn:00024712n;système bn:15125301n;menu bn:00021485n;serveur bn:00044916n;sauvegarder bn:00093281v;couleurs bn:00020726n;id bn:03885719n;
95;1;Attributes;13;1;C13;
96;1;Objects;14;1;client bn:00019764n;case à cocher bn:03157691n;utilisateur bn:00079373n;passwd bn:14874750n;mysql bn:01225760n;programmation bn:00021493n;types bn:00016413n;web bn:00080772n;méthode bn:01641329n;foreach bn:03463379n;programmation web bn:03446093n;classes bn:03608262n;attribut bn:00007068n;head bn:02338897n;
96;1;Attributes;14;1;C16;
97;1;Objects;15;1;page web bn:00080778n;navigateur bn:00013447n;serveur web bn:02705179n;texte bn:00076732n;concerner bn:00083240v;délimiter bn:00086464v;post bn:01500184n;nombre bn:00058285n;zones bn:00005513n;utilisateur bn:00079373n;associer bn:00082868v;personne bn:00046516n;machine bn:00054050n;mysql bn:01225760n;salaire bn:15928884n;
97;1;Attributes;15;1;C1;
