X ; fichier bn:00021475n ; client bn:00019764n ; base de donnée bn:00025333n ; donnée bn:00025314n ; php bn:01753580n ; code bn:00020354n ; nombre bn:00058285n ; salaire bn:15928884n ; site bn:00047172n ; types bn:00016413n ; langage de script bn:01431715n ; serveur bn:00044916n ; chaîne bn:00074685n ; helvetica bn:00043646n ; pouvoir bn:00084451v ; positionnement bn:00030615n ; thomas bn:00005240n ; symfony bn:02798620n ; inverse bn:00056301n ; info bn:00046698n ; realisateur bn:00027369n ; généralité bn:00041249n ; autre bn:00108013a
langage de script bn:01431715n ; 0.181818 ; 0.117647 ; 0.194444 ; 0.25 ; 0.409091 ; 0.130435 ; 0.233333 ; 0.0909091 ; 0.172414 ; 0.322581 ; 1 ; 0.2 ; 0.333333 ; 0.1 ; 0.047619 ; 0.047619 ; 0.1 ; 0.1 ; 0.1 ; 0.1 ; 0.1 ; 0.1 ; 0.1
serveur bn:00044916n ; 0.25 ; 0.047619 ; 0.08 ; 0.0740741 ; 0.363636 ; 0.25 ; 0.05 ; 0.142857 ; 0.125 ; 0.0869565 ; 0.2 ; 1 ; 0.0909091 ; 0.2 ; 0.2 ; 0.2 ; 0.5 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.5 ; 0.5
chaîne bn:00074685n ; 0.166667 ; 0.181818 ; 0.148148 ; 0.137931 ; 0.117647 ; 0.0769231 ; 0.470588 ; 0.2 ; 0.1 ; 0.318182 ; 0.333333 ; 0.0909091 ; 1 ; 0.25 ; 0.111111 ; 0.111111 ; 0.111111 ; 0.25 ; 0.25 ; 0.25 ; 0.25 ; 0.111111 ; 0.111111
helvetica bn:00043646n ; 0.333333 ; 0.111111 ; 0.0416667 ; 0.0384615 ; 0.181818 ; 0.142857 ; 0.117647 ; 0.2 ; 0.0666667 ; 0.0952381 ; 0.1 ; 0.2 ; 0.25 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
pouvoir bn:00084451v ; 0.142857 ; 0.111111 ; 0.0416667 ; 0.0384615 ; 0.0833333 ; 0.142857 ; 0.0555556 ; 0.5 ; 0.0666667 ; 0.0952381 ; 0.047619 ; 0.2 ; 0.111111 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
positionnement bn:00030615n ; 0.142857 ; 0.111111 ; 0.0869565 ; 0.08 ; 0.0833333 ; 0.142857 ; 0.117647 ; 0.2 ; 0.142857 ; 0.0454545 ; 0.047619 ; 0.2 ; 0.111111 ; 0.333333 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
thomas bn:00005240n ; 0.142857 ; 0.0526316 ; 0.0416667 ; 0.0384615 ; 0.181818 ; 0.333333 ; 0.0555556 ; 0.2 ; 0.0666667 ; 0.0952381 ; 0.1 ; 0.5 ; 0.111111 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 1
symfony bn:02798620n ; 0.142857 ; 0.111111 ; 0.0869565 ; 0.08 ; 0.0833333 ; 0.142857 ; 0.117647 ; 0.5 ; 0.0666667 ; 0.0952381 ; 0.1 ; 0.2 ; 0.25 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 1 ; 1 ; 0.333333 ; 0.333333 ; 0.333333
inverse bn:00056301n ; 0.142857 ; 0.111111 ; 0.0869565 ; 0.08 ; 0.0833333 ; 0.142857 ; 0.117647 ; 0.5 ; 0.0666667 ; 0.0952381 ; 0.1 ; 0.2 ; 0.25 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 1 ; 1 ; 0.333333 ; 0.333333 ; 0.333333
info bn:00046698n ; 0.142857 ; 0.111111 ; 0.0869565 ; 0.08 ; 0.0833333 ; 0.142857 ; 0.117647 ; 0.5 ; 0.0666667 ; 0.0952381 ; 0.1 ; 0.2 ; 0.25 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 1 ; 1 ; 0.333333 ; 0.333333 ; 0.333333
realisateur bn:00027369n ; 0.142857 ; 0.0526316 ; 0.0869565 ; 0.08 ; 0.0833333 ; 0.142857 ; 0.117647 ; 0.2 ; 0.142857 ; 0.0952381 ; 0.1 ; 0.2 ; 0.25 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 0.333333 ; 0.333333
généralité bn:00041249n ; 0.142857 ; 0.0526316 ; 0.0416667 ; 0.0384615 ; 0.181818 ; 0.333333 ; 0.0555556 ; 0.2 ; 0.0666667 ; 0.0952381 ; 0.1 ; 0.5 ; 0.111111 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 1
autre bn:00108013a ; 0.142857 ; 0.0526316 ; 0.0416667 ; 0.0384615 ; 0.181818 ; 0.333333 ; 0.0555556 ; 0.2 ; 0.0666667 ; 0.0952381 ; 0.1 ; 0.5 ; 0.111111 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 1
