X ; C1 ; C11 ; C12 ; C13 ; C14 ; C15 ; C16 ; C17 ; C18 ; C19 ; C2 ; C3 ; C4 ; C5 ; C6 ; C7 ; C8 ; C9
nombre bn:00058285n ; 0 ; 0 ; 0.0460526 ; 0 ; 0.0350877 ; 0 ; 0 ; 0 ; 0 ; 0.0438596 ; 0 ; 0 ; 0.0307018 ; 0.0592105 ; 0 ; 0.0263158 ; 0.0285088 ; 0
text bn:14981519n ; 0.0372807 ; 0.114035 ; 0.203947 ; 0 ; 0 ; 0.129386 ; 0.120614 ; 0 ; 0.0372807 ; 0.149123 ; 0.0899123 ; 0.269737 ; 0.0964912 ; 0.199561 ; 0.20614 ; 0 ; 0 ; 0
sélectionner bn:00084931v ; 0.00877193 ; 0 ; 0 ; 0 ; 0 ; 0.00877193 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00877193 ; 0 ; 0 ; 0
langage bn:00049910n ; 0.0219298 ; 0 ; 0 ; 0 ; 0 ; 0.0328947 ; 0.0482456 ; 0 ; 0 ; 0.0526316 ; 0 ; 0.0657895 ; 0 ; 0.0570175 ; 0 ; 0 ; 0.0219298 ; 0.0526316
zones bn:00005513n ; 0 ; 0.0175439 ; 0 ; 0.0131579 ; 0.0219298 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0197368 ; 0 ; 0 ; 0.0285088 ; 0 ; 0 ; 0
utilisateur bn:00079373n ; 0 ; 0.0986842 ; 0.182018 ; 0 ; 0.0679825 ; 0.125 ; 0 ; 0.0679825 ; 0.0328947 ; 0 ; 0 ; 0.223684 ; 0.0855263 ; 0.155702 ; 0.188596 ; 0 ; 0 ; 0.0942982
personne bn:00046516n ; 0 ; 0.0285088 ; 0.0504386 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0570175 ; 0.0307018 ; 0.0504386 ; 0 ; 0 ; 0.0197368 ; 0.0394737
méthode post bn:00045088n ; 0 ; 0.0701754 ; 0 ; 0 ; 0 ; 0 ; 0.0986842 ; 0.0438596 ; 0.0285088 ; 0.0745614 ; 0.0592105 ; 0.142544 ; 0 ; 0 ; 0.116228 ; 0.0438596 ; 0.0241228 ; 0.0679825
passwd bn:14874750n ; 0.00438596 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00438596 ; 0 ; 0 ; 0 ; 0
mysql bn:01225760n ; 0 ; 0 ; 0.173246 ; 0.0328947 ; 0.0811404 ; 0.116228 ; 0 ; 0.0789474 ; 0 ; 0.114035 ; 0 ; 0.184211 ; 0.0855263 ; 0.135965 ; 0.151316 ; 0 ; 0 ; 0
salaire bn:15928884n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00438596 ; 0 ; 0 ; 0 ; 0.00438596 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
site bn:00047172n ; 0.0175439 ; 0 ; 0.0350877 ; 0 ; 0 ; 0 ; 0.0372807 ; 0 ; 0 ; 0 ; 0.0263158 ; 0.0416667 ; 0 ; 0.0350877 ; 0 ; 0 ; 0 ; 0
types bn:00016413n ; 0 ; 0.0504386 ; 0 ; 0 ; 0.0460526 ; 0.0570175 ; 0 ; 0 ; 0 ; 0.0701754 ; 0 ; 0.0986842 ; 0 ; 0.0942982 ; 0.0877193 ; 0.0350877 ; 0 ; 0
session bn:03751534n ; 0 ; 0.0394737 ; 0.0460526 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0460526 ; 0 ; 0.0657895 ; 0 ; 0.0548246 ; 0.0526316 ; 0 ; 0 ; 0
langage de script bn:01431715n ; 0 ; 0 ; 0 ; 0.0197368 ; 0.0307018 ; 0 ; 0.0372807 ; 0 ; 0 ; 0.0350877 ; 0.0350877 ; 0 ; 0 ; 0.0482456 ; 0.0504386 ; 0 ; 0 ; 0
afficher bn:00087013v ; 0 ; 0.0438596 ; 0.0657895 ; 0 ; 0 ; 0 ; 0.0526316 ; 0.0482456 ; 0 ; 0 ; 0 ; 0.0767544 ; 0.0394737 ; 0 ; 0.0701754 ; 0 ; 0 ; 0
nécessaire bn:00107182a ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0131579 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0175439 ; 0.0131579 ; 0 ; 0.0153509 ; 0 ; 0 ; 0
serveur bn:00044916n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00438596 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00438596 ; 0 ; 0 ; 0
chaîne bn:00074685n ; 0 ; 0 ; 0 ; 0 ; 0.0131579 ; 0 ; 0 ; 0 ; 0 ; 0.0153509 ; 0 ; 0 ; 0 ; 0.0175439 ; 0 ; 0 ; 0.0131579 ; 0
