;C1;C2;C3;C4;C5;C6;C7;C8;C9;C10;CJA
url bn:00079080n;0; 1; 0; 0; 0; 1; 0; 1; 0; 0; 0; 
textuels bn:00111786a;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
case à cocher bn:03157691n;0; 0; 1; 0; 1; 0; 1; 1; 0; 1; 1; 
page web dynamique bn:00937946n;0; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
champ de saisie bn:03113401n;0; 0; 1; 0; 1; 1; 1; 0; 0; 0; 1; 
size bn:03645138n;0; 1; 0; 1; 0; 1; 1; 0; 1; 0; 0; 
text bn:14981519n;0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 
vide bn:00087578v;0; 1; 1; 1; 1; 1; 1; 1; 1; 0; 0; 
liste déroulante bn:00028831n;0; 1; 1; 0; 1; 0; 1; 1; 1; 1; 1; 
sélectionner bn:00084931v;0; 1; 1; 1; 1; 0; 1; 1; 1; 0; 0; 
déclencher bn:00082306v;0; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
réinitialisation bn:00067306n;0; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
langage impératif bn:01246770n;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
impératif bn:00104644a;0; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
zones bn:00005513n;0; 1; 0; 1; 1; 0; 1; 1; 0; 1; 1; 
utilisateur bn:00079373n;0; 1; 0; 0; 0; 0; 1; 1; 0; 0; 0; 
affectation bn:02806034n;0; 0; 0; 1; 1; 0; 0; 1; 1; 0; 0; 
booléen bn:00294693n;0; 0; 0; 0; 1; 1; 0; 0; 1; 0; 0; 
réalité bn:00066414n;0; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
concatène bn:00085508v;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
addition bn:00001296n;0; 1; 0; 1; 1; 0; 1; 1; 0; 0; 1; 
soustraction bn:00055233n;0; 1; 1; 1; 1; 0; 1; 1; 0; 0; 0; 
multiplié bn:00090977v;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
modulo bn:00553864n;0; 1; 0; 1; 1; 1; 1; 1; 0; 0; 0; 
égalité bn:00031284n;0; 1; 1; 0; 0; 1; 1; 1; 1; 1; 1; 
logiques bn:00051845n;0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 
syntaxe bn:00062118n;0; 1; 0; 0; 0; 0; 1; 1; 0; 0; 0; 
case bn:04777941n;0; 0; 0; 1; 1; 0; 0; 1; 0; 0; 0; 
associer bn:00082868v;0; 1; 0; 1; 0; 0; 1; 1; 0; 0; 0; 
personne bn:00046516n;0; 1; 0; 0; 0; 0; 1; 0; 0; 0; 1; 
prenom bn:15996005n;0; 1; 1; 1; 0; 0; 0; 0; 0; 0; 1; 
structure de contrôle bn:00047734n;0; 0; 0; 1; 0; 0; 1; 1; 0; 1; 0; 
définition bn:00025928n;0; 1; 0; 0; 0; 0; 1; 1; 0; 0; 0; 
initialiser bn:00089742v;0; 0; 0; 1; 0; 0; 0; 1; 1; 1; 0; 
dépendre bn:00086606v;0; 1; 0; 1; 1; 0; 1; 1; 1; 0; 0; 
fermeture bn:16858148n;0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
passwd bn:14874750n;0; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
machine bn:00054050n;0; 1; 0; 1; 0; 0; 1; 1; 1; 0; 0; 
mysql bn:01225760n;0; 1; 0; 0; 0; 0; 1; 1; 0; 0; 1; 
salaire bn:15928884n;0; 1; 1; 1; 1; 1; 1; 0; 1; 0; 1; 
phase bn:00061898n;0; 1; 1; 1; 0; 0; 1; 1; 1; 1; 0; 
être utile bn:00085368v;0; 1; 0; 1; 1; 0; 1; 1; 1; 1; 0; 
boucle while bn:03237310n;0; 1; 1; 1; 1; 1; 1; 0; 0; 0; 0; 
jour bn:00000086n;0; 1; 0; 1; 1; 0; 1; 0; 1; 0; 0; 
euro bn:00031888n;0; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
etc bn:00114282r;0; 1; 0; 1; 0; 0; 1; 1; 0; 0; 1; 
programmation bn:00021493n;0; 0; 0; 0; 0; 0; 1; 1; 0; 0; 0; 
détruire bn:00084204v;0; 1; 1; 1; 1; 1; 0; 1; 0; 0; 1; 
second bn:00105773a;0; 1; 0; 1; 1; 1; 1; 1; 0; 1; 1; 
ordinateur bn:00021464n;0; 1; 1; 1; 1; 0; 1; 1; 0; 0; 1; 
développement web bn:03446093n;1; 1; 1; 0; 0; 0; 1; 1; 1; 0; 1; 
organisation bn:00059480n;1; 1; 1; 1; 1; 0; 1; 1; 1; 0; 0; 
premier bn:00103006a;1; 1; 0; 1; 1; 0; 1; 1; 1; 0; 0; 
devoir sur table bn:04973014n;1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 
semaine bn:00043484n;1; 1; 0; 1; 1; 0; 1; 1; 1; 0; 1; 
devoir maison bn:00044563n;1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 
interrogation bn:00047208n;1; 1; 1; 1; 0; 1; 1; 1; 1; 0; 0; 
générale bn:00103507a;1; 1; 1; 1; 1; 0; 1; 1; 1; 0; 0; 
explication bn:00000741n;1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 
front office bn:16857738n;1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 
front bn:00013389n;1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 
xamp bn:02350502n;1; 1; 0; 1; 0; 1; 1; 1; 0; 0; 1; 
internet bn:00024712n;1; 1; 0; 1; 0; 0; 1; 1; 0; 0; 0; 
faille de sécurité bn:00080285n;1; 1; 1; 1; 0; 1; 1; 1; 1; 0; 1; 
sql bn:02266432n;1; 1; 0; 1; 0; 0; 1; 0; 0; 0; 1; 
concret bn:00100206a;1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 0; 
chaîne bn:00074685n;1; 1; 0; 1; 0; 0; 0; 0; 0; 0; 0; 
header bn:00043309n;1; 1; 0; 1; 1; 0; 0; 1; 0; 0; 0; 
head bn:02338897n;1; 1; 1; 0; 0; 0; 1; 1; 1; 0; 1; 
informatique bn:00100175a;1; 1; 1; 1; 0; 0; 1; 1; 1; 0; 0; 
doctype bn:15839327n;1; 1; 1; 0; 0; 1; 1; 0; 0; 0; 1; 
w3c bn:02673666n;1; 1; 0; 0; 1; 0; 1; 1; 0; 0; 1; 
dtd bn:15232677n;1; 1; 1; 0; 1; 0; 1; 1; 0; 0; 1; 
firefox bn:01387235n;1; 1; 1; 1; 0; 1; 1; 1; 1; 0; 1; 
internet explorer bn:17346309n;1; 1; 1; 1; 0; 1; 1; 1; 1; 0; 1; 
internet explorer 9 bn:00863156n;1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 
moteur bn:00030850n;1; 1; 0; 1; 0; 0; 1; 1; 0; 0; 0; 
recherche bn:00067280n;1; 1; 1; 1; 1; 0; 1; 1; 1; 0; 1; 
descriptions bn:04723965n;1; 1; 1; 1; 0; 0; 1; 1; 1; 0; 1; 
précision bn:00641989n;1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 
paragraphe bn:00060556n;1; 1; 1; 0; 1; 1; 1; 1; 1; 0; 1; 
h2 bn:02803535n;1; 1; 1; 0; 0; 1; 1; 1; 1; 0; 1; 
terme technique bn:00048027n;1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 
tr bn:03561884n;1; 1; 1; 1; 0; 1; 1; 1; 1; 0; 1; 
insertion bn:02234787n;1; 1; 0; 0; 1; 1; 1; 1; 1; 0; 1; 
img bn:02450504n;1; 1; 0; 1; 1; 0; 1; 1; 1; 0; 1; 
infobulle bn:03850072n;1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 
balise html bn:02104867n;1; 1; 0; 1; 1; 0; 1; 1; 0; 0; 1; 
js bn:15539067n;1; 1; 1; 1; 0; 1; 1; 1; 1; 0; 1; 
css bn:00056944n;1; 1; 0; 1; 1; 1; 1; 1; 1; 0; 1; 
dns bn:03714295n;1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 
logique métier bn:00795795n;1; 1; 1; 1; 0; 1; 1; 1; 1; 0; 1; 
port 443 bn:00560835n;1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 
host bn:01846442n;1; 1; 1; 1; 0; 0; 1; 0; 0; 0; 1; 
uniform resource identifier bn:02569519n;1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 
ipv4 bn:00749818n;1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 
ipv6 bn:00749926n;1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 
visiter bn:00084426v;1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 
nom de domaine bn:00028143n;1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 
domaine bn:03853489n;1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 
sous-domaines bn:03725510n;1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 
configuration bn:03088982n;1; 1; 0; 1; 0; 1; 1; 1; 0; 0; 1; 
common gateway interface bn:03588331n;1; 1; 1; 1; 1; 0; 1; 1; 1; 0; 1; 
gateway bn:03381108n;1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 
lire bn:00066357n;1; 1; 0; 0; 0; 0; 1; 1; 0; 0; 0; 
langage de programmation bn:00064652n;1; 0; 0; 0; 0; 0; 1; 1; 1; 0; 0; 
paris bn:00015540n;1; 1; 1; 1; 1; 1; 1; 0; 0; 0; 1; 
langage de script bn:01431715n;1; 0; 0; 0; 0; 0; 0; 1; 0; 0; 1; 
côté serveur bn:03816678n;1; 0; 0; 1; 0; 0; 1; 1; 0; 0; 1; 
open source bn:01157392n;1; 1; 0; 1; 1; 1; 1; 1; 0; 0; 0; 
grand nombre bn:14223782n;1; 1; 0; 1; 1; 0; 1; 1; 0; 0; 1; 
facebook bn:03624775n;1; 1; 1; 1; 0; 1; 1; 1; 0; 0; 1; 
wikipédia bn:03288118n;1; 1; 1; 1; 1; 1; 1; 1; 0; 0; 0; 
opérateur bn:16281811n;1; 1; 0; 1; 1; 1; 1; 0; 1; 0; 1; 
installation bn:03478637n;1; 1; 1; 1; 0; 1; 1; 1; 1; 0; 0; 
wamp bn:01708928n;1; 1; 0; 1; 0; 1; 1; 1; 0; 0; 1; 
mamp bn:03197470n;1; 1; 1; 1; 0; 1; 1; 1; 0; 0; 1; 
éditeur de texte bn:00076736n;1; 1; 1; 1; 1; 1; 1; 1; 0; 0; 0; 
macos bn:01415427n;1; 1; 0; 1; 0; 1; 1; 1; 1; 0; 1; 
windows bn:00081305n;1; 1; 0; 1; 0; 0; 1; 1; 1; 0; 0; 
emacs bn:01156253n;1; 1; 1; 1; 1; 0; 1; 1; 1; 0; 1; 
nano bn:01478473n;1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 
langage c bn:00014377n;1; 1; 0; 0; 1; 1; 1; 1; 0; 0; 0; 
attribut bn:00007068n;1; 1; 1; 1; 0; 1; 1; 1; 0; 0; 0; 
integer bn:00691555n;1; 1; 0; 1; 0; 0; 1; 0; 1; 0; 0; 
super bn:17336345n;1; 1; 1; 1; 1; 1; 0; 1; 1; 0; 1; 
type bn:00016413n;1; 0; 0; 1; 0; 0; 0; 1; 0; 0; 0; 
concaténation bn:03489514n;1; 0; 1; 1; 0; 0; 1; 1; 0; 0; 0; 
opérateur logiques bn:00051853n;1; 1; 0; 1; 1; 0; 1; 1; 0; 0; 1; 
multiplication bn:00056300n;1; 1; 0; 0; 0; 0; 1; 1; 0; 0; 0; 
division bn:00027919n;1; 1; 0; 1; 1; 0; 1; 1; 0; 0; 0; 
valeur numérique bn:00000451n;1; 1; 0; 1; 1; 1; 1; 1; 0; 0; 1; 
comparaison bn:00021304n;1; 0; 0; 1; 1; 1; 1; 0; 0; 0; 0; 
égal bn:00102336a;1; 1; 0; 0; 1; 0; 1; 1; 0; 0; 0; 
inférieur bn:00035700n;1; 1; 1; 1; 1; 0; 1; 1; 0; 0; 0; 
mathématiques bn:00106488a;1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 
extraction bn:04915718n;1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 
procédural bn:00109049a;1; 1; 0; 1; 1; 1; 1; 1; 1; 0; 1; 
capables bn:00099215a;1; 1; 1; 0; 1; 1; 1; 1; 1; 0; 1; 
tableau associatifs bn:03848413n;1; 1; 1; 1; 0; 1; 0; 1; 1; 0; 1; 
hash bn:00583146n;1; 1; 0; 0; 0; 1; 1; 1; 1; 0; 0; 
sizeof bn:03205994n;1; 1; 1; 1; 1; 1; 1; 1; 0; 0; 1; 
foreach bn:03463379n;1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
cle bn:04756252n;1; 0; 0; 0; 1; 1; 1; 0; 0; 0; 1; 
rappel bn:03490040n;1; 1; 0; 0; 0; 0; 0; 1; 0; 0; 1; 
serveur bn:00044916n;1; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 
unix bn:00079165n;1; 1; 0; 1; 0; 1; 1; 1; 1; 0; 0; 
page bn:00060158n;1; 1; 0; 1; 1; 1; 1; 1; 1; 0; 1; 
communication bn:00021221n;1; 1; 1; 1; 0; 0; 1; 1; 1; 0; 0; 
possibilité bn:00045632n;1; 1; 1; 0; 0; 0; 1; 1; 0; 0; 0; 
interpréter bn:00089840v;1; 0; 1; 1; 0; 1; 1; 0; 1; 0; 1; 
linux bn:00051427n;1; 1; 0; 1; 0; 0; 1; 1; 0; 0; 1; 
line bn:16701562n;1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 0; 
rows bn:03611246n;1; 0; 1; 1; 1; 0; 1; 1; 0; 0; 1; 
query string bn:03583474n;1; 1; 1; 1; 0; 1; 1; 1; 1; 0; 1; 
clique bn:00015038n;1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 
analyser bn:15790106n;1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 
variables bn:00079583n;1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 
transaction bn:01403911n;1; 1; 0; 1; 0; 1; 1; 1; 0; 0; 0; 
femme bn:00001530n;1; 1; 1; 1; 1; 1; 1; 0; 0; 0; 1; 
côté client bn:03163702n;1; 0; 0; 1; 0; 0; 1; 1; 1; 0; 1; 
ok bn:00058395n;1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 
droit bn:00048655n;1; 1; 0; 0; 0; 0; 1; 1; 1; 0; 1; 
générique bn:00103518a;1; 1; 0; 1; 1; 1; 1; 1; 1; 0; 0; 
échouer bn:00087967v;1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 
contacter bn:00085696v;1; 1; 1; 1; 0; 1; 1; 1; 1; 0; 1; 
pouvoir bn:00063940n;1; 1; 1; 1; 1; 0; 1; 1; 1; 0; 1; 
standard bn:00111129a;1; 1; 0; 1; 0; 0; 1; 1; 1; 0; 0; 
conditionnelles bn:00100214a;1; 1; 0; 1; 1; 1; 1; 1; 0; 0; 0; 
diagramme bn:00026817n;1; 1; 1; 1; 1; 1; 1; 0; 1; 0; 1; 
switch bn:01071927n;1; 0; 0; 0; 1; 1; 0; 0; 0; 0; 0; 
bloc bn:03098513n;1; 1; 0; 1; 0; 1; 1; 1; 1; 0; 0; 
prix unitaire bn:00587816n;1; 1; 1; 1; 1; 1; 1; 0; 1; 0; 1; 
boucle for bn:03237322n;1; 1; 1; 1; 1; 0; 1; 0; 0; 0; 0; 
répéter bn:00089731v;1; 1; 0; 1; 0; 1; 1; 1; 0; 0; 1; 
initialisation bn:00046781n;1; 1; 1; 1; 0; 1; 1; 1; 1; 0; 0; 
incrémentation bn:01936826n;1; 1; 0; 1; 1; 1; 1; 1; 1; 0; 0; 
mettre à jour bn:00095451v;1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 
col bn:00018680n;1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 
evaluation bn:02745649n;1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 
binôme bn:00098404a;1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 
classes bn:03608262n;1; 1; 0; 1; 0; 0; 1; 0; 0; 0; 0; 
bienvenue bn:00080852n;1; 1; 1; 1; 1; 0; 1; 0; 1; 0; 1; 
class bn:03598962n;1; 1; 0; 1; 0; 1; 1; 0; 0; 0; 0; 
constantes bn:00100331a;1; 1; 0; 1; 1; 1; 1; 1; 0; 0; 1; 
créer bn:00086008v;1; 0; 1; 1; 1; 0; 1; 1; 1; 0; 1; 
mot bn:00081546n;1; 0; 0; 0; 0; 0; 1; 1; 0; 0; 0; 
méthode bn:01641329n;1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
env bn:01199166n;1; 1; 0; 1; 0; 1; 0; 1; 0; 0; 1; 
session bn:03751534n;1; 0; 0; 0; 0; 0; 0; 1; 1; 0; 1; 
temps bn:00077270n;1; 0; 0; 0; 0; 0; 0; 1; 0; 0; 1; 
visiteur bn:03106425n;1; 1; 0; 1; 1; 0; 1; 0; 0; 0; 1; 
adresse ip bn:00706454n;1; 1; 1; 1; 1; 1; 1; 1; 0; 0; 1; 
ip bn:00046704n;1; 1; 0; 1; 1; 1; 1; 1; 0; 0; 1; 
réutilisation bn:02823226n;1; 1; 1; 1; 1; 1; 1; 1; 0; 0; 0; 
entité bn:00031027n;1; 1; 0; 1; 0; 0; 1; 1; 0; 0; 0; 
entité html bn:01327413n;1; 1; 0; 1; 1; 1; 1; 1; 0; 0; 1; 
afficher bn:00087013v;1; 1; 0; 0; 1; 0; 1; 1; 0; 0; 0; 
comportement bn:00009657n;1; 1; 0; 0; 0; 0; 1; 1; 0; 0; 0; 
trim bn:00074703n;1; 0; 0; 1; 0; 0; 1; 1; 0; 0; 1; 
séquence bn:00070574n;1; 1; 0; 1; 1; 0; 1; 0; 0; 0; 0; 
bcd bn:16690020n;1; 1; 1; 1; 1; 0; 1; 1; 1; 0; 1; 
unset bn:00176172n;1; 1; 0; 0; 1; 1; 1; 1; 0; 0; 1; 
vrai bn:00078452n;1; 1; 1; 1; 1; 0; 1; 1; 1; 0; 1; 
disponible bn:00097846a;1; 1; 0; 1; 1; 0; 1; 0; 1; 0; 1; 
vides bn:00030635n;1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 
possibles bn:00108829a;1; 1; 0; 1; 0; 0; 1; 1; 1; 0; 1; 
id bn:03885719n;1; 1; 0; 1; 0; 0; 1; 0; 1; 0; 0; 
pouvoir bn:00084451v;1; 1; 1; 1; 1; 0; 1; 1; 0; 0; 1; 
essayer bn:00082844v;1; 1; 1; 1; 0; 0; 1; 1; 1; 0; 1; 
impossible bn:00104687a;1; 1; 0; 1; 0; 0; 1; 1; 1; 0; 0; 
mp4 bn:03619211n;1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 
stream bn:02122367n;1; 1; 0; 1; 1; 1; 1; 1; 1; 0; 1; 
développement bn:01834425n;1; 1; 1; 1; 0; 1; 1; 1; 1; 0; 0; 
système de gestion bn:01510781n;1; 1; 0; 1; 0; 0; 1; 1; 1; 0; 1; 
dbms bn:14249264n;1; 1; 0; 0; 1; 0; 1; 1; 1; 0; 1; 
system bn:15125301n;1; 1; 0; 1; 0; 0; 1; 1; 0; 0; 0; 
logiciel système bn:00075772n;1; 1; 1; 1; 1; 1; 1; 1; 0; 0; 1; 
complexité bn:00021383n;1; 1; 1; 1; 1; 1; 1; 1; 0; 0; 1; 
postgresql bn:01709156n;1; 1; 1; 1; 1; 0; 1; 1; 0; 0; 1; 
mariadb bn:01841320n;1; 1; 1; 1; 1; 1; 1; 1; 0; 0; 1; 
coder bn:00084976v;1; 1; 1; 1; 0; 0; 1; 1; 0; 0; 0; 
handle bn:00278322n;1; 1; 0; 0; 1; 1; 1; 1; 1; 0; 1; 
bibliothèque bn:00050969n;1; 1; 1; 1; 0; 0; 1; 0; 1; 0; 0; 
connecteur bn:00021903n;1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 
mysqli bn:01438356n;1; 1; 1; 1; 0; 1; 1; 0; 0; 0; 1; 
pilote bn:00026721n;1; 1; 1; 1; 1; 0; 1; 1; 1; 0; 1; 
odbc bn:14228731n;1; 1; 1; 1; 1; 0; 1; 1; 1; 0; 1; 
phpmyadmin bn:03382496n;1; 1; 0; 1; 0; 1; 1; 1; 0; 0; 1; 
hébergeur bn:00801697n;1; 1; 0; 1; 1; 0; 1; 1; 0; 0; 1; 
insert bn:03795444n;1; 1; 0; 1; 1; 0; 1; 0; 0; 0; 1; 
travers bn:00042404n;1; 1; 1; 1; 0; 1; 1; 0; 1; 0; 0; 
mdp bn:00023218n;1; 0; 0; 1; 1; 0; 1; 0; 1; 0; 1; 
delete bn:00941697n;1; 1; 0; 1; 0; 0; 1; 0; 1; 0; 1; 
val bn:00079476n;1; 1; 0; 1; 1; 1; 1; 1; 1; 0; 1; 
debugger bn:00025641n;1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 0; 
nobody bn:01734927n;1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 
printf bn:03243783n;1; 0; 1; 1; 0; 1; 1; 1; 0; 0; 0; 
dater bn:00086299v;1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 
sql server bn:00605043n;1; 1; 1; 1; 1; 0; 1; 1; 0; 0; 1; 
ecriture bn:00081714n;1; 1; 0; 0; 0; 1; 1; 1; 0; 0; 0; 
exec bn:15669055n;1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 
poo bn:00058448n;1; 1; 0; 1; 0; 1; 1; 1; 0; 0; 0; 
classe bn:00082871v;1; 1; 0; 1; 0; 1; 1; 1; 1; 0; 0; 
classe type bn:03004615n;1; 1; 1; 1; 1; 1; 1; 1; 0; 0; 1; 
concept bn:00021547n;1; 1; 1; 1; 1; 1; 1; 1; 0; 0; 0; 
héritage bn:00043822n;1; 1; 0; 1; 0; 0; 1; 0; 0; 0; 0; 
encapsulation bn:01505556n;1; 1; 1; 1; 1; 1; 1; 1; 0; 0; 0; 
caractéristique bn:00099532a;1; 1; 1; 1; 0; 0; 1; 1; 0; 0; 0; 
hériter bn:00043823n;1; 1; 1; 1; 1; 1; 1; 1; 0; 0; 0; 
polymorphisme bn:01974384n;1; 1; 0; 1; 1; 1; 1; 1; 0; 0; 0; 
public bn:00109211a;1; 1; 0; 1; 0; 0; 1; 1; 0; 0; 0; 
constructeur bn:03834827n;1; 1; 0; 1; 0; 0; 1; 0; 0; 0; 0; 
importer bn:00046139n;1; 1; 1; 0; 1; 0; 1; 0; 1; 0; 0; 
redéfinition bn:00066711n;1; 1; 0; 1; 1; 1; 1; 1; 0; 0; 0; 
portée bn:03460088n;1; 1; 0; 1; 1; 1; 1; 1; 1; 0; 1; 
double bn:00101728a;1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 
self bn:03432485n;1; 1; 0; 1; 0; 1; 1; 1; 0; 0; 1; 
dehors bn:00032430n;1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 0; 
uml bn:02571962n;1; 1; 1; 1; 1; 1; 1; 0; 1; 0; 1; 
web bn:00080772n;1; 1; 0; 1; 1; 0; 1; 1; 1; 0; 0; 
plugins bn:00001275n;1; 1; 1; 1; 0; 1; 1; 1; 1; 0; 1; 
erreur bn:00021473n;1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 
nécessaire bn:00107182a;1; 1; 0; 0; 1; 0; 1; 1; 1; 0; 0; 
voir bn:00087861v;1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 
juste bn:00114626r;1; 1; 0; 1; 1; 1; 1; 0; 1; 0; 1; 
réduire bn:00086598v;1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 
time bn:03389905n;1; 1; 0; 1; 0; 1; 0; 1; 1; 0; 1; 
mettre bn:00090224v;1; 1; 0; 0; 1; 1; 1; 1; 1; 0; 1; 
transaction bn:00025567n;1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 
vente en ligne bn:00029344n;1; 1; 0; 1; 0; 1; 1; 1; 1; 0; 1; 
isoler bn:00089916v;1; 1; 0; 1; 1; 1; 1; 1; 1; 0; 1; 
bas niveau bn:01163629n;1; 1; 1; 1; 0; 1; 1; 1; 1; 0; 0; 
process mining bn:03491438n;1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 
commettre bn:00085426v;1; 1; 1; 1; 0; 1; 1; 1; 1; 0; 1; 
validation bn:00064728n;1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 
vouloir bn:00095629v;1; 0; 0; 1; 0; 0; 1; 1; 1; 0; 0; 
rollback bn:00133978n;1; 1; 0; 1; 0; 1; 1; 1; 0; 0; 1; 
généralement bn:00114778r;1; 0; 1; 1; 1; 1; 1; 1; 1; 0; 0; 
mémoire ram bn:00066091n;1; 0; 1; 1; 1; 1; 1; 1; 1; 0; 1; 
retrouver bn:00088204v;1; 1; 1; 1; 0; 0; 1; 1; 1; 0; 1; 
cohérent bn:00099970a;1; 1; 0; 1; 1; 0; 1; 1; 1; 0; 0; 
isolation bn:02609561n;1; 1; 1; 1; 1; 1; 1; 1; 0; 0; 1; 
