X;C1;C12;C13;C14;C16;C18;C2;C4;C7;C8;C9
interpréter;0;0.0056101;0;0;0;0;0.00738007;0;0;0.0101266;0
calcul mathématique;0;0.00140845;0;0;0;0;0;0;0;0;0
mathématique;0;0.00140845;0;0;0;0;0;0;0;0;0
licence open source;0;0.00140845;0;0;0;0;0;0;0;0;0
télécharger;0;0.00140845;0;0;0;0;0;0;0;0;0
serveur;0;0.230769;0.23229;0.246951;0.225505;0.248237;0.242759;0.250674;0;0.228013;0.260606
tar.gz;0;0.00140845;0;0;0;0;0;0;0;0;0
help;0;0.00140845;0;0;0;0;0;0;0;0;0
serveur apache;0;0.00140845;0;0;0;0;0;0;0;0;0
httpd.conf;0;0.00140845;0;0;0;0;0;0;0;0;0
debian;0;0.00140845;0;0;0;0;0;0;0;0;0
comportement;0;0.0111576;0;0;0.0184758;0;0;0.0139616;0;0;0.0167715
complexe;0;0.00281294;0;0.00437637;0;0;0;0;0;0;0
gestion;0;0.00140845;0;0;0;0;0;0;0;0;0
relatifs;0;0.00140845;0;0;0;0;0;0;0;0;0
type;0;0.0843215;0;0.109162;0.115942;0.0984456;0.0939597;0;0.116279;0;0.0938086
opérateurs;0;0.0056101;0;0;0.00932401;0;0;0;0;0.0101266;0
nombre entiers;0;0.02213;0;0;0;0.027933;0.0252708;0;0.0366492;0;0.028866
nombre à virgule flottante;0;0.0056101;0;0;0;0;0;0.00702988;0;0;0.00845666
variable de type;0;0.00281294;0;0;0;0;0;0;0;0;0.00424628
base 10;0;0.00281294;0;0;0;0;0;0;0;0;0.00424628
base 8;0;0.00140845;0;0;0;0;0;0;0;0;0
double;0;0.00140845;0;0;0;0;0;0;0;0;0
backslash;0;0.00281294;0;0.00437637;0;0;0;0;0;0;0
valeur numérique;0;0.00281294;0;0;0;0;0;0;0;0;0.00424628
numérique;0;0.0056101;0;0;0;0;0;0;0.0108108;0;0.00845666
list;0;0.022069;0;0;0;0.0297398;0.0288809;0.0275387;0;0;0.0329897
pointeur;0;0.0056101;0;0;0;0.00760456;0.00738007;0;0;0;0
cmp;0;0.00140845;0;0;0;0;0;0;0;0;0
cle;0;0.083442;0;0;0.118609;0.10274;0.1;0.0922099;0;0.127473;0.115094
portée;0;0.00140845;0;0;0;0;0;0;0;0;0
globales;0;0.0111576;0;0.0172786;0;0.0150943;0;0;0;0;0.0167715
affiche;0;0.0056101;0;0;0;0.00760456;0;0;0;0;0.00845666
bloc;0;0.00281294;0;0;0.00468384;0;0;0;0;0;0
statiques;0;0.0111576;0;0;0;0.0150943;0;0.0139616;0;0;0.0167715
récursives;0;0.0056101;0;0;0.00932401;0;0;0;0;0;0.00845666
ambiguïté;0;0.00281294;0;0;0.00468384;0;0;0;0;0;0
méthode;0;0.158163;0;0;0.168539;0.161031;0.147975;0.131852;0.157787;0.184739;0.161739
disponibles;0;0.00140845;0;0;0;0;0;0;0;0;0
query_string;0;0.00281294;0;0.00437637;0;0;0;0;0;0;0
integer;0;0.00281294;0;0;0;0;0;0;0;0.00508906;0
string;0;0.00140845;0;0;0;0;0;0;0;0;0
contraire;0;0.00281294;0;0;0;0;0;0;0;0;0.00424628
numéro de ligne;0;0.00140845;0;0;0;0;0;0;0;0;0
système d’exploitation;0;0.00281294;0;0;0;0;0;0;0;0;0.00424628
linux;0;0.0056101;0.0102828;0;0;0;0;0;0;0;0.00845666
vrai;0;0.00140845;0;0;0;0;0;0;0;0;0
multiplication;0;0.02213;0.0349127;0;0.031746;0;0;0.0258621;0;0;0.028866
division;0;0.0056101;0;0;0.00932401;0;0;0;0;0;0.00845666
concaténation;0;0.0431849;0;0.0657084;0.0700219;0.0577617;0.0561404;0;0;0;0.0638723
bit;0;0.00281294;0;0;0.00468384;0;0;0;0;0;0
opérateur logiques;0;0.0056101;0;0;0.00932401;0;0;0;0;0;0.00845666
égal;0;0.0111576;0;0.0172786;0;0;0;0.0139616;0;0;0.0167715
après;0;0.00140845;0;0;0;0;0;0;0;0;0
langage c;0;0.0056101;0;0;0;0;0;0.00702988;0;0;0.00845666
conditionnelles;0;0.0056101;0;0;0;0.00760456;0;0;0;0;0.00845666
appel de fonction;0;0.00140845;0;0;0;0;0;0;0;0;0
instruction vide;0;0.00140845;0;0;0;0;0;0;0;0;0
structure;0;0.00140845;0;0;0;0;0;0;0;0;0
lisibilité;0;0.00140845;0;0;0;0;0;0;0;0;0
femme;0;0.0056101;0;0;0;0;0;0;0;0.0101266;0.00845666
ressembler à;0;0.00140845;0;0;0;0;0;0;0;0;0
premier;0;0.00281294;0.00516796;0;0;0;0;0;0;0;0
boucle for;0;0.0111576;0;0;0;0.0150943;0;0;0;0.0200501;0.0167715
pouvoir;0;0.00281294;0;0;0;0;0;0.00352734;0;0;0
foreach;0;0.158163;0;0;0.168539;0.161031;0.147975;0.131852;0.157787;0.184739;0.161739
