;C1;C2;C3;C4;C5;C6;C7;C8;C9
open source bn:01157392n;1; 1; 0; 1; 1; 1; 1; 1; 0; 
mysql ab bn:03198967n;1; 1; 0; 1; 1; 1; 1; 1; 1; 
licence bn:00050986n;1; 1; 0; 1; 1; 0; 1; 1; 1; 
licence gpl bn:01157379n;1; 1; 0; 1; 1; 0; 1; 1; 1; 
support technique bn:03482340n;1; 1; 0; 1; 1; 1; 1; 1; 1; 
hébergeur bn:00801697n;1; 1; 0; 1; 1; 0; 1; 1; 0; 
étrangères bn:00096774a;1; 1; 0; 1; 1; 1; 1; 1; 1; 
notamment bn:00115235r;1; 1; 0; 1; 0; 1; 1; 1; 1; 
delete bn:00941697n;1; 1; 0; 1; 0; 0; 1; 0; 1; 
moteur de recherche bn:13956658n;1; 1; 0; 1; 1; 1; 1; 1; 1; 
sqlplus bn:02088255n;1; 1; 0; 1; 1; 1; 1; 1; 1; 
intuitif bn:00047307n;1; 1; 0; 1; 1; 1; 1; 1; 1; 
toolkit bn:01526357n;1; 1; 0; 1; 1; 1; 1; 1; 1; 
qt bn:17288164n;1; 1; 0; 1; 1; 1; 1; 1; 1; 
macos bn:01415427n;1; 1; 0; 1; 0; 1; 1; 1; 1; 
configuration bn:03088982n;1; 1; 0; 1; 0; 1; 1; 1; 0; 
ip bn:00046704n;1; 1; 0; 1; 1; 1; 1; 1; 0; 
doute bn:00028425n;1; 1; 0; 1; 1; 0; 1; 1; 1; 
administrateur bn:00075765n;1; 1; 0; 1; 1; 0; 1; 1; 1; 
mise à jour bn:15364261n;1; 1; 0; 1; 1; 0; 0; 1; 1; 
insert bn:03795444n;1; 1; 0; 1; 1; 0; 1; 0; 0; 
possible bn:00108829a;1; 1; 0; 1; 0; 0; 1; 1; 1; 
varchar bn:01838409n;1; 1; 0; 1; 0; 0; 1; 1; 1; 
tenir compte bn:00082541v;1; 1; 0; 1; 1; 0; 1; 1; 1; 
quantité variables bn:00079581n;1; 1; 0; 1; 1; 1; 1; 1; 1; 
medium bn:00054149n;1; 1; 0; 1; 1; 1; 1; 1; 1; 
tris bn:00072857n;1; 1; 0; 1; 1; 1; 1; 1; 1; 
champ de bn:15987694n;1; 1; 0; 1; 1; 1; 1; 1; 1; 
insérer bn:00087594v;1; 1; 0; 1; 1; 1; 1; 1; 1; 
plupart bn:00050555n;1; 1; 0; 1; 1; 0; 1; 1; 1; 
préférence bn:00061333n;1; 1; 0; 1; 1; 1; 1; 1; 1; 
février bn:00033882n;1; 1; 0; 1; 1; 1; 1; 1; 1; 
mise bn:00016287n;1; 1; 0; 1; 1; 0; 1; 1; 0; 
expliquer bn:00082235v;1; 1; 0; 1; 1; 1; 1; 1; 1; 
plage bn:04717355n;1; 1; 0; 1; 1; 1; 1; 1; 1; 
mm bn:00055052n;1; 1; 0; 1; 1; 1; 1; 1; 1; 
fraction bn:00036154n;1; 1; 0; 1; 1; 1; 1; 1; 1; 
soumettre bn:00094538v;1; 1; 0; 1; 1; 1; 1; 1; 1; 
transaction bn:01403911n;1; 1; 0; 1; 0; 1; 1; 1; 0; 
rollback bn:00133978n;1; 1; 0; 1; 0; 1; 1; 1; 0; 
crash bn:00023573n;1; 1; 0; 1; 1; 1; 1; 1; 1; 
contraintes bn:00022062n;1; 1; 0; 1; 1; 0; 1; 1; 1; 
intégrité bn:03141748n;1; 1; 0; 1; 1; 1; 1; 1; 1; 
parente bn:00033359n;1; 1; 0; 1; 1; 1; 1; 1; 1; 
clé étrangère bn:01944370n;1; 1; 0; 1; 1; 0; 1; 1; 1; 
fils bn:00051877n;1; 1; 0; 1; 1; 1; 1; 1; 1; 
critère bn:00023853n;1; 1; 0; 1; 1; 0; 1; 1; 1; 
flotter bn:00088327v;1; 1; 0; 1; 1; 1; 1; 1; 1; 
order bn:02240223n;1; 1; 0; 1; 1; 1; 1; 1; 1; 
simplicité bn:00071689n;1; 1; 0; 1; 1; 1; 1; 1; 1; 
ouverte bn:00107886a;1; 1; 0; 1; 1; 1; 1; 1; 1; 
échec bn:00018197n;1; 1; 0; 1; 0; 0; 1; 1; 1; 
numéroter bn:00091103v;1; 1; 0; 1; 1; 1; 1; 1; 1; 
identiques bn:00104508a;1; 1; 0; 1; 1; 1; 1; 1; 1; 
renommer bn:00092787v;1; 1; 0; 1; 0; 1; 1; 1; 1; 
insertion bn:02234787n;1; 1; 0; 0; 1; 1; 1; 1; 1; 
avoir besoin de bn:00091028v;1; 1; 0; 1; 0; 0; 1; 1; 1; 
valeur bn:00079508n;1; 1; 0; 1; 1; 1; 0; 1; 1; 
liste chaînée bn:01056813n;1; 1; 0; 1; 1; 1; 1; 1; 1; 
jointure bn:00048368n;1; 1; 0; 1; 1; 1; 1; 1; 1; 
activer bn:00082307v;1; 1; 0; 1; 1; 1; 1; 1; 1; 
mode texte bn:03459971n;1; 1; 0; 1; 1; 1; 1; 1; 1; 
fin bn:00113911a;1; 1; 0; 1; 1; 1; 1; 1; 1; 
placer bn:00090224v;1; 1; 0; 0; 1; 1; 1; 1; 1; 
img bn:02450504n;1; 1; 0; 1; 1; 0; 1; 1; 1; 
fichier csv bn:03284335n;1; 1; 0; 1; 1; 1; 1; 1; 1; 
ret bn:05006619n;1; 1; 0; 1; 1; 1; 1; 1; 1; 
fichier binaire bn:00010479n;1; 1; 0; 1; 1; 1; 1; 1; 1; 
calculer bn:00084373v;1; 1; 0; 1; 1; 0; 1; 1; 1; 
réussite bn:00000870n;1; 1; 0; 1; 1; 1; 1; 1; 1; 
chdir bn:00821546n;1; 1; 0; 1; 1; 1; 1; 1; 1; 
argument bn:00005603n;1; 1; 0; 1; 1; 1; 1; 1; 1; 
relatif bn:00109123a;1; 1; 0; 1; 1; 1; 1; 1; 1; 
handle bn:00278322n;1; 1; 0; 0; 1; 1; 1; 1; 1; 
prochaine bn:00096455a;1; 1; 0; 1; 1; 0; 1; 1; 1; 
sous bn:00072872n;1; 1; 0; 1; 1; 1; 1; 1; 1; 
base 8 bn:01534404n;1; 1; 0; 1; 1; 1; 1; 1; 1; 
type de fichier bn:01156328n;1; 1; 0; 1; 1; 1; 1; 1; 1; 
fifo bn:00034349n;1; 1; 0; 1; 1; 1; 1; 1; 1; 
pointé bn:00086679v;1; 1; 0; 1; 1; 0; 1; 1; 1; 
inode bn:03396161n;1; 1; 0; 1; 1; 1; 1; 1; 1; 
taille de bloc bn:04788419n;1; 1; 0; 1; 1; 1; 1; 1; 1; 
shell unix bn:02558830n;1; 1; 0; 1; 1; 1; 1; 1; 1; 
dirname bn:00242975n;1; 1; 0; 0; 0; 1; 1; 1; 1; 
isoler bn:00089916v;1; 1; 0; 1; 1; 1; 1; 1; 1; 
chown bn:02823726n;1; 1; 0; 1; 1; 1; 1; 1; 1; 
chgrp bn:00742376n;1; 1; 0; 1; 1; 1; 1; 1; 1; 
copy bn:14086525n;1; 1; 0; 0; 1; 1; 1; 1; 1; 
hard link bn:03277499n;1; 1; 0; 1; 1; 1; 1; 1; 1; 
lien symbolique bn:01044905n;1; 1; 0; 1; 1; 1; 1; 1; 1; 
masque bn:03236329n;1; 1; 0; 1; 1; 1; 1; 1; 1; 
rename bn:00342646n;1; 1; 0; 0; 1; 1; 1; 1; 1; 
umask bn:03851470n;1; 1; 0; 0; 1; 1; 1; 1; 1; 
encodage bn:00030696n;1; 1; 0; 1; 0; 0; 1; 1; 1; 
avatar bn:03801346n;1; 1; 0; 1; 1; 1; 1; 1; 1; 
vérification bn:00017984n;1; 1; 0; 1; 1; 0; 1; 1; 1; 
pire bn:00113940a;1; 1; 0; 1; 1; 1; 1; 1; 1; 
boite de dialogue bn:00026837n;1; 1; 0; 1; 1; 1; 1; 1; 1; 
gestionnaire de fichier bn:00264400n;1; 1; 0; 1; 1; 1; 1; 1; 1; 
cliquer bn:00085112v;1; 1; 0; 1; 1; 0; 1; 1; 1; 
bouton bn:03843242n;1; 1; 0; 0; 1; 1; 1; 1; 1; 
temp bn:00076450n;1; 1; 0; 1; 1; 1; 1; 1; 1; 
fichier temporaire bn:03462927n;1; 1; 0; 1; 1; 1; 1; 1; 1; 
verrouiller bn:00090430v;1; 1; 0; 1; 1; 1; 1; 1; 1; 
caractère nul bn:02742063n;1; 1; 0; 1; 1; 1; 1; 1; 1; 
inverse bn:00105377a;1; 1; 0; 1; 1; 0; 1; 1; 1; 
oreille bn:00029372n;1; 1; 0; 1; 1; 1; 1; 1; 1; 
entité bn:00031027n;1; 1; 0; 1; 0; 0; 1; 1; 0; 
entité html bn:01327413n;1; 1; 0; 1; 1; 1; 1; 1; 0; 
fonctionnement bn:00036838n;1; 1; 0; 1; 1; 1; 1; 1; 1; 
quotes bn:00683774n;1; 1; 0; 1; 1; 1; 1; 1; 1; 
formater bn:00082780v;1; 1; 0; 1; 1; 1; 1; 1; 1; 
troisième bn:00096000a;1; 1; 0; 1; 1; 1; 1; 1; 1; 
colle bn:00001366n;1; 1; 0; 1; 1; 1; 1; 1; 1; 
longueur bn:00050662n;1; 1; 0; 1; 0; 1; 1; 1; 1; 
invisibles bn:00105385a;1; 1; 0; 1; 1; 1; 1; 0; 1; 
égale bn:00021326n;1; 1; 0; 1; 1; 1; 1; 1; 1; 
expiration bn:00026345n;1; 1; 0; 1; 1; 1; 1; 1; 1; 
avoir lieu bn:00085337v;1; 1; 0; 1; 0; 0; 1; 1; 0; 
disponible bn:00097846a;1; 1; 0; 1; 1; 0; 1; 0; 1; 
variable globale bn:02011863n;1; 1; 0; 1; 1; 1; 0; 1; 1; 
visiteur bn:03106425n;1; 1; 0; 1; 1; 0; 1; 0; 0; 
authentification bn:03253409n;1; 1; 0; 0; 0; 0; 1; 1; 1; 
déconnexion bn:00027504n;1; 1; 0; 1; 1; 1; 1; 1; 0; 
évidente bn:00097350a;1; 1; 0; 1; 1; 1; 1; 1; 1; 
connecté bn:00085628v;1; 1; 0; 1; 1; 1; 1; 1; 1; 
démarrer bn:00083342v;1; 1; 0; 1; 1; 0; 1; 1; 0; 
balise html bn:02104867n;1; 1; 0; 1; 1; 0; 1; 1; 0; 
sauvegarde bn:00007838n;1; 1; 0; 1; 1; 0; 1; 1; 1; 
unset bn:00176172n;1; 1; 0; 0; 1; 1; 1; 1; 0; 
cookie de session bn:00070691n;1; 1; 0; 1; 1; 1; 1; 1; 1; 
ouverture de session bn:03885719n;1; 1; 0; 1; 0; 0; 1; 0; 1; 
recommencer bn:00092914v;1; 1; 0; 1; 1; 1; 1; 1; 1; 
unix_timestamp bn:00124230n;1; 1; 0; 1; 1; 1; 1; 1; 1; 
retirer bn:00092783v;1; 1; 0; 1; 1; 1; 1; 1; 1; 
dll bn:02058089n;1; 1; 0; 1; 1; 1; 1; 1; 1; 
jpeg bn:00838809n;1; 1; 0; 1; 1; 1; 1; 1; 1; 
windows bitmap bn:01848933n;1; 1; 0; 1; 1; 1; 1; 1; 1; 
truecolor bn:04000779n;1; 1; 0; 1; 1; 1; 1; 1; 1; 
largeur bn:00012893n;1; 1; 0; 1; 1; 1; 1; 1; 1; 
gd bn:03462925n;1; 1; 0; 1; 1; 1; 1; 1; 1; 
gif bn:00444440n;1; 1; 0; 1; 1; 1; 1; 1; 1; 
psd bn:15712791n;1; 1; 0; 1; 1; 1; 1; 1; 1; 
tiff bn:00663058n;1; 1; 0; 1; 1; 1; 1; 1; 1; 
intel bn:00670400n;1; 1; 0; 1; 0; 1; 1; 1; 1; 
rouge bn:00066631n;1; 1; 0; 0; 0; 1; 1; 1; 0; 
vert bn:00041648n;1; 1; 0; 1; 0; 1; 1; 1; 1; 
premier bn:00103006a;1; 1; 0; 1; 1; 0; 1; 1; 1; 
rvb bn:01953314n;1; 1; 0; 1; 1; 1; 1; 1; 1; 
coordonnées bn:00022459n;1; 1; 0; 1; 1; 1; 1; 1; 0; 
total bn:00102277a;1; 1; 0; 1; 1; 0; 1; 1; 1; 
blue bn:00765896n;1; 1; 0; 1; 1; 1; 1; 1; 1; 
cercle bn:00019169n;1; 1; 0; 1; 1; 0; 1; 1; 1; 
ellipse bn:00030406n;1; 1; 0; 1; 1; 1; 1; 1; 1; 
juste bn:00114626r;1; 1; 0; 1; 1; 1; 1; 0; 1; 
mot-clé bn:03277968n;1; 1; 0; 1; 1; 1; 1; 1; 1; 
constante bn:14692918n;1; 1; 0; 1; 1; 1; 1; 1; 1; 
classe d bn:14503356n;1; 1; 0; 1; 1; 1; 1; 1; 1; 
autre bn:03870834n;1; 1; 0; 1; 1; 0; 1; 1; 1; 
héritage multiple bn:01226081n;1; 1; 0; 1; 1; 1; 1; 1; 1; 
classe a bn:17130264n;1; 1; 0; 1; 1; 1; 1; 1; 1; 
faire référence bn:00085006v;1; 1; 0; 1; 1; 1; 1; 1; 1; 
générique bn:00103518a;1; 1; 0; 1; 1; 1; 1; 1; 1; 
type b bn:00007599n;1; 1; 0; 1; 1; 1; 1; 1; 1; 
ramasse-miettes bn:00037292n;1; 1; 0; 1; 1; 1; 1; 1; 1; 
code objet bn:00058451n;1; 1; 0; 1; 1; 1; 1; 1; 1; 
clonage bn:04738539n;1; 1; 0; 1; 1; 1; 1; 1; 1; 
directe bn:00101420a;1; 1; 0; 1; 1; 1; 1; 1; 1; 
explicite bn:00102589a;1; 1; 0; 1; 1; 1; 1; 1; 1; 
via bn:01515703n;1; 1; 0; 1; 1; 1; 1; 1; 1; 
descripteur de fichiers bn:03441901n;1; 1; 0; 1; 1; 1; 1; 1; 1; 
o3 bn:01507028n;1; 1; 0; 1; 1; 1; 1; 1; 1; 
substituer bn:00087802v;1; 1; 0; 1; 1; 1; 1; 1; 1; 
utile bn:00113456a;1; 1; 0; 1; 1; 1; 1; 1; 1; 
abstraire bn:00082180v;1; 1; 0; 1; 0; 1; 1; 1; 0; 
abstraites bn:00096212a;1; 1; 0; 1; 1; 1; 1; 1; 0; 
classe abstraite bn:03110061n;1; 1; 0; 1; 1; 1; 1; 1; 0; 
dérivée bn:00026447n;1; 1; 0; 1; 1; 1; 1; 1; 0; 
implémentant bn:00084595v;1; 1; 0; 1; 1; 1; 1; 1; 1; 
publique bn:00109211a;1; 1; 0; 1; 0; 0; 1; 1; 0; 
redéfinition bn:00066711n;1; 1; 0; 1; 1; 1; 1; 1; 0; 
final bn:01755798n;1; 1; 0; 1; 1; 1; 1; 0; 0; 
final bn:00102969a;1; 1; 0; 1; 1; 1; 1; 1; 0; 
prototypes bn:03593973n;1; 1; 0; 1; 1; 1; 1; 1; 1; 
template bn:02473997n;1; 1; 0; 1; 1; 1; 1; 1; 1; 
contraire bn:00100398a;1; 1; 0; 1; 1; 1; 1; 1; 0; 
variable bn:00113503a;1; 1; 0; 1; 1; 0; 1; 1; 1; 
iterator bn:00967687n;1; 1; 0; 1; 1; 1; 1; 1; 1; 
infos bn:00046705n;1; 1; 0; 0; 0; 0; 1; 1; 1; 
numéro de ligne bn:03406633n;1; 1; 0; 1; 1; 1; 1; 1; 1; 
erreur bn:00031485n;1; 1; 0; 1; 1; 1; 1; 1; 1; 
parent bn:00060643n;1; 1; 0; 1; 1; 0; 1; 1; 0; 
ancien système bn:01069561n;1; 1; 0; 1; 1; 1; 1; 1; 1; 
stream bn:02122367n;1; 1; 0; 1; 1; 1; 1; 1; 1; 
xampp bn:02350502n;1; 1; 0; 1; 0; 1; 1; 1; 0; 
erreur de syntaxe bn:00075740n;1; 1; 0; 1; 1; 1; 1; 1; 1; 
intéresser bn:00089814v;1; 1; 0; 1; 1; 1; 1; 1; 1; 
comportement bn:00009657n;1; 1; 0; 0; 0; 0; 1; 1; 0; 
réception bn:00066489n;1; 1; 0; 1; 1; 1; 1; 1; 1; 
répéter bn:00089731v;1; 1; 0; 1; 0; 1; 1; 1; 0; 
cas objet bn:00000786n;1; 1; 0; 1; 1; 1; 1; 1; 1; 
standard bn:00111129a;1; 1; 0; 1; 0; 0; 1; 1; 1; 
internes bn:00105292a;1; 1; 0; 1; 1; 1; 1; 1; 1; 
supporter bn:00093674v;1; 1; 0; 1; 1; 1; 1; 1; 1; 
remplissage bn:03416628n;1; 1; 0; 1; 1; 0; 1; 1; 1; 
structure bn:00094491v;1; 1; 0; 1; 1; 1; 1; 1; 1; 
programmation web bn:03446093n;1; 1; 1; 0; 0; 0; 1; 1; 1; 
université antilles guyane bn:00537645n;1; 1; 1; 0; 1; 1; 1; 1; 1; 
feuilles de style bn:00802225n;1; 1; 1; 0; 1; 1; 1; 1; 1; 
pdf bn:01745594n;1; 1; 1; 0; 0; 0; 1; 1; 1; 
capable bn:00099215a;1; 1; 1; 0; 1; 1; 1; 1; 1; 
noël bn:00018836n;1; 1; 1; 0; 1; 1; 1; 1; 1; 
client http bn:04783345n;1; 1; 1; 0; 1; 1; 1; 1; 1; 
composer bn:14766022n;1; 1; 1; 0; 0; 0; 1; 1; 1; 
recommandation w3c bn:15800643n;1; 1; 1; 0; 1; 1; 1; 1; 1; 
head bn:02338897n;1; 1; 1; 0; 0; 0; 1; 1; 1; 
êtres bn:00009677n;1; 1; 1; 0; 1; 0; 1; 1; 1; 
doctype bn:15839327n;1; 1; 1; 0; 0; 1; 1; 0; 0; 
structuration bn:14636497n;1; 1; 1; 0; 1; 1; 0; 1; 1; 
sens bn:00046139n;1; 1; 1; 0; 1; 0; 1; 0; 1; 
désormais bn:00116384r;1; 1; 1; 0; 1; 1; 1; 1; 1; 
paragraphe bn:00060556n;1; 1; 1; 0; 1; 1; 1; 1; 1; 
liste à puces bn:03415182n;1; 1; 1; 0; 0; 1; 1; 1; 1; 
inline bn:01456420n;1; 1; 1; 0; 1; 1; 1; 1; 1; 
h2 bn:02803535n;1; 1; 1; 0; 0; 1; 1; 1; 1; 
disponibilité bn:00000670n;1; 1; 1; 0; 1; 1; 1; 1; 1; 
arial bn:01485779n;1; 1; 1; 0; 1; 1; 1; 1; 1; 
texte gras bn:00030599n;1; 1; 1; 0; 1; 1; 1; 1; 1; 
abuser bn:00090815v;1; 1; 1; 0; 1; 0; 1; 1; 1; 
css 3 bn:01642119n;1; 1; 1; 0; 0; 1; 1; 1; 1; 
souris bn:00021487n;1; 1; 1; 0; 1; 1; 1; 1; 1; 
positionnement bn:00030615n;1; 1; 1; 0; 1; 1; 1; 1; 1; 
dtd bn:15232677n;1; 1; 1; 0; 1; 0; 1; 1; 0; 
charset bn:00017756n;1; 1; 1; 0; 1; 1; 1; 1; 1; 
auto bn:00007309n;1; 1; 1; 0; 0; 1; 1; 1; 1; 
allonger bn:00087910v;1; 1; 1; 0; 1; 1; 1; 1; 1; 
chevauchements bn:00045993n;1; 1; 1; 0; 1; 1; 1; 1; 1; 
em bn:00030453n;1; 1; 1; 0; 1; 1; 1; 1; 1; 
active server pages bn:02246064n;1; 1; 1; 0; 1; 1; 1; 1; 1; 
microsoft bn:01165400n;1; 1; 1; 0; 0; 0; 1; 1; 0; 
exécutable bn:00102521a;1; 1; 1; 0; 1; 0; 1; 1; 1; 
connaissance bn:00020452n;1; 1; 1; 0; 1; 1; 1; 1; 1; 
dictionnaires bn:00026967n;1; 1; 1; 0; 1; 1; 1; 1; 1; 
bois bn:00081492n;1; 1; 1; 0; 1; 1; 1; 1; 1; 
key bn:15770009n;1; 1; 1; 0; 1; 1; 1; 1; 1; 
info bn:00046698n;1; 1; 1; 0; 1; 1; 1; 1; 1; 
parcours bn:03468087n;1; 1; 1; 0; 0; 0; 1; 1; 1; 
pouvoir bn:00084450v;1; 1; 1; 0; 1; 1; 1; 1; 1; 
httpd bn:16913184n;1; 1; 1; 0; 1; 1; 1; 1; 1; 
statiques bn:00111112a;1; 1; 1; 0; 1; 1; 1; 1; 0; 
sport bn:00006759n;1; 1; 1; 0; 1; 0; 1; 1; 0; 
selection multiple bn:05019947n;1; 1; 1; 0; 1; 1; 1; 1; 1; 
possibilité bn:00045632n;1; 1; 1; 0; 0; 0; 1; 1; 0; 
saisir bn:00082727v;1; 1; 1; 0; 1; 1; 1; 1; 1; 
nom bn:00056758n;1; 1; 1; 0; 1; 1; 1; 1; 1; 
mode connecté bn:04749137n;1; 1; 1; 0; 1; 1; 1; 1; 1; 
rattacher bn:00085624v;1; 1; 1; 0; 1; 1; 1; 1; 1; 
durée de vie bn:01120526n;1; 1; 1; 0; 1; 1; 1; 1; 0; 
path bn:01205256n;1; 1; 1; 0; 0; 1; 1; 1; 1; 
nobody bn:03500369n;1; 1; 1; 0; 1; 1; 1; 1; 1; 
basename bn:01749628n;1; 1; 1; 0; 1; 1; 1; 1; 1; 
touch bn:03178622n;1; 1; 1; 0; 1; 0; 1; 1; 1; 
friends bn:00257421n;1; 1; 1; 0; 1; 1; 1; 1; 1; 
epub bn:01314222n;1; 1; 1; 1; 0; 1; 1; 1; 1; 
caractéristique bn:00099532a;1; 1; 1; 1; 0; 0; 1; 1; 0; 
installation bn:03478637n;1; 1; 1; 1; 0; 1; 1; 1; 1; 
filtrage bn:00259585n;1; 1; 1; 1; 0; 1; 1; 1; 1; 
validation bn:03925844n;1; 1; 1; 1; 0; 1; 1; 1; 1; 
symfony bn:02798620n;1; 1; 1; 1; 0; 1; 1; 1; 1; 
application bn:00005095n;1; 1; 1; 1; 0; 1; 1; 1; 1; 
web service bn:03829842n;1; 1; 1; 1; 0; 1; 1; 1; 1; 
web mobile bn:03168096n;1; 1; 1; 1; 0; 1; 1; 1; 1; 
mobile bn:00106819a;1; 1; 1; 1; 0; 1; 1; 1; 1; 
informatique bn:00100175a;1; 1; 1; 1; 0; 0; 1; 1; 1; 
compilateur bn:00021344n;1; 1; 1; 1; 0; 0; 1; 1; 1; 
compilateur jit bn:01502421n;1; 1; 1; 1; 0; 1; 1; 1; 1; 
facebook bn:03624775n;1; 1; 1; 1; 0; 1; 1; 1; 0; 
coder bn:00084976v;1; 1; 1; 1; 0; 0; 1; 1; 0; 
sortie bn:00032242n;1; 1; 1; 1; 0; 1; 1; 1; 1; 
retrouver bn:00088204v;1; 1; 1; 1; 0; 0; 1; 1; 1; 
programmeur bn:00020358n;1; 1; 1; 1; 0; 1; 1; 1; 1; 
développement bn:01834425n;1; 1; 1; 1; 0; 1; 1; 1; 1; 
ca bn:00014403n;1; 1; 1; 1; 0; 1; 1; 1; 1; 
livre bn:00012059n;1; 1; 1; 1; 0; 0; 1; 1; 1; 
hiphop bn:01959769n;1; 1; 1; 1; 0; 1; 1; 1; 1; 
machine virtuelle bn:02589960n;1; 1; 1; 1; 0; 1; 1; 1; 1; 
typage fort bn:02560161n;1; 1; 1; 1; 0; 1; 1; 1; 1; 
framework bn:14831528n;1; 1; 1; 1; 0; 1; 1; 1; 1; 
phalcon bn:15355608n;1; 1; 1; 1; 0; 1; 1; 1; 1; 
compilation aot bn:15411174n;1; 1; 1; 1; 0; 1; 1; 1; 1; 
travers bn:00042404n;1; 1; 1; 1; 0; 1; 1; 0; 1; 
yahoo bn:00081801n;1; 1; 1; 1; 0; 1; 1; 1; 1; 
content management systems bn:03631223n;1; 1; 1; 1; 0; 1; 1; 1; 1; 
gestion de contenu bn:00883027n;1; 1; 1; 1; 0; 1; 1; 1; 1; 
joomla bn:01946532n;1; 1; 1; 1; 0; 1; 1; 1; 1; 
laravel bn:02935312n;1; 1; 1; 1; 0; 1; 1; 1; 1; 
mamp bn:03197470n;1; 1; 1; 1; 0; 1; 1; 1; 0; 
indispensable bn:00104964a;1; 1; 1; 1; 0; 0; 1; 1; 1; 
macports bn:01068822n;1; 1; 1; 1; 0; 1; 1; 1; 1; 
communication bn:00021221n;1; 1; 1; 1; 0; 0; 1; 1; 1; 
fichier de configuration bn:03229365n;1; 1; 1; 1; 0; 1; 1; 1; 1; 
numbers bn:00439302n;1; 1; 1; 1; 0; 1; 1; 1; 1; 
compression bn:00021441n;1; 1; 1; 1; 0; 1; 1; 1; 1; 
éxécution bn:16533697n;1; 1; 1; 1; 0; 1; 1; 1; 1; 
logging bn:15274529n;1; 1; 1; 1; 0; 1; 1; 1; 1; 
désactiver bn:00027407n;1; 1; 1; 1; 0; 0; 1; 1; 1; 
démarrage bn:03140436n;1; 1; 1; 1; 0; 1; 1; 1; 1; 
plugins bn:00001275n;1; 1; 1; 1; 0; 1; 1; 1; 1; 
logger bn:00825346n;1; 1; 1; 1; 0; 1; 1; 1; 1; 
rapporter bn:00034163n;1; 1; 1; 1; 0; 1; 1; 1; 1; 
fuite de mémoire bn:01230884n;1; 1; 1; 1; 0; 1; 1; 1; 1; 
chaine bn:00017487n;1; 1; 1; 1; 0; 1; 1; 1; 1; 
socket bn:15776593n;1; 1; 1; 1; 0; 1; 1; 1; 1; 
iconv bn:03672592n;1; 1; 1; 1; 0; 1; 1; 1; 1; 
système d bn:04836299n;1; 1; 1; 1; 0; 1; 1; 1; 0; 
smtp bn:02128235n;1; 1; 1; 1; 0; 1; 1; 1; 1; 
set bn:04928161n;1; 1; 1; 1; 0; 1; 1; 0; 0; 
lien permanents bn:03767636n;1; 1; 1; 1; 0; 1; 1; 1; 1; 
links bn:01052609n;1; 1; 1; 1; 0; 1; 1; 1; 1; 
host bn:01846442n;1; 1; 1; 1; 0; 0; 1; 0; 0; 
mysqli bn:01438356n;1; 1; 1; 1; 0; 1; 1; 0; 0; 
md5 bn:01141584n;1; 1; 1; 1; 0; 1; 1; 1; 1; 
assertion bn:04728763n;1; 1; 1; 1; 0; 1; 1; 1; 1; 
fonction utilisateur bn:00952651n;1; 1; 1; 1; 0; 1; 1; 1; 1; 
mac os x bn:01334510n;1; 1; 1; 1; 0; 1; 1; 1; 1; 
khtml bn:00975876n;1; 1; 1; 1; 0; 1; 1; 1; 1; 
gecko bn:15456781n;1; 1; 1; 1; 0; 1; 1; 1; 1; 
doc bn:17202928n;1; 1; 1; 1; 0; 0; 1; 1; 1; 
msie bn:17346309n;1; 1; 1; 1; 0; 1; 1; 1; 1; 
firefox bn:01387235n;1; 1; 1; 1; 0; 1; 1; 1; 1; 
chrome bn:00018877n;1; 1; 1; 1; 0; 1; 1; 1; 1; 
safari bn:00907501n;1; 1; 1; 1; 0; 1; 1; 1; 1; 
remède bn:00054133n;1; 1; 1; 1; 0; 1; 1; 1; 1; 
répondre bn:00082225v;1; 1; 1; 1; 0; 1; 1; 1; 1; 
null bn:15898583n;1; 1; 1; 1; 0; 0; 1; 1; 0; 
simplifier bn:00087951v;1; 1; 1; 1; 0; 1; 1; 1; 1; 
majuscule bn:00015499n;1; 1; 1; 1; 0; 0; 1; 1; 1; 
eval bn:03464447n;1; 1; 1; 1; 0; 1; 1; 1; 1; 
tableau associatifs bn:03848413n;1; 1; 1; 1; 0; 1; 0; 1; 1; 
mardi bn:00078546n;1; 1; 1; 1; 0; 0; 1; 1; 1; 
mercredi bn:00054897n;1; 1; 1; 1; 0; 1; 1; 1; 1; 
jeudi bn:00076744n;1; 1; 1; 1; 0; 0; 1; 1; 1; 
query_string bn:03583474n;1; 1; 1; 1; 0; 1; 1; 1; 1; 
externes bn:00102624a;1; 1; 1; 1; 0; 1; 1; 1; 1; 
racine bn:00008793n;1; 1; 1; 1; 0; 1; 1; 1; 1; 
signaler bn:00071525n;1; 1; 1; 1; 0; 1; 1; 1; 1; 
type de retour bn:03354146n;1; 1; 1; 1; 0; 1; 1; 1; 0; 
etudiant bn:00029806n;1; 1; 1; 1; 0; 0; 1; 1; 1; 
setter bn:00021412n;1; 1; 1; 1; 0; 1; 1; 1; 1; 
attribut bn:00007068n;1; 1; 1; 1; 0; 1; 1; 1; 0; 
espace de nommage bn:01468325n;1; 1; 1; 1; 0; 1; 1; 1; 1; 
bleu bn:00011477n;1; 1; 1; 1; 0; 1; 1; 1; 1; 
set bn:00062714n;1; 1; 1; 1; 0; 1; 1; 1; 1; 
diff bn:16709776n;1; 1; 1; 1; 0; 1; 1; 1; 1; 
ball bn:03442687n;1; 1; 1; 1; 0; 1; 1; 1; 1; 
